  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
01-001307 O US AL DAUPHIN ISLAND   30 10 45.00N 088 04 39.00W RIG                1 00236 00236 R 5 D M 1990ASO01578OE C 2014138 
01-001472 O US AL FORT MORGAN      30 11 20.00N 087 57 10.00W STACK              1 00193 00193 R 5 D M 1992ASO02230OE C 2014138 
01-001459 O US AL DAUPHIN ISLAND   30 11 20.00N 088 07 15.00W RIG                1 00240 00241 R 5 D M 1992ASO02229OE C 2014138 
01-002558 O US AL GULF SHORES      30 13 49.00N 087 52 30.00W BLDG               1 00223 00242 R 5 D N 1999ASO03256OE C 2004005 
01-002567 O US AL GULF SHORES      30 13 49.00N 087 52 25.00W BLDG               1 00223 00242 R 5 D N 2000ASO03180OE C 2004005 
01-063487 O US AL FT. MORGAN       30 14 14.32N 087 52 00.73W TOWER              1 00260 00272 D 1 A N 2021ASO08466OE A 2021273 
01-020475 O US AL GULF SHORES      30 14 27.00N 087 44 51.00W BLDG               1 00208 00214 D 2 C N 2010ASO04580OE A 2011341 
01-061332 U US AL GULF SHORES      30 14 43.32N 087 42 12.20W BLDG               1 00059 00067 N 4 D N 2018ASO25793OE A 2020230 
01-022444 O US AL GULF SHORES      30 14 44.06N 087 42 07.01W BLDG               1 00271 00282 R 4 D N 2016ASO03908OE C 2017234 
01-047906 U US AL GULF SHORES      30 14 45.21N 087 42 08.03W BLDG               1 00089 00100 N 4 D N 2014ASO08838OE A 2018025 
01-047923 U US AL GULF SHORES      30 14 45.47N 087 42 06.69W BLDG               1 00071 00082 N 4 D N 2014ASO08936OE A 2018025 
01-003067 O US AL GULF SHORES      30 14 47.75N 087 41 50.95W BLDG               1 00284 00294 R 5 D N 2005ASO01835OE C 2006148 
01-046378 U US AL GULF SHORES      30 14 49.68N 087 49 49.92W POLE               1 00120 00130 N 4 D N 2010ASO05551OE A 2018027 
01-061298 U US AL GULF SHORES      30 14 53.20N 087 41 24.41W BLDG               1 00091 00101 N 4 D N 2018ASO25835OE A 2020230 
01-063012 U US AL GULF SHORES      30 14 55.70N 087 41 27.63W BLDG               1 00009 00018 N 4 D N 2019ASO10740OE A 2021043 
01-003083 O US AL GULF SHORES      30 14 57.82N 087 40 32.58W BLDG               1 00219 00231 R 1 A N 2005ASO00737OE C 2006113 
01-022324 O US AL GULF SHORES      30 14 58.23N 087 40 27.66W BLDG               1 00149 00160 N 1 A N 2011ASO02824OE A 2015324 
