  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
08-025404 O US CO BRANSON          37 00 26.20N 103 51 59.90W TOWER              1 00256 06541 D 5 E N 2015ANM02292OE C 2015236 
08-000466 O US CO BRANSON          37 00 27.00N 103 52 11.80W TOWER              1 00225 06563 M 3 C N 2006ANM00754OE C 2006323 
08-072003 U US CO CARRIZO          37 01 18.40N 102 58 18.80W TOWER              1 00200 04915 N 4 D N 2015ANM00950OE A 2018024 
08-072443 U US CO TOBE             37 01 49.30N 103 44 22.80W TOWER              1 00200 06145 N 4 D N 2016ANM00382OE A 2018024 
08-020907 O US CO ANTONITO         37 03 31.50N 106 01 45.80W TOWER              1 00200 08132 N 1 A N 2010ANM02077OE A 2011320 
08-000166 O US CO CAMPO            37 04 30.00N 102 22 46.00W TOWER              1 00210 04261 D 3 C N 2002ANM02203OE C 2003173 
08-025663 O US CO CAMPO            37 04 33.00N 102 22 56.60W TOWER              1 00200 04262 N 1 A N 2019ANM07155OE C 2020002 
08-000867 O US CO ANTONITO         37 05 08.37N 105 59 31.24W TOWER              1 00392 08245 D 1 A N 2012ANM00278OE C 2013242 
08-025678 O US CO IGNACIO          37 05 50.76N 107 38 27.84W TOWER              1 00189 06794 N 2 C N 2012ANM01108OE A 2015316 
08-000381 U US CO IGNACIO          37 05 51.00N 107 37 34.00W TOWER              1 00083 06773 U     U                C 2004137 
08-077682 U US CO IGNACIO          37 05 52.20N 107 46 10.50W TOWER              1 00115 06860 N 4 D N 2019ANM05564OE A 2019270 
08-071439 U US CO CAMPO            37 06 05.20N 102 34 48.70W TOWER              1 00150 04487 N 4 D N 2012ANM02871OE A 2018024 
08-021014 O US CO DURANGO          37 06 30.60N 107 58 44.50W TOWER              1 00110 07629 N 5 E N 2010ANM02178OE A 2012192 
08-001381 O US CO WESTON           37 07 29.03N 104 49 40.91W TOWER              1 00285 07604 M 2 C N 2019ANM00740OE C 2019116 
08-025660 O US CO TREMENTINA       37 08 10.60N 103 53 03.80W TOWER              1 00200 06032 N 5 E N 2011ANM01597OE A 2015307 
08-000267 O US CO TRINIDAD         37 08 17.00N 104 31 10.00W TOWER              1 00140 06498 U 9 I U                C 2014152 
08-025362 O US CO DEEP HOLE CANYON 37 08 26.90N 103 02 20.60W TOWER              1 00350 05334 M 5 E N 2013ANM02413OE A 2014280 
08-006009 U US CO IGNACIO          37 08 51.00N 107 48 00.00W TOWER              1 00170 06769 U     U                A 1976053 
08-000039 O US CO TRINIDAD         37 08 55.00N 104 30 39.00W TOWER              1 00043 06343 R 4 D M                C 2006120 
08-020184 O US CO CAMPO            37 08 57.60N 102 36 59.60W TOWER              1 00350 04745 D 5 D N 2007ANM03057OE C 2014125 
08-071846 U US CO DURANGO          37 09 31.93N 107 44 18.57W UTILITY POLE       1 00036 06710 N 4 D N 2014ANM02826OE A 2018027 
08-071600 U US CO DURANGO          37 09 33.38N 107 44 12.05W UTILITY POLE       1 00034 06620 N 4 D N 2013ANM02422OE A 2018027 
08-071842 U US CO DURANGO          37 09 33.43N 107 44 12.68W UTILITY POLE       1 00036 06624 N 4 D N 2014ANM02824OE A 2018027 
08-071838 U US CO DURANGO          37 09 33.76N 107 44 15.63W UTILITY POLE       1 00040 06650 N 4 D N 2014ANM02825OE A 2018027 
08-071593 U US CO DURANGO          37 09 36.20N 107 44 12.07W UTILITY POLE       1 00034 06626 N 4 D N 2013ANM02421OE A 2018027 
08-071597 U US CO DURANGO          37 09 39.02N 107 44 12.10W UTILITY POLE       1 00034 06640 N 4 D N 2013ANM02420OE A 2018027 
08-071599 U US CO DURANGO          37 09 41.00N 107 44 12.11W UTILITY POLE       1 00034 06656 N 4 D N 2013ANM02419OE A 2018027 
08-001167 O US CO IGNACIO          37 09 43.68N 107 47 10.98W TOWER              1 00150 06903 N 2 C N 2009ANM01148OE C 2011308 
08-071592 U US CO DURANGO          37 09 44.67N 107 44 12.14W UTILITY POLE       1 00034 06671 N 4 D N 2013ANM02418OE A 2018027 
08-071596 U US CO DURANGO          37 09 47.49N 107 44 12.15W UTILITY POLE       1 00034 06686 N 4 D N 2013ANM02417OE A 2018027 
08-000578 O US CO DURANGO          37 09 49.00N 107 44 36.00W BLDG               1 00022 06706 N 1 A N                C 2014152 
08-071598 U US CO DURANGO          37 09 50.31N 107 44 12.17W UTILITY POLE       1 00039 06701 N 4 D N 2013ANM02416OE A 2018027 
08-000284 O US CO SAN LUIS         37 09 55.00N 105 30 12.00W TOWER              1 00243 08252 N 5 D M                C 2014152 
08-000606 O US CO TRINCHERA        37 10 02.00N 104 06 49.00W TOWER              1 00215 05736 R 5 E M 1987ANM00376OE C 2014152 
08-001193 U US CO OXFORD           37 10 08.90N 107 44 58.20W TOWER              1 00090 06808 R 4 D M 2006ANM03503OE C 2014124 
08-020923 O US CO MIDWAY           37 10 18.50N 102 11 13.20W TOWER              1 00350 04204 M 5 D N 2009ANM01133OE A 2011342 
08-111943 O US CO CAMPO            37 10 39.09N 102 36 54.11W TOWER              1 00310 04717 D 4 D N 2022ANM08378OE A 2024018 
08-071865 U US CO MANASSA          37 10 46.90N 105 56 52.00W TOWER              1 00150 07841 N 4 D N 2014ANM03316OE A 2018024 
08-025661 O US CO PURGATOIRE       37 10 58.90N 104 10 25.50W TOWER              1 00200 05818 N 5 D N 2011ANM00780OE A 2015307 
08-000465 O US CO BREEN            37 10 59.00N 108 04 55.00W TOWER              1 00400 07684 R 5 E M 1984ANM00053OE C 2014152 
08-000865 O US CO TRINIDAD         37 11 45.00N 104 27 59.00W TOWER              1 00312 06357 D 5 E N 1989ANM00951OE C 2001218 
08-001153 U US CO DURANGO          37 11 55.58N 107 52 11.79W BLDG               1 00023 06682 R 4 D M 2005ANM02333OE C 2014124 
08-025111 O US CO TOBE             37 11 56.40N 103 40 22.80W TOWER              1 00350 06038 M 5 E N 2011ANM02245OE A 2014111 
08-025774 U US CO SAN LUIS         37 12 28.70N 105 26 00.40W TOWER              1 00200 08439 N 4 D N 2011ANM01729OE A 2016201 
08-020892 O US CO PAGOSA SPRINGS   37 13 27.06N 107 11 23.33W TOWER              1 00196 07256 N 1 A N 2010ANM01764OE A 2011319 
08-025669 O US CO CORTEZ           37 13 35.32N 108 40 19.69W TOWER              1 00199 06083 N 2 C N 2013ANM01251OE A 2015308 
08-071362 U US CO BAYFIELD         37 13 36.80N 107 36 03.00W TOWER              1 00041 06927 N 4 D N 2012ANM01352OE A 2017242 
08-072521 U US CO BAYFIELD         37 13 44.64N 107 41 50.46W ANTENNA            1 00190 07335 N 4 D N 2016ANM02534OE A 2018023 
08-000041 O US CO DURANGO          37 13 45.00N 107 51 51.00W TOWER              2 00269 06733 R 4 D M 0072_RM00236OE C 2014152 
08-000789 O US CO TRINIDAD         37 14 22.41N 104 30 37.42W TOWER              1 00205 07323 D 1 A N 2014ANM02226OE C 2015125 
08-024892 O US CO TRINIDAD         37 14 22.94N 104 30 37.83W TOWER              1 00029 07161 N 5 E N 2013ANM00809OE A 2013267 
08-000898 O US CO TRINIDAD         37 14 26.27N 104 31 04.02W TOWER              1 00212 07322 D 1 A N 2010ANM01095OE C 2013186 
08-071374 U US CO BAYFIELD         37 14 36.40N 107 37 15.39W TOWER              1 00133 07613 N 1 A N 2012ANM01759OE A 2018024 
08-020963 O US CO LA JARA          37 14 46.51N 105 56 50.69W TOWER              1 00206 07817 D 2 C N 2011ANM01360OE A 2012080 
08-020359 U US CO KIM              37 14 56.70N 103 20 56.90W TOWER              1 00350 06034 D 4 D N 2009ANM01135OE C 2014124 
08-081350 O US CO PAGOSA SPRINGS   37 15 16.88N 107 04 49.92W TOWER              1 00093 07615 N 1 A N 2020ANM02162OE A 2020246 
08-000219 O US CO PAGOSA SPGS      37 15 22.00N 107 01 08.00W TOWER              1 00355 07489 R 5 E M 0073_RM00344OE C 2014152 
08-072505 U US CO PAGOSA SPRINGS   37 15 27.34N 107 04 49.58W TOWER              1 00055 07555 N 1 A N 2016ANM02067OE A 2018024 
08-000177 O US CO DURANGO          37 15 46.00N 107 53 47.00W TOWER              1 00200 07804 N 5 E N                C 2014152 
08-022139 O US CO CORTEZ           37 15 46.83N 108 37 36.18W T-L TWR            1 00109 06322 U 1 A U                A 2013193 
08-000650 O US CO HESPERUS         37 15 55.00N 108 03 38.00W CATENARY           1 00255 08059 N 5 E N 1984ANM01167OE C 2014152 
08-025665 O US CO LA JARA          37 16 02.30N 105 57 53.50W TOWER              1 00200 07807 N 5 D N 2013ANM00331OE A 2015307 
08-022135 O US CO CORTEZ           37 16 10.69N 108 36 59.89W T-L TWR            1 00121 06368 U 1 A U                A 2013193 
08-000649 O US CO HESPERUS         37 16 25.00N 108 03 46.00W CATENARY           1 00255 08139 N 5 E N 1984ANM01167OE C 2014152 
08-023426 O US CO PAGOSA SPRINGS   37 16 29.62N 107 03 37.90W POLE               1 00012 07644 U 2 C U                A 2013200 
08-006003 U US CO DURANGO          37 16 31.00N 107 52 02.00W TOWER              1 00060 06900 U     U                C 2007325 
08-022132 O US CO CORTEZ           37 16 50.08N 108 36 00.13W T-L TWR            1 00101 06306 U 1 A U                A 2013193 
08-111423 U US CO PAGOSA SPRINGS   37 16 51.17N 107 04 00.63W TOWER              1 00094 07740 N 4 D N 2021ANM07484OE A 2023221 
08-022133 O US CO CORTEZ           37 16 57.43N 108 35 49.02W T-L TWR            1 00099 06306 U 1 A U                A 2013193 
08-022123 O US CO CORTEZ           37 17 07.09N 108 38 43.47W POLE               1 00012 06045 R 1 A U                A 2013193 
08-000648 O US CO HESPERUS         37 17 10.00N 108 03 59.00W CATENARY           1 00305 08389 N 5 E N 1984ANM01167OE C 2014152 
08-022134 O US CO CORTEZ           37 17 12.06N 108 35 26.36W T-L TWR            1 00097 06321 U 1 A U                A 2013193 
08-000647 O US CO HESPERUS         37 17 23.00N 108 04 30.00W CATENARY           1 00245 08289 N 5 E N 1984ANM01167OE C 2014152 
08-022137 O US CO CORTEZ           37 17 26.26N 108 35 04.29W T-L TWR            1 00089 06400 U 1 A U                A 2013193 
08-023425 O US CO PAGOSA SPRINGS   37 17 27.32N 107 03 20.19W TOWER              1 00044 07690 U 2 C U                A 2013200 
08-000646 O US CO HESPERUS         37 17 31.00N 108 05 06.00W CATENARY           1 00327 08331 N 5 E N 1984ANM01167OE C 2014152 
08-022129 O US CO CORTEZ           37 17 33.72N 108 37 08.40W TANK               1 00029 06139 U 1 A U                A 2013193 
08-000552 O US CO CORTEZ           37 17 34.00N 108 34 52.00W T-L TWR            1 00122 06404 U 1 A U                C 2002069 
08-023424 O US CO PAGOSA SPRINGS   37 17 40.86N 107 03 08.33W POLE               1 00004 07675 U 2 C U                A 2013200 
08-023427 O US CO PAGOSA SPRINGS   37 17 46.44N 107 04 24.50W TOWER              1 00101 07852 N 2 C N 2018ANM07025OE C 2019135 
08-024941 O US CO CORTEZ           37 17 53.17N 108 34 42.56W T-L TWR            1 00143 06357 U 1 A U                A 2014080 
08-000293 O US CO MANCOS           37 17 54.00N 108 12 49.00W TOWER              1 00215 08704 M 3 D N 0000_SW03822OE C 2014152 
08-000645 O US CO HESPERUS         37 17 55.00N 108 06 03.00W CATENARY           1 00269 08713 N 5 E M 1984ANM01167OE C 2014152 
08-000130 O US CO DURANGO          37 18 00.81N 108 01 41.18W TOWER              1 00266 09151 M 2 C N 2023ANM04564OE C 2023216 
08-098634 U US CO CORTEZ           37 18 05.01N 108 34 51.23W SOLAR PANELS       1 00007 06205 N 4 D N 2021ANM02110OE A 2023228 
08-098633 U US CO CORTEZ           37 18 08.53N 108 34 39.35W SOLAR PANELS       1 00007 06205 N 4 D N 2021ANM02109OE A 2023250 
08-022126 O US CO CORTEZ           37 18 09.22N 108 37 53.62W POLE               1 00051 05955 U 1 A U                A 2013193 
08-022122 O US CO CORTEZ           37 18 10.54N 108 37 45.92W POLE               1 00024 05934 R 1 A U                A 2013193 
08-000644 O US CO HESPERUS         37 18 15.00N 108 06 25.00W CATENARY           1 00245 08689 N 5 E N 1984ANM01167OE C 2014152 
08-098632 U US CO CORTEZ           37 18 17.61N 108 34 40.04W SOLAR PANELS       1 00007 06205 N 4 D N 2021ANM02108OE A 2023250 
08-098631 U US CO CORTEZ           37 18 17.79N 108 34 55.90W SOLAR PANELS       1 00007 06205 N 4 D N 2021ANM02107OE A 2023250 
08-000292 O US CO DURANGO          37 18 18.00N 107 51 27.00W TOWER              1 00208 06752 N 3 D N 0078_RM00486OE C 2014152 
08-022127 O US CO CORTEZ           37 18 25.51N 108 37 35.26W POLE               1 00032 05935 R 1 A U                A 2013193 
08-022121 O US CO CORTEZ           37 18 32.19N 108 37 13.16W POLE               1 00006 05918 U 1 A U                A 2013193 
08-081526 U US CO CORTEZ           37 18 42.02N 108 36 21.72W TOWER              1 00100 06067 N 4 D N 2018ANM05930OE A 2021033 
08-022128 O US CO CORTEZ           37 18 47.83N 108 37 09.24W BLDG               1 00028 05935 U 1 A U                A 2013193 
08-022130 O US CO CORTEZ           37 18 49.44N 108 37 06.66W POLE               1 00034 05942 U 1 A U                A 2013193 
08-000643 O US CO HESPERUS         37 18 51.00N 108 06 39.00W CATENARY           1 00240 08444 N 5 E N 1984ANM01167OE C 2014152 
08-022124 O US CO CORTEZ           37 18 56.42N 108 36 51.52W POLE               1 00033 05954 U 1 A U                A 2013193 
08-001124 O US CO KIM              37 19 24.94N 103 21 26.89W TOWER              1 00490 06068 D 1 A N 2014ANM01829OE C 2014210 
08-022125 O US CO CORTEZ           37 19 25.71N 108 36 33.55W POLE               1 00086 06053 U 1 A U                A 2013193 
08-000294 O US CO MANCOS           37 19 35.00N 108 14 56.00W TOWER              1 00060 08884 N 4 E N                C 2011129 
08-022131 O US CO CORTEZ           37 19 36.66N 108 36 33.48W POLE               1 00088 06080 U 1 A U                A 2013193 
08-000642 O US CO HESPERUS         37 19 41.00N 108 06 54.00W CATENARY           1 00245 08209 N 5 E M 1984ANM01167OE C 2014152 
08-022142 O US CO CORTEZ           37 19 56.52N 108 36 18.97W POLE               1 00040 06099 U 1 A U                A 2013193 
08-022136 O US CO CORTEZ           37 20 02.53N 108 36 14.69W POLE               1 00047 06135 U 1 A U                A 2013193 
08-022138 O US CO CORTEZ           37 20 07.78N 108 36 16.70W POLE               1 00044 06143 U 1 A U                A 2013193 
08-022141 O US CO CORTEZ           37 20 16.58N 108 35 45.82W POLE               1 00044 06190 U 1 A U                A 2013193 
08-000046 O US CO SPRINGFIELD      37 20 17.20N 102 32 37.20W TOWER              1 00224 04565 M 3 C N 2018ANM02115OE C 2018187 
08-022140 O US CO CORTEZ           37 20 17.62N 108 35 52.17W POLE               1 00038 06167 U 1 A U                A 2013193 
08-020666 O US CO MANCOS           37 20 21.24N 108 13 54.33W TOWER              1 00162 09007 N 5 E N 2011ANM00858OE A 2011217 
08-006020 U US CO CORTEZ           37 20 48.00N 108 09 02.00W TOWER              1 00150 10230 U     U                A 1978283 
08-000553 O US CO CORTEZ           37 20 50.00N 108 35 09.00W TOWER              1 00159 06342 N 4 D N                C 2014152 
08-001174 O US CO CORTEZ           37 20 55.45N 108 35 42.26W TOWER              1 00101 06291 N 2 B N 2005ANM02575OE C 2021277 
08-000035 O US CO CORTEZ           37 20 57.84N 108 33 09.33W TOWER              1 00285 06414 D 1 A N 2022ANM05482OE C 2023059 
08-024897 O US CO CORTEZ           37 20 59.62N 108 33 10.90W TOWER              1 00288 06426 D 1 A N 2022ANM05481OE C 2023055 
08-000702 O US CO CORTEZ           37 21 12.00N 108 26 10.00W TOWER              1 00050 06714 N 5 E N                C 2014152 
08-000641 O US CO MANCOS           37 21 44.00N 108 11 48.00W CATENARY           1 00275 08239 N 5 E N 1984ANM01167OE C 2014152 
08-000146 O US CO SPRINGFIELD      37 21 44.00N 102 38 46.00W TOWER              1 00314 04844 R 3 C P 2011ANM01505OE C 2012072 
