  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
09-021145 O US CT GREENWICH        41 00 18.23N 073 38 53.92W TOWER              1 00084 00137 N 2 C N 2011ANE01884OE A 2012268 
09-045778 O US CT STAMFORD         41 02 21.13N 073 32 35.92W BLDG               1 00262 00280 R 1 A N 2019ANE00330OE A 2020261 
09-045447 O US CT STAMFORD         41 02 22.38N 073 32 32.27W BLDG               1 00260 00279 D 4 D N 2017ANE03265OE A 2019052 
09-022472 U US CT STAMFORD         41 02 23.00N 073 32 36.00W BLDG               1 00300 00310 R 4 D N 2011ANE01358OE A 2017114 
09-021160 O US CT STAMFORD         41 02 27.28N 073 32 24.23W BLDG               1 00240 00250 R 5 D N 2011ANE01291OE A 2013031 
09-039102 U US CT STAMFORD         41 02 32.92N 073 32 30.21W BLDG               1 00185 00197 N 1 A N 2016ANE02074OE A 2018025 
09-000194 O US CT GLENVILLE        41 02 34.00N 073 40 44.00W TANK               1 00120 00434 N 1 D N                C 2014152 
09-045779 O US CT STAMFORD         41 02 43.79N 073 32 40.84W BLDG               1 00205 00244 R 1 A N 2020ANE01823OE A 2020261 
09-045590 O US CT STAMFORD         41 02 45.00N 073 32 38.00W BLDG               1 00270 00309 D 1 A N 2017ANE04484OE A 2019337 
09-000270 O US CT STAMFORD         41 02 49.00N 073 31 34.00W TOWER              1 00450 00459 R 3 C M 1985ANE00062OE C 2014152 
09-040589 O US CT STAMFORD         41 03 00.40N 073 32 24.50W BLDG               1 00298 00315 R 4 D N 2016ANE01645OE A 2017363 
09-000303 O US CT STAMFORD         41 03 01.00N 073 32 19.00W BLDG               1 00214 00225 U 3 C N                C 2014152 
09-000254 O US CT STAMFORD         41 03 03.00N 073 32 06.00W BLDG               1 00215 00228 R 3 C N 1984ANE00073OE C 2014152 
09-000302 O US CT STAMFORD         41 03 04.00N 073 32 19.00W BLDG               1 00200 00212 U 3 C N                C 2014152 
09-046904 O US CT STAMFORD         41 03 07.20N 073 32 31.30W BLDG               1 00233 00251 R 1 A N 2019ANE03100OE C 2023109 
09-000300 O US CT STAMFORD         41 03 08.00N 073 31 58.00W BLDG               4 00215 00228 U 5 D N                C 2014152 
09-000082 O US CT STAMFORD         41 03 10.18N 073 33 46.97W TOWER              1 00346 00396 D 1 A N 2004ANE01070OE C 2004347 
09-021063 O US CT STAMFORD         41 03 10.97N 073 32 02.02W TOWER              1 00214 00226 N 2 C N 2010ANE01127OE A 2011242 
09-000384 O US CT STAMFORD         41 03 12.46N 073 32 08.36W BLDG-TWR           1 00251 00263 D 4 D N 2019ANE02592OE C 2019239 
09-022501 O US CT STAMFORD         41 03 13.36N 073 32 32.00W BLDG               1 00231 00250 R 4 D N 2015ANE01599OE A 2017163 
09-000301 O US CT STAMFORD         41 03 14.00N 073 31 53.00W BLDG               1 00201 00220 U 3 C N                C 2014152 
09-040590 O US CT STAMFORD         41 03 15.48N 073 33 07.08W BLDG               1 00244 00324 R 4 D N 2016ANE00606OE A 2018009 
09-000299 O US CT STAMFORD         41 03 17.00N 073 32 16.00W BLDG               1 00287 00306 U 3 C N                C 2014152 
09-000241 O US CT STAMFORD         41 03 18.00N 073 32 07.00W BLDG               1 00209 00223 U 3 C N                C 2014152 
09-021074 O US CT GREENWICH        41 03 58.60N 073 40 17.40W TOWER              1 00167 00399 N 1 A N 2021ANE06077OE C 2022035 
09-038922 U US CT GREENWICH        41 04 00.00N 073 41 42.00W BLDG               1 00039 00504 N 4 D N 2014ANE00222OE A 2018024 
09-000055 O US CT NORWALK          41 04 21.34N 073 24 41.42W STACK              1 00360 00370 D 4 D N 2006ANE00535OE C 2009072 
09-045602 U US CT GREENWICH        41 04 27.30N 073 41 50.00W TOWER              1 00120 00550 N 4 D N 2019ANE06807OE A 2020038 
09-020020 O US CT GREENWICH        41 05 44.68N 073 41 22.30W SPIRE              1 00085 00598 N 2 C N 2007ANE01050OE A 2009287 
09-021115 O US CT NORWALK          41 06 54.43N 073 26 05.74W TOWER              1 00207 00315 R 5 D P 2011ANE01895OE A 2011361 
09-021116 O US CT NORWALK          41 06 54.66N 073 26 03.39W TOWER              1 00207 00315 R 4 D P 2011ANE01894OE A 2012017 
09-000035 O US CT NORWALK          41 06 56.00N 073 26 04.00W TOWER              1 00374 00489 R 5 D P 2004ANE00508OE C 2012009 
09-000085 O US CT NORWALK          41 07 41.81N 073 23 24.60W TOWER              1 00390 00451 D 1 A N 2010ANE01017OE C 2011067 
09-000162 U US CT SOUTHPORT        41 08 06.00N 073 17 11.00W SPIRE              1 00150 00160 N     N                C 1993235 
09-000310 O US CT GREENWICH        41 08 22.00N 073 38 30.00W TOWER              1 00180 00669 N 5 D N 1987ANE00351OE C 2014152 
09-000221 O US CT FAIRFIELD        41 08 27.00N 073 16 13.00W STACK              1 00143 00162 N 1 D U                C 2014152 
09-020938 O US CT BRIDGEPORT       41 09 30.19N 073 07 43.10W TOWER              1 00022 00039 U 1 A U                A 2010287 
09-000005 O US CT BRIDGEPORT       41 09 33.15N 073 09 50.38W TOWER              1 00305 00318 R 1 A P 2008ANE01462OE C 2010093 
09-020929 O US CT BRIDGEPORT       41 09 38.50N 073 07 28.19W NAVAID             1 00034 00036 U 1 A U                A 2010287 
09-000360 O US CT BRIDGEPORT       41 09 39.58N 073 09 52.75W TOWER              1 00305 00315 R 1 A P 2008ANE01463OE C 2010221 
09-000163 U US CT FAIRFIELD        41 09 43.00N 073 13 52.00W TANK               1 00150 00175 N     N                C 1993235 
09-020932 O US CT BRIDGEPORT       41 09 44.98N 073 06 43.97W POLE               1 00073 00073 U 1 A U                A 2010287 
09-021102 O US CT STRATFORD        41 09 45.43N 073 07 03.32W POLE               1 00038 00057 N 5 D N 2011ANE01338OE A 2011302 
09-021101 O US CT STRATFORD        41 09 45.65N 073 07 05.27W POLE               1 00038 00051 N 5 D N 2011ANE01339OE A 2011302 
09-021100 O US CT STRATFORD        41 09 45.91N 073 07 07.19W POLE               1 00038 00051 N 5 D N 2011ANE01340OE A 2011302 
09-038526 U US CT STRATFORD        41 09 45.91N 073 07 03.10W UTILITY POLE       1 00029 00038 N 4 D N 2011ANE01337OE A 2018027 
09-038529 U US CT STRATFORD        41 09 45.99N 073 07 03.71W UTILITY POLE       1 00029 00043 N 4 D N 2011ANE01334OE A 2018027 
09-000278 O US CT BRIDGEPORT       41 09 46.00N 073 12 34.00W STACK              1 00295 00304 S 5 D N 1984ANE00262OE C 2014152 
09-021099 O US CT STRATFORD        41 09 46.06N 073 07 08.02W POLE               1 00038 00047 N 5 D N 2011ANE01341OE A 2011302 
09-020936 O US CT BRIDGEPORT       41 09 46.12N 073 07 02.40W POLE               1 00047 00053 U 1 A U                A 2010287 
