  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
10-026279 U US DE SELBYVILLE       38 27 18.09N 075 06 33.36W TANK               1 00150 00161 N 4 D N 2014AEA00051OE A 2018030 
10-000066 U US DE SELBYVILLE       38 27 25.00N 075 13 38.00W TANK               1 00150 00185 U     U                C 1993270 
10-000194 U US DE SELBYVILLE       38 27 51.10N 075 08 50.00W TOWER              1 00480 00495 D 4 D N 2006AEA04811OE C 2014124 
10-000017 O US DE DELMAR           38 27 54.00N 075 34 52.00W TOWER              1 00281 00327 R 1 D M 1973AEA00696OE C 2014152 
10-006002 U US DE DELMARIA         38 28 04.00N 075 33 15.00W TOWER              1 00100 00150 U     U                A 1976053 
10-000067 O US DE DELMAR           38 28 43.00N 075 34 31.00W TANK               1 00196 00245 N 1 D U                C 2014152 
10-020552 O US DE ROXANA           38 29 20.83N 075 12 00.01W TOWER              1 00335 00372 R 2 C M 2013AEA04469OE A 2014031 
10-006017 U US DE GEORGETOWN       38 29 36.00N 075 22 19.00W TANK               1 00125 00175 U 4 D U 0067_NY00270OE C 2014124 
10-000037 O US DE FRANKFORD        38 30 04.60N 075 10 06.96W TOWER              1 00343 00371 D 1 A N 2009AEA04092OE C 2017164 
10-000126 O US DE LAUREL           38 30 12.00N 075 39 38.00W TOWER              1 00321 00365 R 5 D M 1990AEA01684OE C 2014152 
10-020645 O US DE LAUREL           38 30 18.00N 075 38 36.00W TOWER              1 01002 01048 S 4 D N 2016AEA10901OE A 2016364 
10-000186 O US DE LAUREL           38 30 40.00N 075 33 18.00W TOWER              1 00500 00542 D 2 C N 2005AEA01172OE C 2011257 
10-000156 O US DE FRANKFORD        38 31 12.46N 075 14 19.56W TOWER              1 00207 00240 D 1 A N 2004AEA00221OE C 2020169 
10-000196 U US DE BETHANY          38 31 17.01N 075 05 13.81W TOWER              1 00408 00418 D 4 D N 2007AEA04661OE C 2014124 
10-000108 O US DE DAGSBORO         38 31 28.80N 075 17 52.65W TOWER              1 00520 00559 R 4 D P 2015AEA01539OE C 2017025 
10-000103 O US DE BETHANY BEACH    38 31 30.00N 075 05 27.00W TOWER              1 00300 00309 R 5 D M 1987AEA00669OE C 2014152 
10-000099 O US DE BETHANY BEACH    38 31 43.02N 075 04 52.02W TOWER              1 00408 00416 R 1 A M 2002AEA03734OE C 2014255 
10-020559 O US DE LAUREL           38 31 47.88N 075 35 13.66W TOWER              1 00145 00179 N 2 C N 2013AEA06904OE C 2015351 
10-020551 O US DE MILLSBORO        38 32 07.84N 075 21 27.50W TOWER              1 00155 00199 N 1 A N 2013AEA00142OE A 2014024 
10-006018 U US DE LAUREL           38 33 26.00N 075 34 16.00W TOWER              1 00105 00127 U     U                A 1976150 
10-000068 O US DE LAUREL           38 33 27.00N 075 34 54.00W T-L TWR            1 00175 00179 U 1 A U                C 2014152 
10-000152 O US DE LAUREL           38 33 31.00N 075 34 50.00W T-L TWR            1 00175 00179 U 1 A U                C 2014152 
10-000149 O US DE DAGSBORO         38 33 54.00N 075 15 02.00W TOWER              1 00487 00524 D 2 C N 2000AEA00189OE C 2014152 
10-000165 U US DE BETHANY BEACH    38 34 21.00N 075 06 57.00W TOWER              1 00499 00506 R 4 D M 1995AEA01787OE C 2014124 
10-000038 O US DE MILLSBORO        38 34 30.14N 075 20 18.12W TOWER              1 00400 00436 D 4 D N 2023AEA01775OE C 2023171 
10-000153 U US DE DAGSBORO         38 34 31.00N 075 14 24.00W TOWER              1 00415 00434 D 4 D N 1997AEA04184OE C 2014124 
10-006001 U US DE FORD             38 34 41.00N 075 24 51.00W TOWER              1 00145 00160 U     U                A 1976053 
10-000106 O US DE MILLSBORO        38 34 45.00N 075 17 03.00W TOWER              1 00320 00344 R 5 D M 1987AEA00626OE C 2014152 
10-027390 U US DE MILLSBORO        38 34 52.19N 075 14 45.58W T-L TWR            1 00097 00112 N 4 D N 2018AEA04505OE A 2019284 
10-027389 U US DE MILLSBORO        38 34 56.27N 075 14 41.08W T-L TWR            1 00092 00098 N 4 D N 2018AEA04504OE A 2019284 
10-000060 O US DE MILLSBORO        38 35 07.00N 075 14 06.00W STACK              1 00403 00412 S 5 D N 1978AEA00076OE C 2014152 
10-000121 O US DE MILLSBORO        38 35 09.00N 075 14 03.00W STACK              1 00502 00511 S 5 D N 1990AEA00180OE C 2014152 
10-000028 O US DE MILLSBORO        38 35 09.00N 075 14 06.00W STACK              1 00388 00397 R 5 D N 0067_NY00396OE C 2014152 
10-027388 U US DE MILLSBORO        38 36 08.30N 075 21 39.10W TOWER              1 00155 00199 R 4 D N 2017AEA03968OE A 2019242 
10-020293 O US DE BETHANY BEACH    38 36 25.00N 075 03 47.00W BRIDGE             1 00249 00263 R 5 D N 2010AEA02961OE A 2011165 
10-020302 O US DE REHOBOTH BEACH   38 36 34.00N 075 03 48.00W BRIDGE             1 00249 00263 N 5 D N 2008AEA04683OE A 2011188 
10-000013 O US DE SEAFORD          38 36 47.00N 075 35 11.00W TOWER              1 00336 00369 R 4 D M 1988AEA00247OE C 2014152 
10-020638 U US DE MILLSBORO        38 37 28.79N 075 08 43.47W TOWER              1 00141 00152 N 4 D N 2011AEA01899OE A 2016350 
10-000115 O US DE MILLSBORO        38 37 37.00N 075 13 55.00W TOWER              1 00504 00532 R 2 C M 1997AEA02614OE C 2014152 
10-000077 O US DE SEAFORD          38 37 51.00N 075 37 34.00W STACK              1 00250 00274 F 1 D N                C 2014152 
10-000072 O US DE SEAFORD          38 37 51.00N 075 37 33.00W TANK               1 00150 00175 U 1 D U                C 2004251 
10-000035 O US DE MILLSBORO        38 37 58.82N 075 12 02.54W TOWER              1 00355 00368 R 1 A P 2018AEA09437OE C 2019290 
10-000111 O US DE MILLSBORO        38 38 35.87N 075 12 57.38W TOWER              1 00402 00424 D 1 A N 2012AEA05048OE C 2016183 
10-026289 U US DE GEORGETOWN       38 38 52.10N 075 24 52.90W POLE               1 00150 00199 N 1 A N 2014AEA05655OE A 2018027 
10-000185 O US DE SEAFORD          38 38 54.88N 075 32 20.68W TOWER              1 00207 00233 D 1 A N 2022AEA16672OE C 2023320 
10-000150 U US DE SEAFORD          38 39 14.00N 075 36 55.00W TOWER              1 00470 00504 D 4 D N 1998AEA00528OE C 2014124 
10-000094 O US DE SEAFORD          38 39 16.00N 075 36 39.00W TOWER              1 00661 00701 S 4 D N 2019AEA02343OE C 2019270 
10-000119 O US DE GEORGETOWN       38 39 51.00N 075 22 38.00W TOWER              1 00161 00205 R 1 A M                C 2014152 
10-000151 U US DE SEAFORD          38 40 00.00N 075 34 59.00W TOWER              1 00520 00549 M 4 D N 1998AEA00033OE C 2014124 
10-000118 O US DE GEORGETOWN       38 40 01.74N 075 22 37.47W TOWER              1 00115 00161 N 1 A N 2012AEA05898OE C 2016301 
10-000117 O US DE GEORGETOWN       38 40 52.00N 075 23 37.00W TOWER              1 00181 00220 R 1 D M 2000AEA01380OE C 2014152 
10-020014 O US DE GEORGETOWN       38 40 53.73N 075 21 51.79W POLE               1 00031 00076 U 1 A U                A 2010274 
10-020320 O US DE GEORGETOWN       38 41 07.40N 075 22 41.70W TANK               1 00130 00180 R 5 D N 1991AEA02201OE A 2012005 
10-029729 O US DE GEORGETOWN       38 41 21.70N 075 19 59.00W TOWER              1 00134 00176 N 1 A N 2019AEA06077OE A 2021060 
10-020004 O US DE GEORGETOWN       38 41 29.24N 075 21 45.16W BLDG               1 00050 00101 U 1 A U                A 2010274 
10-026803 O US DE GEORGETOWN       38 41 32.85N 075 23 06.37W T-L TWR            1 00070 00121 N 4 D N 2017AEA00097OE A 2018071 
