  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
11-020095 O US DC DISTRICT OF COLU 38 47 33.64N 077 02 16.86W BRIDGE             1 00129 00129 R 1 B N 2000AEA02093OE C 2018107 
11-024069 U US DC WASHINGTON  DC   38 48 37.64N 077 01 33.26W SOLAR PANELS       1 00015 00027 N 4 D N 2019AEA03820OE A 2021061 
11-024068 U US DC WASHINGTON  DC   38 48 37.88N 077 01 34.26W SOLAR PANELS       1 00015 00027 N 4 D N 2019AEA03819OE A 2021061 
11-023995 U US DC WASHINGTON  DC   38 48 42.39N 077 01 21.54W BLDG               1 00026 00041 N 4 D N 2019AEA03821OE A 2020247 
11-024003 U US DC WASHINGTON  DC   38 48 43.09N 077 01 18.45W SOLAR PANELS       1 00010 00030 N 4 D N 2019AEA03829OE A 2020240 
11-024000 U US DC WASHINGTON  DC   38 48 44.95N 077 01 18.44W SOLAR PANELS       1 00015 00035 N 4 D N 2019AEA03826OE A 2020239 
11-024002 U US DC WASHINGTON  DC   38 48 44.95N 077 01 19.34W SOLAR PANELS       1 00015 00035 N 4 D N 2019AEA03828OE A 2020239 
11-023999 U US DC WASHINGTON  DC   38 48 47.51N 077 01 17.42W SOLAR PANELS       1 00015 00035 N 4 D N 2019AEA03825OE A 2020239 
11-024001 U US DC WASHINGTON  DC   38 48 47.73N 077 01 16.62W SOLAR PANELS       1 00015 00035 N 4 D N 2019AEA03827OE A 2020239 
11-024067 U US DC WASHINGTON  DC   38 48 48.96N 077 01 38.62W SOLAR PANELS       1 00015 00027 N 4 D N 2019AEA03818OE A 2021061 
11-024066 U US DC WASHINGTON  DC   38 48 49.19N 077 01 37.76W SOLAR PANELS       1 00015 00027 N 4 D N 2019AEA03817OE A 2021061 
11-024007 U US DC WASHINGTON  DC   38 48 53.74N 077 01 14.05W BLDG               1 00035 00050 N 4 D N 2019AEA03833OE A 2020247 
11-023743 U US DC WASHINGTON       38 48 55.59N 077 01 40.72W BLDG               1 00080 00093 N 4 D N 2012AEA03037OE A 2018025 
11-024006 U US DC WASHINGTON  DC   38 48 55.76N 077 01 10.32W SOLAR PANELS       1 00010 00030 N 4 D N 2019AEA03832OE A 2020240 
11-024014 U US DC WASHINGTON  DC   38 48 57.06N 077 01 35.60W BLDG               1 00048 00068 N 4 D N 2019AEA03840OE A 2020258 
11-024015 U US DC WASHINGTON  DC   38 48 58.43N 077 01 34.30W BLDG               1 00023 00043 N 4 D N 2019AEA03841OE A 2020241 
11-023981 U US DC WASHINGTON  DC   38 49 01.25N 077 01 28.14W SOLAR PANELS       1 00015 00031 N 4 D N 2019AEA03858OE A 2020240 
11-023980 U US DC WASHINGTON  DC   38 49 04.12N 077 01 25.34W SOLAR PANELS       1 00015 00031 N 4 D N 2019AEA03857OE A 2020240 
11-023977 U US DC WASHINGTON  DC   38 49 04.49N 077 01 27.91W SOLAR PANELS       1 00015 00035 N 4 D N 2019AEA03854OE A 2020240 
11-023972 U US DC WASHINGTON  DC   38 49 04.70N 077 01 32.52W BLDG               1 00045 00060 N 4 D N 2019AEA03849OE A 2020253 
11-023974 U US DC WASHINGTON  DC   38 49 04.97N 077 01 36.24W SOLAR PANELS       1 00015 00030 N 4 D N 2019AEA03851OE A 2020240 
11-023976 U US DC WASHINGTON  DC   38 49 05.49N 077 01 27.60W SOLAR PANELS       1 00015 00035 N 4 D N 2019AEA03853OE A 2020240 
11-024020 U US DC WASHINGTON  DC   38 49 07.76N 077 01 05.95W SOLAR PANELS       1 00015 00039 N 4 D N 2019AEA03872OE A 2020240 
11-023982 U US DC WASHINGTON  DC   38 49 08.18N 077 01 17.36W BLDG               1 00032 00052 N 4 D N 2019AEA03859OE A 2020258 
11-024022 U US DC WASHINGTON  DC   38 49 08.92N 077 01 07.83W SOLAR PANELS       1 00015 00039 N 4 D N 2019AEA03874OE A 2020239 
11-023988 U US DC WASHINGTON  DC   38 49 12.29N 077 01 24.00W BLDG               1 00042 00065 N 4 D N 2019AEA03865OE A 2020241 
