  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
13-002197 O US GA ST. GEORGE       30 31 04.00N 082 07 08.00W TOWER              1 00240 00416 D 5 D N 1995ASO00591OE C 2014152 
13-000601 O US GA ST GEORGE        30 32 25.00N 082 02 08.00W TOWER              1 00300 00376 R 5 D M 1973ASO01351OE C 2014152 
13-001868 O US GA LAKE PARK        30 37 44.00N 083 11 41.00W TOWER              1 00320 00480 D 5 D N 2000ASO08181OE C 2001183 
13-002378 O US GA LAKE PARK        30 39 36.10N 083 12 12.30W TOWER              1 00265 00424 M 4 D N 2018ASO11767OE C 2018262 
13-002115 O US GA CLYATTVILLE      30 40 10.00N 083 19 31.00W TOWER              1 00499 00619 R 5 D M 1994ASO00051OE C 2014152 
13-020100 U US GA FARGO            30 40 12.00N 082 33 22.40W TOWER              1 00260 00369 D 4 D N 2007ASO06334OE C 2014124 
13-001353 O US GA METCALF          30 40 14.00N 083 56 26.00W TOWER              1 02000 02221 S 5 D N 1985ASO00955OE C 2014152 
13-002967 U US GA FARGO            30 40 15.15N 082 39 24.72W TOWER              1 00270 00400 D 4 D N 2006ASO07289OE C 2014124 
13-020076 O US GA FARGO            30 40 32.38N 082 40 39.22W TOWER              1 00484 00612 M 4 D N 2016ASO26827OE C 2017307 
13-003539 O US GA CLYATTVILLE      30 40 33.00N 083 19 07.00W TOWER              1 00500 00694 M 2 C N 2002ASO00371OE A 2002217 
13-139854 O US GA LAKE PARK        30 40 35.80N 083 06 43.00W TOWER              1 00270 00396 D 4 D N 2019ASO35083OE A 2020225 
13-002898 O US GA THOMASVILLE      30 40 50.38N 083 58 20.29W TOWER              1 01997 02151 H 1 A N 2009ASO03673OE C 2015142 
13-000141 O US GA QUITMAN          30 40 51.00N 083 29 51.00W TOWER              1 00357 00560 M 2 C N 1998ASO02864OE C 2014152 
13-000323 O US GA VALDOSTA         30 41 01.20N 083 19 02.10W TOWER              1 00270 00468 M 1 B N 2010ASO05624OE C 2017268 
13-006006 U US GA FARGO            30 41 06.00N 082 33 54.00W TOWER              1 00168 00286 U     U                C 1993207 
13-001996 O US GA LAKE PARK        30 41 16.22N 083 13 59.89W TOWER              1 00347 00480 D 1 A N 2021ASO14134OE C 2021278 
13-003205 U US GA TWINS LAKE       30 41 19.00N 083 14 00.00W TOWER              1 00310 00445 D 4 D N 2000ASO06844OE C 2014124 
13-020293 O US GA VALDOSTA         30 41 32.00N 083 18 12.00W STACK              1 00300 00500 M 5 D N 2011ASO02595OE A 2011224 
13-000540 O US GA VALDOSTA         30 41 38.00N 083 18 09.00W STACK              1 00200 00397 N 5 D N 1991ASO02049OE C 2014152 
13-001144 O US GA ATTAPULGUS       30 41 54.10N 084 23 11.90W TOWER              1 00324 00606 R 4 D P 2018ASO25946OE C 2019179 
13-001509 O US GA LAKE PARK        30 42 07.80N 083 06 53.50W TOWER              1 00644 00787 R 5 D M 2006ASO06880OE C 2009219 
13-000137 O US GA FARGO            30 42 14.00N 082 31 39.00W TOWER              1 00188 00305 U 9 I U                C 2014152 
13-020186 O US GA STATENVILLE      30 42 19.50N 083 03 08.80W TOWER              1 00260 00369 D 5 D N 2008ASO06362OE C 2010146 
13-020072 U US GA QUINCY           30 42 22.70N 084 37 39.10W TOWER              1 00295 00577 R 4 D P 2008ASO04501OE C 2014124 
13-003862 O US GA CAIRO            30 42 28.20N 084 08 35.30W TOWER              1 00231 00472 D 1 A N 2019ASO29619OE C 2020028 
13-020263 O US GA QUITMAN          30 42 35.82N 083 37 26.19W TOWER              1 00261 00436 D 5 D N 2007ASO05437OE A 2011160 
13-000896 O US GA FARGO            30 42 41.00N 082 34 20.00W TOWER              1 00197 00316 N 5 D U                C 2014152 
13-022484 O US GA STATENVILLE      30 42 41.70N 083 01 21.20W TOWER              1 00260 00398 D 2 C N 2011ASO03889OE A 2013351 
13-006015 O US GA CHATTAHOOCHEE    30 42 46.39N 084 50 56.81W TOWER              1 00155 00390 N 4 D N 2011ASO01944OE C 2018053 
13-002251 O US GA FARGO            30 43 11.00N 082 55 14.09W TOWER              1 00321 00475 D 1 A N 2006ASO07014OE C 2007021 
13-000702 O US GA LAKE PARK        30 43 11.88N 083 14 41.82W TOWER              1 00315 00470 D 1 A N 2013ASO02322OE C 2020077 
13-003936 O US GA VALDOSTA         30 43 14.80N 083 19 41.44W TOWER              1 00230 00428 D 1 A N 2020ASO20657OE C 2020265 
13-003137 U US GA ATTAPULGUS       30 43 23.00N 084 25 38.00W TOWER              1 00340 00592 D 4 D N 2000ASO04875OE C 2014124 
13-002812 O US GA SAINT MARYS      30 43 58.90N 081 32 48.60W TOWER              1 00250 00261 D 2 C N 2010ASO00401OE C 2012179 
