  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
16-022446 O US ID JACKPOT          41 59 48.50N 114 40 08.26W SIGN               1 00028 05417 U 1 A U                A 2014007 
16-022447 O US ID JACKPOT          41 59 49.81N 114 40 07.21W CATENARY           1 00042 05418 U 1 A U                A 2014007 
16-022448 O US ID JACKPOT          41 59 50.97N 114 40 08.93W SIGN               1 00014 05417 U 1 A U                A 2014007 
16-022449 O US ID JACKPOT          41 59 51.81N 114 40 07.46W CATENARY           1 00052 05427 U 1 A U                A 2014007 
16-022450 O US ID JACKPOT          41 59 53.81N 114 40 07.75W CATENARY           1 00066 05439 U 1 A U                A 2014007 
16-022451 O US ID JACKPOT          41 59 55.84N 114 40 08.00W CATENARY           1 00048 05450 U 1 A U                A 2014007 
16-022452 O US ID JACKPOT          41 59 57.10N 114 40 08.16W CATENARY           1 00035 05462 U 1 A U                A 2014007 
16-022453 O US ID JACKPOT          41 59 57.78N 114 40 08.24W CATENARY           1 00036 05469 U 1 A U                A 2014007 
16-022454 O US ID JACKPOT          41 59 59.80N 114 40 08.51W CATENARY           1 00043 05483 U 1 A U                A 2014007 
16-022455 O US ID JACKPOT          42 00 01.15N 114 40 08.69W T-L TWR            1 00051 05490 U 1 A U                A 2014007 
16-022436 O US ID JACKPOT          42 00 02.09N 114 40 08.94W CATENARY           1 00053 05489 U 1 A U                A 2014007 
16-022437 O US ID JACKPOT          42 00 05.68N 114 40 09.87W CATENARY           1 00044 05491 U 1 A U                A 2014007 
16-022438 O US ID JACKPOT          42 00 06.24N 114 40 10.02W T-L TWR            1 00050 05492 U 1 A U                A 2014007 
16-022439 O US ID JACKPOT          42 00 07.88N 114 40 10.47W CATENARY           1 00055 05487 U 1 A U                A 2014007 
16-022440 O US ID JACKPOT          42 00 11.47N 114 40 11.58W CATENARY           1 00034 05486 U 1 A U                A 2014007 
16-022441 O US ID JACKPOT          42 00 13.45N 114 40 12.23W CATENARY           1 00040 05502 U 1 A U                A 2014007 
16-022442 O US ID JACKPOT          42 00 15.33N 114 40 12.87W CATENARY           1 00045 05513 U 1 A U                A 2014007 
16-022443 O US ID JACKPOT          42 00 17.35N 114 40 13.50W CATENARY           1 00049 05525 U 1 A U                A 2014007 
16-022444 O US ID JACKPOT          42 00 18.35N 114 40 13.88W CATENARY           1 00064 05544 U 1 A U                A 2014007 
16-022445 O US ID JACKPOT          42 00 19.11N 114 40 14.13W CATENARY           1 00084 05551 U 1 A U                A 2014007 
16-022426 O US ID JACKPOT          42 00 21.20N 114 40 14.83W CATENARY           1 00042 05571 U 1 A U                A 2014007 
16-022427 O US ID JACKPOT          42 00 23.03N 114 40 15.41W CATENARY           1 00040 05580 U 1 A U                A 2014007 
16-022428 O US ID JACKPOT          42 00 24.89N 114 40 16.01W CATENARY           1 00039 05586 U 1 A U                A 2014007 
16-022429 O US ID JACKPOT          42 00 26.85N 114 40 16.66W CATENARY           1 00039 05590 U 1 A U                A 2014007 
16-022430 O US ID JACKPOT          42 00 28.99N 114 40 17.38W CATENARY           1 00044 05591 U 1 A U                A 2014007 
16-022431 O US ID JACKPOT          42 00 30.96N 114 40 18.03W CATENARY           1 00042 05588 U 1 A U                A 2014007 
16-000111 O US ID MURPHY           42 00 32.00N 115 20 57.00W CATENARY           1 00303 05616 N 4 D N                C 2014152 
16-022432 O US ID JACKPOT          42 00 34.50N 114 40 19.19W CATENARY           1 00048 05598 U 1 A U                A 2014007 
16-022433 O US ID JACKPOT          42 00 36.44N 114 40 19.80W CATENARY           1 00046 05603 U 1 A U                A 2014007 
16-022434 O US ID JACKPOT          42 00 38.33N 114 40 20.43W CATENARY           1 00046 05607 U 1 A U                A 2014007 
16-022435 O US ID JACKPOT          42 00 41.23N 114 40 21.38W CATENARY           1 00049 05618 U 1 A U                A 2014007 
16-022416 O US ID JACKPOT          42 00 44.26N 114 40 21.57W CATENARY           1 00044 05623 U 1 A U                A 2014007 
16-022417 O US ID JACKPOT          42 00 46.40N 114 40 21.62W CATENARY           1 00048 05631 U 1 A U                A 2014007 
16-022418 O US ID JACKPOT          42 00 49.00N 114 40 21.69W T-L TWR            1 00058 05646 U 1 A U                A 2014007 
16-022419 O US ID JACKPOT          42 00 56.61N 114 40 21.85W CATENARY           1 00048 05659 U 1 A U                A 2014007 
