  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
17-006010 U US IL CAIRO            37 00 14.00N 089 10 16.00W TOWER              1 00100 00414 U     U                A 1976072 
17-027409 O US IL CAIRO            37 01 00.31N 089 10 41.58W PLANT              1 00202 00515 U 1 A U                A 2014024 
17-059949 U US IL CAIRO            37 01 18.80N 089 10 55.60W POLE               1 00060 00408 N 4 D N 2013AGL03066OE A 2018027 
17-003031 O US IL CAIRO            37 01 38.30N 089 11 20.90W TOWER              1 00199 00519 N 5 D N 2015AGL06107OE C 2015317 
17-006011 O US IL CAIRO            37 02 22.30N 089 11 33.20W TOWER              1 00130 00455 N 4 D N 2014AGL00643OE C 2017087 
17-027315 O US IL CAIRO            37 02 26.36N 089 11 46.90W SIGN               1 00091 00405 U 1 A U                A 2014010 
17-027314 O US IL CAIRO            37 02 29.89N 089 12 22.33W SIGN               1 00075 00392 U 1 A U                A 2014010 
17-000330 O US IL CAIRO            37 02 33.04N 089 11 08.04W TOWER              1 00167 00474 U 1 A U                C 2014010 
17-027319 O US IL CAIRO            37 02 40.58N 089 11 08.15W TANK               1 00067 00375 U 1 A U                A 2014010 
17-027313 O US IL CAIRO            37 03 33.72N 089 12 49.35W POLE               1 00031 00345 U 1 A U                A 2014010 
17-027288 O US IL CAIRO            37 03 36.33N 089 13 03.27W SIGN               1 00003 00320 U 1 A U                A 2014010 
17-027285 O US IL CAIRO            37 03 37.01N 089 13 01.07W POLE               1 00001 00321 U 1 A U                A 2014010 
17-027312 O US IL CAIRO            37 03 37.26N 089 12 49.37W POLE               1 00026 00341 U 1 A U                A 2014010 
17-027289 O US IL CAIRO            37 03 37.41N 089 13 20.34W BLDG               1 00016 00334 U 1 A U                A 2014010 
