  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
19-003114 U US IA KEOKUK           40 23 08.25N 091 24 50.00W STACK              1 00350 00852 D 4 D N 2007ACE00662OE C 2014124 
19-000848 O US IA KEOKUK           40 23 19.00N 091 23 37.00W STACK              1 00250 00747 S 5 D N 1985ACE00379OE C 2014138 
19-000433 O US IA KEOKUK           40 23 26.84N 091 24 49.83W TOWER              1 00360 01018 R 4 D P 2018ACE02705OE C 2018299 
19-001184 O US IA KEOKUK           40 23 57.74N 091 26 02.32W TOWER              1 00288 00924 D 1 A N 2022ACE06432OE C 2023130 
19-065633 O US IA KEOKUK           40 23 58.12N 091 25 28.76W TOWER              1 00320 00969 D 1 A N 2021ACE08947OE A 2022199 
19-000240 O US IA KEOKUK           40 23 59.00N 091 25 34.00W TOWER              1 00300 00940 R 5 D M 0000_CE05311OE C 2014138 
19-002002 O US IA KEOKUK           40 24 08.52N 091 25 46.65W TOWER              1 00310 00952 D 4 D N 2019ACE07505OE C 2020002 
19-000639 O US IA KEOKUK           40 24 39.74N 091 29 19.45W TOWER              1 00319 00917 R 4 D P 2019ACE05721OE C 2019323 
19-057817 O US IA KEOKUK           40 25 06.30N 091 24 14.70W TOWER              1 00200 00858 N 4 D N 2011ACE00557OE A 2019360 
19-055523 U US IA KEOKUK           40 25 13.51N 091 24 11.92W TOWER              1 00129 00794 N 4 D N 2018ACE00223OE A 2019231 
19-052223 O US IA KEOKUK           40 25 42.40N 091 25 30.60W TOWER              1 00215 00862 D 4 D N 2016ACE04015OE A 2017279 
19-002890 O US IA KEOKUK           40 26 11.15N 091 25 40.11W TOWER              1 00153 00822 N 5 C N 2004ACE02013OE C 2012292 
19-066639 U US IA KEOKUK           40 26 39.00N 091 23 24.00W BLDG               1 00025 00574 N 4 D N 2021ACE08831OE A 2023163 
19-025217 O US IA KEOKUK           40 27 02.13N 091 25 33.40W TOWER              1 00073 00739 U 1 A U                A 2013324 
19-051408 U US IA KEOKUK           40 27 26.85N 091 26 34.01W BLDG               1 00019 00678 N 4 D N 2015ACE02156OE A 2018024 
19-025207 O US IA KEOKUK           40 27 32.21N 091 24 35.02W BLDG               1 00037 00707 U 1 A U                A 2013324 
19-025206 O US IA KEOKUK           40 27 32.78N 091 25 09.99W FENCE              1 00005 00674 U 1 A U                A 2013324 
19-052771 U US IA KEOKUK           40 27 34.20N 091 24 15.07W BLDG               1 00024 00687 N 4 D N 2016ACE03492OE A 2018025 
19-051984 U US IA KEOKUK           40 27 34.45N 091 24 22.05W UTILITY POLE       1 00035 00700 N 4 D N 2016ACE04986OE A 2018027 
19-051982 U US IA KEOKUK           40 27 34.48N 091 24 19.55W UTILITY POLE       1 00035 00700 N 4 D N 2016ACE04987OE A 2018027 
19-051985 U US IA KEOKUK           40 27 35.20N 091 24 18.40W UTILITY POLE       1 00035 00690 N 4 D N 2016ACE04988OE A 2018027 
19-052808 U US IA KEOKUK           40 27 35.61N 091 24 15.80W BLDG               1 00024 00687 N 4 D N 2016ACE03491OE A 2018025 
19-025209 O US IA KEOKUK           40 27 40.30N 091 25 57.05W POLE               1 00027 00699 U 1 A U                A 2013324 
19-025214 O US IA KEOKUK           40 27 40.62N 091 26 57.60W TANK               1 00119 00790 U 1 A U                A 2013324 
19-056252 U US IA KEOKUK           40 27 41.04N 091 26 36.00W BLDG               1 00015 00675 N 4 D N 2019ACE02337OE A 2019346 
19-062367 U US IA KEOKUK           40 27 41.20N 091 24 21.80W BLDG               1 00020 00675 N 4 D N 2020ACE08381OE A 2021194 
19-025215 O US IA KEOKUK           40 27 41.71N 091 24 57.90W FENCE              1 00005 00673 U 1 A U                A 2013324 
19-025216 O US IA KEOKUK           40 27 44.31N 091 24 37.81W POLE               1 00029 00702 U 1 A U                A 2013324 
19-025208 O US IA KEOKUK           40 27 47.86N 091 25 59.60W POLE               1 00029 00699 U 1 A U                A 2013324 
19-025210 O US IA KEOKUK           40 27 52.03N 091 26 03.42W BLDG               1 00040 00710 U 1 A U                A 2013324 
19-025211 O US IA KEOKUK           40 27 53.05N 091 26 07.14W BLDG               1 00035 00704 U 1 A U                A 2013324 
19-025205 O US IA KEOKUK           40 27 54.00N 091 26 03.12W NAVAID             1 00057 00725 U 1 A U                A 2013324 
19-025212 O US IA KEOKUK           40 27 54.33N 091 26 12.66W POLE               1 00019 00675 U 1 A U                A 2013324 
19-025213 O US IA KEOKUK           40 27 55.24N 091 26 20.27W POLE               1 00024 00687 U 1 A U                A 2013324 
19-064744 O US IA KEOKUK           40 29 06.90N 091 26 53.16W TOWER              1 00101 00779 N 1 A N 2021ACE08017OE A 2023068 
19-001968 O US IA MONTROSE         40 31 26.00N 091 27 31.00W TOWER              1 00250 00926 D 2 C N 2001ACE01663OE C 2002181 
19-002269 O US IA DONNELLSON       40 31 32.90N 091 33 25.90W TOWER              1 00260 00927 D 2 C N 2003ACE00035OE C 2006085 
19-050127 U US IA ARGYLE           40 31 33.30N 091 33 12.60W TOWER              1 00199 00869 N 4 D N 2006ACE01125OE A 2018023 
19-001844 O US IA MONTROSE         40 32 24.80N 091 25 38.00W TOWER              1 00260 00806 M 4 D N 2008ACE00136OE C 2021012 
19-000284 O US IA BELFAST          40 32 50.00N 091 39 02.00W T-L TWR            1 00115 00751 U 9 I U                C 2014138 
19-022709 O US IA NEW BOSTON       40 33 14.76N 091 29 40.65W TOWER              1 00235 00926 D 5 D N 2012ACE03848OE A 2013106 
19-001514 U US IA PAWNEE           40 35 03.00N 094 06 42.00W TOWER              1 00405 01555 D 4 D N 1999ACE00418OE C 2014124 
19-059916 O US IA BEDFORD          40 35 32.97N 094 53 54.22W WINDMILL           1 00499 01704 W 4 D W 2019WTE08920OE A 2020196 
19-059929 O US IA BEDFORD          40 35 36.25N 094 54 26.90W WINDMILL           1 00499 01694 W 4 D W 2019WTE08921OE A 2020188 
19-001551 O US IA LAMONI           40 35 36.80N 093 55 26.20W TOWER              1 00375 01497 D 2 C N 2003ACE00413OE C 2006064 
19-053387 O US IA LAMONI           40 35 39.16N 093 55 34.67W TOWER              1 00267 01385 D 1 A N 2017ACE04671OE A 2018134 
19-059928 O US IA BEDFORD          40 35 46.12N 094 50 08.08W WINDMILL           1 00499 01671 W 4 D W 2019WTE08918OE A 2020188 
19-059892 O US IA BEDFORD          40 35 59.10N 094 53 36.26W WINDMILL           1 00499 01708 W 4 D W 2019WTE08919OE A 2020191 
19-006077 U US IA MADISON          40 36 00.00N 091 28 01.00W TOWER              1 00160 00722 U     U                A 1976174 
19-002097 U US IA LAMONI           40 36 09.00N 093 55 24.00W TOWER              1 00345 01450 D 4 D M 2002ACE00304OE C 2014124 
19-059915 O US IA BEDFORD          40 36 09.42N 094 50 00.88W WINDMILL           1 00499 01676 W 4 D W 2019WTE08917OE A 2020195 
19-053419 U US IA SIAM             40 36 11.70N 094 54 07.45W MET                1 00200 01377 N 4 D S 2018WTE03964OE A 2018323 
19-027285 O US IA LAMONI           40 36 26.21N 093 56 30.95W TOWER              1 00319 01444 D 4 D N 2023ACE00773OE C 2023186 
19-000151 O US IA BRADDYVILLE      40 36 30.66N 095 04 20.51W TOWER              1 00371 01542 M 2 C N 2018ACE00618OE C 2018172 
19-021806 O US IA HAMBURG          40 36 58.70N 095 38 59.10W TOWER              1 00160 01087 N 2 C N 2010ACE01954OE A 2011314 
19-003014 U US IA MARK             40 37 02.50N 092 31 20.32W TOWER              1 00310 01237 D 4 D N 2006ACE01886OE C 2014124 
19-050655 U US IA BLOCKTON         40 37 07.93N 094 28 23.19W TOWER              1 00199 01363 N 4 D N 2013ACE02143OE A 2018024 
19-050263 U US IA MOUNT STERLING   40 37 17.40N 091 55 49.10W TOWER              1 00199 00930 N 4 D N 2010ACE02795OE A 2017307 
19-000661 O US IA COIN             40 37 23.00N 095 14 39.00W TOWER              4 00279 01329 R 5 D M 1977ACE00474OE C 2014138 
19-000576 O US IA FORT MADISON     40 37 38.47N 091 21 35.34W TOWER              1 00298 00861 D 2 C N 2011ACE03029OE C 2013330 
19-059891 O US IA BEDFORD          40 37 42.21N 094 48 27.96W WINDMILL           1 00499 01681 W 4 D W 2019WTE08914OE A 2020191 
19-020191 U US IA LINEVILLE        40 37 46.57N 093 29 32.73W TOWER              1 00350 01446 D 4 D N 2007ACE03350OE C 2014124 
19-000123 O US IA LINEVILLE        40 37 51.00N 093 32 20.00W TOWER              1 00305 01307 D 4 D N 2005ACE01152OE C 2006085 
19-000595 O US IA FORT MADISON     40 37 55.00N 091 26 01.00W TOWER              1 00484 01144 M 5 D N 1999ACE00261OE C 2003327 
19-001135 O US IA FT. MADISON      40 37 56.14N 091 26 10.55W TOWER              1 00299 00964 M 5 D N 2012ACE03807OE C 2013255 
19-000324 O US IA HAMBURG          40 38 10.00N 095 40 08.00W TOWER              1 00280 01430 D 4 D N 2001ACE02371OE C 2002160 
19-020192 O US IA CINCINNATI       40 38 10.64N 092 56 16.19W TOWER              1 00270 01296 D 2 C N 2007ACE04432OE A 2008140 
19-025335 O US IA FORT MADISON     40 38 12.23N 091 17 47.85W TOWER              1 00138 00813 U 2 C U                A 2013330 
19-025326 O US IA FORT MADISON     40 38 15.77N 091 19 24.47W TOWER              1 00049 00741 U 1 A U                A 2013330 
19-025328 O US IA FORT MADISON     40 38 15.83N 091 19 21.09W BLDG               1 00042 00738 U 1 A U                A 2013330 
19-025334 O US IA FORT MADISON     40 38 16.44N 091 19 07.07W TANK               1 00142 00847 U 1 B U                A 2013330 
19-000355 O US IA FT MADISON       40 38 17.00N 091 20 42.00W TOWER              1 00134 00840 U 4 D U 1971ACE00348OE C 2014124 
19-002051 O US IA FT. MADISON      40 38 17.89N 091 19 05.08W TOWER              1 00156 00856 D 1 B N 2001ACE02249OE C 2013330 
19-026931 O US IA CENTERVILLE      40 38 18.78N 092 53 12.07W POLE               1 00041 01044 U 1 A U                A 2014024 
19-000508 O US IA FT MADISON       40 38 33.83N 091 19 52.35W TOWER              1 00199 00881 R 2 C U                C 2013330 
19-025325 O US IA FORT MADISON     40 38 38.77N 091 19 21.89W BLDG               1 00047 00741 U 1 A U                A 2013330 
19-059854 O US IA BEDFORD          40 38 40.04N 094 48 12.21W WINDMILL           1 00499 01688 W 4 D W 2019WTE08922OE A 2020184 
19-002881 U US IA FARMINGTON       40 38 40.60N 091 43 41.70W TOWER              1 00260 00996 D 4 D N 2005ACE02571OE C 2014124 
19-001346 O US IA FORT MADISON     40 38 41.38N 091 17 57.19W TOWER              1 00165 00865 N 1 A N 2018ACE00826OE C 2018124 
19-059853 O US IA BEDFORD          40 38 41.78N 094 48 42.03W WINDMILL           1 00499 01668 W 4 D W 2019WTE08912OE A 2020183 
19-001268 O US IA DAVIS CITY       40 38 42.50N 093 51 50.84W TOWER              1 00363 01414 D 1 A N 2020ACE05653OE C 2020349 
19-003064 U US IA FARMINGTON       40 38 42.62N 091 43 43.75W TOWER              1 00290 01022 D 4 D N 2006ACE02238OE C 2014124 
19-003170 O US IA FORT MADISON     40 38 44.57N 091 20 27.30W TOWER              1 00169 00874 N 2 C N 2006ACE03128OE C 2013330 
19-002014 O US IA LAMONI           40 38 46.00N 093 51 42.00W TOWER              1 00250 01274 D 2 C N 2001ACE02364OE A 2002160 
19-052220 O US IA DONNELLSON       40 38 48.75N 091 34 03.87W TOWER              1 00300 01004 R 1 A P 2016ACE02712OE A 2017250 
19-026923 O US IA CENTERVILLE      40 38 56.63N 092 52 54.37W POLE               1 00047 01003 U 1 A U                A 2014024 
19-059832 O US IA BEDFORD          40 39 02.69N 094 48 31.00W WINDMILL           1 00499 01681 W 4 D W 2019WTE08911OE A 2020170 
19-001816 O US IA MILTON           40 39 07.00N 092 06 38.00W TOWER              1 00320 01109 D 5 D N 2000ACE02164OE C 2001288 
19-064859 O US IA COIN             40 39 10.00N 095 11 20.00W TOWER              1 00349 01485 D 4 D N 2020ACE08867OE A 2022096 
