  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
21-006006 O US KY FULTON           36 30 10.19N 088 52 25.88W TOWER              1 00190 00554 N 1 A N 2017ASO19188OE C 2017363 
21-068330 U US KY FULTON           36 30 45.70N 088 53 03.40W POLE               1 00080 00481 N 4 D N 2020ASO22898OE A 2020290 
21-000427 O US KY FULTON           36 30 46.00N 088 52 29.00W TOWER              1 00220 00610 R 5 D M 1985ASO01806OE C 2014138 
21-000023 O US KY FULTON           36 30 53.00N 088 54 06.00W TOWER              1 00213 00631 R 4 D M                C 2014138 
21-066323 U US KY FULTON           36 30 54.80N 088 53 01.60W TOWER              1 00066 00467 N 4 D N 2019ASO16405OE A 2020079 
21-022325 O US KY FULTON           36 31 00.52N 088 53 48.50W POLE               1 00120 00539 R 5 D N 2012ASO09406OE A 2014162 
21-055431 U US KY FULTON           36 31 01.06N 088 53 23.97W POLE               1 00120 00546 N 4 D N 2012ASO09403OE A 2018025 
21-056044 U US KY FULTON           36 31 04.24N 088 52 17.28W POLE               1 00120 00532 N 4 D N 2014ASO13950OE A 2018025 
21-022324 O US KY FULTON           36 31 04.34N 088 53 35.67W POLE               1 00120 00530 R 5 D N 2012ASO09405OE A 2014162 
21-055710 U US KY FULTON           36 31 05.70N 088 53 10.98W POLE               1 00120 00540 R 4 D N 2014ASO05486OE A 2018025 
21-056049 U US KY FULTON           36 31 06.48N 088 52 28.75W POLE               1 00120 00515 N 4 D N 2014ASO13949OE A 2018025 
21-055432 U US KY FULTON           36 31 07.47N 088 53 24.14W POLE               1 00120 00550 N 4 D N 2012ASO09402OE A 2018025 
21-002168 O US KY CAYCE            36 31 07.50N 089 05 41.40W TOWER              1 00348 00683 R 5 D P 2005ASO06060OE C 2008142 
21-056054 U US KY FULTON           36 31 08.35N 088 52 08.71W POLE               1 00120 00502 N 4 D N 2014ASO13951OE A 2018025 
21-056050 U US KY FULTON           36 31 10.20N 088 51 59.43W POLE               1 00120 00497 N 4 D N 2014ASO13952OE A 2018025 
21-056053 U US KY FULTON           36 31 10.72N 088 52 18.36W POLE               1 00120 00521 N 4 D N 2014ASO13948OE A 2018025 
21-022416 O US KY FULTON           36 31 10.80N 088 52 58.70W TOWER              1 00320 00719 D 4 D N 2014ASO09545OE A 2015237 
21-000240 O US KY FULTON           36 31 11.00N 088 52 57.00W TOWER              1 00300 00695 R 4 D M 0068_CL00021OE C 2014138 
21-061807 U US KY FULTON           36 31 11.60N 088 53 04.00W TOWER              1 00065 00467 N 4 D N 2017ASO01519OE A 2018113 
21-001310 O US KY FULTON           36 31 12.43N 088 50 41.49W TOWER              1 00401 00874 M 5 D N 2007ASO00921OE C 2007322 
21-066277 U US KY FULTON           36 31 18.30N 088 53 08.80W TOWER              1 00066 00478 N 4 D N 2018ASO23881OE A 2020035 
21-020500 O US KY FULTON           36 31 22.78N 088 52 48.04W TOWER              1 00258 00666 D 1 A N 2012ASO07494OE A 2012342 
21-001282 O US KY STATE LINE       36 31 28.00N 089 07 13.00W TOWER              1 00350 00695 M 5 D N 1993ASO01274OE C 2014138 
21-056415 U US KY FULTON           36 32 09.20N 088 52 33.10W TOWER              1 00066 00489 N 4 D N 2015ASO20786OE A 2018024 
21-002077 O US KY NEW CONCORD      36 32 49.72N 088 09 15.98W TOWER              1 00255 00677 D 1 A N 2004ASO06502OE A 2005016 
21-022412 O US KY FULTON           36 32 52.40N 088 54 28.20W TOWER              1 00060 00500 N 5 D N 2013ASO01719OE A 2015237 
21-000938 O US KY MURRAY           36 32 58.02N 088 19 54.00W TOWER              1 00700 01237 D 1 A N 2016ASO19440OE C 2016314 
21-062683 O US KY HAZEL            36 33 09.68N 088 19 46.30W TOWER              1 00224 00751 D 2 C N 2017ASO03467OE A 2018313 
21-000048 O US KY CUBA             36 33 26.00N 088 38 54.00W TOWER              1 00294 00857 R 4 D M 1998ASO00531OE C 2014138 
21-000166 O US KY SEDALIA          36 33 30.11N 088 35 22.99W TOWER              1 00324 00889 R 4 D P 2022ASO40250OE C 2023311 
21-020097 O US KY MURRAY           36 33 32.48N 088 10 30.17W TOWER              1 00300 00822 M 5 D N 2008ASO04926OE C 2008357 
21-020489 O US KY HICKMAN          36 34 03.33N 089 10 30.97W TOWER              1 00300 00659 D 1 A N 2011ASO06394OE A 2012193 
21-020165 O US KY WATER VALLEY     36 34 10.01N 088 50 13.25W TOWER              1 00330 00797 D 2 C N 2008ASO05727OE C 2009243 
21-066429 O US KY CLINTON          36 34 48.40N 088 58 49.35W TOWER              1 00300 00734 D 4 D N 2019ASO31151OE A 2020225 
21-001729 O US KY TRICITY          36 34 49.00N 088 31 45.00W TOWER              1 00300 00810 D 5 D N 1999ASO03653OE C 2001267 
21-001849 O US KY MURRAY           36 35 09.31N 088 17 36.17W TOWER              1 00340 00849 D 2 C N 2005ASO02585OE C 2007315 
21-000738 O US KY MURRAY           36 35 43.00N 088 17 52.00W TOWER              4 00220 00685 R 5 D M 1981ASO00043OE C 2014138 
21-061789 O US KY MURRAY           36 35 49.00N 088 28 12.00W TOWER              1 00499 01054 D 4 D N 2017ASO19550OE A 2018068 
21-000316 O US KY LYNN GROVE       36 35 50.00N 088 28 11.00W TOWER              1 00370 00923 U 4 D M 1971ASO01467OE C 2014124 
21-064929 O US KY MURRAY           36 35 54.27N 088 09 40.12W TOWER              1 00310 00860 D 1 A N 2018ASO16641OE A 2019113 
21-020359 O US KY CLINTON          36 36 12.12N 089 01 51.10W POLE               1 00199 00531 N 1 A N 2011ASO01581OE A 2011242 
21-020620 O US KY MIDDLESBORO      36 36 12.27N 083 42 41.73W BLDG               1 00019 01320 U 1 A U                A 2013224 
21-020638 O US KY MIDDLESBORO      36 36 12.64N 083 42 41.94W BLDG               1 00009 01314 U 1 A U                A 2013224 
21-020619 O US KY MIDDLESBORO      36 36 14.66N 083 42 42.02W BLDG               1 00040 01323 U 1 A U                A 2013224 
