  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
22-000992 O US LA CAMERON          28 00 13.00N 093 17 40.00W RIG                1 00247 00247 N 8 H N                C 2014138 
22-000983 O US LA HIGH ISLAND      28 05 06.00N 093 45 18.00W RIG                1 00247 00247 N 8 H N                C 2014138 
22-002039 O US LA HOUMA            28 05 50.00N 090 47 40.00W TOWER              1 00290 00290 R 8 H M 1990ASW00765OE C 2014138 
22-000975 U US LA HIGH ISLAND      28 14 32.00N 093 33 27.00W RIG                1 00095 00095 N     U                A 1982146 
22-001966 O US LA PECAN ISLAND     28 15 49.00N 092 06 53.00W RIG                1 00290 00290 R 8 H M 1988ASW00323OE C 2014138 
22-001881 O US LA LEEVILLE         28 35 52.00N 090 24 58.00W RIG                1 00205 00205 R 8 H M 1985ASW00047OE C 2014138 
22-001094 O US LA GRAND ISLE       28 39 08.00N 089 47 11.00W RIG                1 00208 00208 R 8 H M 1978ASW00750OE C 2014138 
22-001755 U US LA GRAND ISLE       28 39 58.00N 089 58 10.00W TOWER              1 00125 00199 R 4 D M 1985ASW00048OE C 2014124 
22-006011 U US LA LEEVILLE         28 40 27.00N 090 09 28.00W TOWER              1 00182 00182 U     U                A 1976072 
22-000854 O US LA MORGAN CITY      28 41 56.00N 091 13 55.00W TOWER              1 00223 00223 R 8 H N 0000_SW02423OE C 2014138 
22-006012 U US LA PATTERSON        28 45 46.00N 091 24 15.00W TOWER              1 00180 00180 U     U                A 1976072 
22-006013 U US LA MORGAN CITY      28 51 37.00N 091 52 46.00W TOWER              1 00153 00153 U     U                A 1976072 
22-002627 U US LA GRAND ISLE       28 53 07.00N 090 01 28.00W RIG                1 00223 00223 R 4 D M 1978ASW01369OE C 2014124 
22-001222 O US LA VENICE           29 02 18.00N 089 19 10.00W TOWER              1 00303 00303 M 5 D N 1979ASW01071OE C 2014138 
22-000521 O US LA VENICE           29 03 29.00N 089 18 15.00W TOWER              1 00140 00142 R 5 D M 1967ASW00561OE C 2014138 
22-006014 U US LA EUGENE ISLAND    29 04 35.00N 091 45 32.00W TOWER              1 00133 00133 U     U                A 1976072 
22-001805 O US LA VENICE           29 05 34.00N 089 11 40.00W TANK               1 00175 00180 R 4 D N                C 2014138 
22-006268 U US LA EMPIRE           29 05 36.00N 089 45 30.00W TOWER              1 00190 00190 U     U                A 1976174 
22-001804 O US LA LEEVILLE         29 06 38.00N 090 28 26.00W TOWER              1 00200 00200 R 4 D N                C 2014138 
22-000766 O US LA GOLDEN MEADOW    29 07 38.25N 090 12 52.10W TOWER              1 00262 00267 M 2 C N 2016ASW00101OE C 2017201 
22-020322 O US LA PORT FOURCHON    29 09 08.00N 090 10 50.00W TOWER              1 00425 00428 D 5 D N 2010ASW06731OE A 2011284 
22-001194 O US LA LEESVILLE        29 09 25.00N 090 10 36.00W TOWER              1 00225 00231 R 5 D M 1979ASW00047OE C 2014138 
22-003158 O US LA GOLDEN MEADOWS   29 10 08.63N 090 09 04.84W TOWER              1 00344 00344 D 2 C N 2002ASW04744OE C 2006099 
22-000133 O US LA LEEVILLE         29 11 31.00N 090 04 30.00W TOWER              1 00300 00310 U 9 I M                C 2014138 
22-000100 O US LA LEEVILLE         29 12 56.00N 090 13 08.00W TOWER              1 00255 00260 R 2 D M                C 2014138 
22-001343 O US LA LEEVILLE         29 12 56.50N 090 13 11.57W TOWER              1 00243 00245 M 2 C N 2012ASW00681OE C 2012053 
22-000105 O US LA LEEVILLE         29 13 06.00N 090 13 03.00W TOWER              1 00260 00265 R 1 D M                C 2014138 
22-000805 O US LA GOLDEN MEADOW    29 13 17.00N 090 12 53.40W TOWER              1 00628 00630 D 1 B N 2023ASW07306OE C 2023202 
22-000104 O US LA LEEVILLE         29 13 21.00N 090 12 53.00W TOWER              1 00305 00313 U 9 I M                C 2014138 
22-000111 O US LA VENICE           29 13 59.00N 089 23 29.00W TOWER              1 00459 00464 R 1 D M 1990ASW00067OE C 2014138 
22-006269 U US LA GRANDE ISLE      29 14 00.00N 089 59 53.00W TOWER              1 00115 00115 U     U                A 1976174 
22-001963 O US LA COCODRIE         29 14 13.78N 090 40 03.16W TOWER              1 00365 00367 M 5 D N 2004ASW06778OE C 2006057 
22-020002 U US LA COCODRIE         29 14 13.79N 090 40 03.08W TOWER              1 00340 00342 M 4 D N 2007ASW06699OE C 2014124 
22-002064 O US LA GRAND ISLE       29 14 25.00N 089 59 10.00W TOWER              1 00184 00194 N 5 D N 1987ASW01805OE C 2014138 
22-002975 O US LA GRAND ISLE       29 14 35.31N 089 59 10.61W TOWER              1 00256 00258 D 1 A N 2021ASW17981OE C 2022320 
22-000476 O US LA GRAND ISLE       29 14 54.00N 089 58 24.00W TOWER              1 00248 00251 U 4 D M 0066_HU00524OE C 2014124 
22-003451 O US LA COCODRIE         29 14 56.19N 090 39 38.15W TOWER              1 00225 00228 D 2 C N 2004ASW02249OE C 2006064 
22-006270 U US LA GRAND ISLE       29 14 59.00N 089 58 56.00W TOWER              1 00148 00152 U     U                A 1976174 
22-001778 O US LA VENICE           29 15 17.10N 089 21 36.50W TOWER              1 00205 00208 D 4 D N 2021ASW01010OE C 2021105 
22-006271 U US LA GRAND ISLE       29 15 21.00N 089 58 03.00W TOWER              1 00174 00179 U     U                A 1976174 
22-000434 O US LA VENICE           29 15 21.00N 089 21 24.00W TOWER              1 00365 00369 R 1 D M 1993ASW01160OE C 2014138 
22-000117 O US LA GRAND ISLE       29 15 26.00N 089 57 53.00W TOWER              1 00244 00248 R 1 D M 1993ASW02017OE C 2014138 
22-000118 O US LA VENICE           29 15 36.00N 089 21 18.00W TOWER              1 00200 00204 R 1 D M 1993ASW02020OE C 2014138 
22-006272 U US LA VENICE           29 15 41.00N 089 21 38.00W TOWER              1 00120 00120 U     U                A 1976174 
22-020255 O US LA VENICE           29 15 52.32N 089 21 14.72W TOWER              1 00250 00253 D 5 D N 2010ASW05709OE A 2011201 
22-000582 O US LA BOOTHVILLE       29 15 59.00N 089 21 11.00W TOWER              1 00208 00211 M 1 C N 1998ASW05302OE C 2014138 
22-006015 U US LA VENICE           29 16 08.00N 089 21 08.00W TOWER              1 00061 00061 U     U                A 1976072 
22-000603 O US LA MORGAN CITY      29 16 17.01N 091 10 41.27W TOWER              1 00203 00203 M 4 D N 2014ASW03828OE C 2018201 
22-001400 O US LA BURAS            29 17 59.47N 089 22 28.52W TOWER              1 00493 00490 D 1 A N 2016ASW05531OE C 2017223 
22-006016 U US LA VENICE           29 18 03.00N 089 22 39.00W TOWER              1 00163 00163 U     U                A 1976072 
22-002068 O US LA LEEVILLE         29 18 24.29N 090 14 10.30W TOWER              1 00500 00502 M 2 C N 2004ASW05521OE C 2006113 
22-000908 O US LA VENICE           29 18 44.00N 089 17 36.00W TOWER              1 00225 00228 R 5 D M 2001ASW06749OE C 2002202 
22-020166 O US LA CHAUVIN          29 20 11.26N 090 38 37.08W TOWER              1 00340 00342 D 4 D N 2021ASW17762OE C 2022298 
22-002046 O US LA TRIUMPH          29 20 12.00N 089 28 40.00W TOWER              1 00170 00170 R 5 D M 1987ASW01722OE C 2014138 
22-002209 O US LA BURAS            29 20 16.00N 089 28 46.00W TOWER              1 00150 00150 D 5 D N 1990ASW00638OE C 2014138 
22-000669 O US LA THERIOT          29 20 20.00N 090 50 07.00W TOWER              1 00343 00347 M 5 D M 1992ASW00867OE C 2014138 
22-001036 O US LA BOOTHVILLE       29 20 35.00N 089 24 49.00W TOWER              1 00302 00302 R 4 D M                C 2014138 
22-020024 O US LA DULAC            29 20 48.40N 090 49 49.52W TOWER              1 00675 00673 H 2 C N 2007ASW00499OE C 2013122 
22-002335 O US LA THERIOT          29 20 50.23N 090 49 53.72W TOWER              1 00500 00501 M 1 A N 2007ASW08161OE C 2021091 
22-020251 O US LA BOOTHVILLE       29 20 51.00N 089 25 36.43W TOWER              1 00337 00334 M 1 A N 2010ASW07082OE A 2011202 
22-006265 U US LA GOLDEN MEADOW    29 21 01.00N 090 15 00.00W TANK               1 00154 00158 U     U                A 1976174 
22-003465 O US LA BURAS            29 21 14.58N 089 32 09.97W TOWER              1 00349 00351 D 1 A N 2009ASW06005OE C 2017240 
22-001026 O US LA BURAS            29 21 19.00N 089 31 26.00W TOWER              1 00253 00255 R 5 D M 1990ASW00798OE C 2014138 
22-000114 O US LA BURAS            29 21 20.85N 089 31 56.93W TOWER              1 00257 00257 D 1 A N 2015ASW01830OE C 2016235 
