  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
26-002813 O US MI MORENCI          41 42 39.00N 084 12 24.00W TOWER              1 00316 01068 D 4 D N 2023AGL03655OE C 2023241 
26-003103 U US MI OTTAWA LAKE      41 44 05.36N 083 44 53.07W TOWER              1 00220 00913 D 4 D M 2004AGL01096OE C 2014124 
26-020448 O US MI BLISSFIELD       41 44 06.19N 084 00 31.99W TOWER              1 00263 01000 R 5 D P 2010WTE15827OE A 2011075 
26-006009 U US MI LAMBERTVILLE     41 44 15.00N 083 35 19.00W TOWER              1 00163 00778 U     U                A 1976076 
26-166979 U US MI TEMPERANCE       41 44 26.19N 083 36 36.45W TOWER              1 00180 00806 N 4 D N 2022AGL05972OE A 2023306 
26-002007 O US MI WALDRON          41 44 33.00N 084 35 30.00W TOWER              1 00269 01279 D 5 D N 1996AGL03612OE C 2014138 
26-002217 O US MI JASPER           41 44 41.00N 084 01 06.00W TOWER              1 00600 01336 D 4 D N 2019AGL00060OE C 2019079 
26-021290 O US MI PETERSBURG       41 44 50.70N 083 39 04.62W POLE               1 00164 00817 N 5 D N 2012AGL04763OE A 2013064 
26-020261 O US MI CAMDEN           41 45 02.66N 084 46 50.81W TOWER              1 00306 01415 D 2 C N 2010AGL02589OE A 2010201 
26-128402 O US MI MONTGOMERY       41 45 08.86N 084 46 53.94W TOWER              1 00319 01423 D 1 A N 2018AGL11959OE A 2019157 
26-002513 O US MI HUDSON           41 45 09.20N 084 21 57.70W TOWER              1 00269 01136 D 2 C N 2003AGL04311OE C 2004270 
26-002831 O US MI SAND CREEK       41 45 12.80N 084 04 45.70W TOWER              1 00315 01076 D 2 C N 2020AGL22809OE C 2021067 
26-021352 O US MI OTTAWA LAKE      41 45 15.84N 083 41 45.01W TOWER              1 00139 00812 N 4 D N 2022AGL01906OE C 2023250 
26-102523 U US MI CAMDEN           41 45 32.50N 084 45 38.60W TOWER              1 00199 01222 N 1 A N 2015AGL09877OE A 2018024 
26-000307 O US MI OTTAWA LAKE      41 45 40.00N 083 44 11.00W TOWER              1 00280 00961 R 4 D M 0003_OE03675OE C 2014152 
26-111658 O US MI NEW BUFFALO      41 45 51.40N 086 44 50.50W TOWER              1 00364 01049 D 4 D N 2016AGL07826OE A 2017349 
26-001711 O US MI ERIE             41 45 52.00N 083 29 15.00W TOWER              1 00230 00810 D 2 C N 2006AGL06523OE C 2006275 
26-025025 O US MI STURGIS          41 46 00.25N 085 26 41.73W T-L TWR            1 00041 00902 U 1 A U                A 2013204 
26-002661 O US MI STURGIS          41 46 11.00N 085 25 09.00W TOWER              1 00350 01219 M 5 D N 1999AGL05619OE C 2006064 
26-000331 O US MI CAMDEN           41 46 12.42N 084 44 55.58W TOWER              1 00250 01321 R 5 D P 2015AGL11602OE C 2015317 
26-139545 O US MI TEMPERANCE       41 46 26.30N 083 36 45.50W TOWER              1 00184 00844 N 2 C N 2020AGL19846OE A 2021029 
26-025024 O US MI STURGIS          41 46 39.27N 085 26 50.86W T-L TWR            1 00038 00919 U 1 B U                A 2013204 
26-000357 O US MI STURGIS          41 46 41.00N 085 24 36.00W TOWER              1 00407 01301 R 2 A M                C 2014138 
26-001843 O US MI BLISSFIELD       41 46 41.00N 083 49 56.00W TOWER              1 00362 01067 D 2 C N 1994AGL03744OE C 2014152 
26-024923 O US MI STURGIS          41 46 46.64N 085 29 13.56W TANK               1 00084 00954 U 1 A U                A 2013204 
26-000577 O US MI PETERSBURG       41 47 01.00N 083 43 18.00W TOWER              1 00309 00994 R 5 D M 1992AGL00259OE C 2014152 
26-028343 U US MI TEMPERANCE       41 47 02.93N 083 34 02.05W TOWER              1 00155 00777 N 4 D N 2010AGL05450OE A 2017159 
26-116741 O US MI NEW BUFFALO      41 47 04.06N 086 44 04.16W TOWER              1 00358 01018 D 1 A N 2017AGL07773OE A 2018320 
26-151976 U US MI STURGIS          41 47 07.20N 085 25 45.60W POLE               1 00080 00979 N 4 D N 2020AGL05991OE A 2021313 
26-025027 O US MI STURGIS          41 47 13.18N 085 25 34.93W TOWER              1 00179 01077 N 2 C N 2022AGL17483OE C 2023242 
26-002379 O US MI OTTAWA LAKE      41 47 15.44N 083 42 05.57W TOWER              1 00257 00938 D 2 C N 2022AGL16647OE C 2023124 
26-101866 U US MI UNION            41 47 20.30N 085 50 48.35W TOWER              1 00180 01022 N 4 D N 2013AGL04008OE A 2018024 
26-001429 O US MI OTTAWA LAKE      41 47 21.00N 083 44 45.00W TOWER              1 00257 00946 M 5 D N 1988AGL01777OE C 2014152 
26-001709 O US MI TEMPERANCE       41 47 22.00N 083 35 12.00W TANK               1 00189 00821 R 5 D N                C 2014152 
26-167067 O US MI UNION            41 47 24.20N 085 50 49.60W TOWER              1 00325 01184 D 4 D N 2022AGL07824OE A 2023111 
26-001874 O US MI WHITE PIGEON     41 47 26.69N 085 48 35.89W TOWER              1 00341 01211 D 5 D N 2016AGL07547OE C 2016188 
26-002266 O US MI LUNA PIER        41 47 30.90N 083 26 55.70W BLDG-TWR           1 00300 00880 F 5 D N 2003AGL05960OE C 2005156 
26-002830 U US MI STURGIS          41 47 32.00N 085 31 16.00W TOWER              1 00315 01183 D 4 D N 2001AGL04218OE C 2014124 
26-002690 U US MI WHITE PIGEON     41 47 34.00N 085 39 39.00W TOWER              1 00195 01068 N 4 D N 2001AGL01182OE C 2014124 
26-002918 O US MI EDWARDSBURG      41 47 37.33N 086 05 00.86W TOWER              1 00197 01026 N 1 A N 2009AGL00851OE C 2009226 
26-025014 O US MI STURGIS          41 47 48.91N 085 28 57.41W T-L TWR            1 00071 00951 U 1 A U                A 2013204 
26-002703 U US MI NILES            41 47 49.00N 086 11 47.00W TOWER              1 00260 01015 D 4 D N 2000AGL06290OE C 2014124 
26-110197 U US MI STURGIS          41 47 50.16N 085 28 37.55W T-L TWR            1 00073 00954 N 4 D N 2017AGL09301OE A 2018027 
