  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
27-088213 O US MN NORTHWOOD        43 30 04.20N 093 11 12.86W WINDMILL           1 00459 01694 W 4 D W 2017WTE08845OE A 2021097 
27-001879 O US MN AUSTIN           43 30 06.70N 092 55 49.50W TOWER              1 00315 01486 D 5 D N 2000AGL06081OE C 2011327 
27-080715 O US MN BRICELYN         43 30 10.20N 093 50 51.30W TOWER              1 00265 01471 D 1 A N 2018AGL14141OE A 2019063 
27-088214 O US MN NORTHWOOD        43 30 19.13N 093 11 00.04W WINDMILL           1 00459 01694 W 4 D W 2017WTE08846OE A 2021097 
27-088159 O US MN NORTHWOOD        43 30 27.49N 093 09 48.96W WINDMILL           1 00459 01693 W 4 D W 2017WTE08848OE A 2021077 
27-024251 O US MN ELMORE           43 30 31.86N 094 05 07.34W TANK               1 00125 01288 N 1 A N 2011AGL04015OE A 2014024 
27-001791 O US MN LE ROY           43 30 41.19N 092 32 00.17W TOWER              1 00255 01602 D 4 D N 2023AGL15469OE C 2023270 
27-000843 O US MN EAST CHAIN       43 30 42.00N 094 27 04.00W TOWER              1 00300 01520 D 5 D N 1997AGL04503OE C 2014138 
27-002356 O US MN ELMORE           43 30 53.17N 094 05 21.25W TOWER              1 00193 01309 D 5 D N 2004AGL01659OE C 2004278 
27-089017 U US MN GLENVILLE        43 30 59.00N 093 21 37.00W TOWER              1 00302 01588 D 4 D N 2018AGL11927OE A 2021242 
27-080706 O US MN FAIRMONT         43 30 59.01N 094 26 16.88W TOWER              1 00265 01492 D 1 A N 2018AGL14142OE A 2019051 
27-088131 O US MN NORTHWOOD        43 31 06.28N 093 09 44.98W WINDMILL           1 00459 01691 W 4 D W 2017WTE08838OE A 2021062 
27-088171 O US MN NORTHWOOD        43 31 07.75N 093 11 13.06W WINDMILL           1 00459 01716 W 4 D W 2017WTE08837OE A 2021082 
27-088132 O US MN NORTHWOOD        43 31 10.27N 093 09 23.76W WINDMILL           1 00459 01690 W 4 D W 2017WTE08839OE A 2021062 
27-071024 O US MN ELLSWORTH        43 31 11.36N 096 01 01.72W TOWER              1 00259 01708 D 1 A N 2017AGL02771OE A 2018198 
27-001789 O US MN MABEL            43 31 23.88N 091 46 36.54W TOWER              1 00410 01610 D 5 D N 1999AGL02473OE C 2012052 
27-001393 O US MN ROUND LAKE       43 31 31.00N 095 24 48.00W TOWER              1 00499 02041 R 5 D M 1993AGL03092OE C 2014152 
27-080719 O US MN ELMORE           43 31 35.21N 094 05 08.82W TOWER              1 00210 01330 D 1 A N 2018AGL14106OE A 2019071 
27-020801 O US MN TWIN LAKES       43 31 36.83N 093 21 26.49W TOWER              1 00307 01565 D 2 C N 2005AGL07066OE A 2011278 
27-000769 O US MN JACKSON          43 31 45.00N 095 00 03.00W TOWER              4 00195 01595 N 3 C N 1989AGL02360OE C 2014138 
27-002069 U US MN CANTON           43 31 49.00N 091 52 27.00W TOWER              1 00265 01545 D 4 D U 2001AGL02266OE C 2014124 
27-087322 O US MN ALBERT LEA       43 31 50.57N 093 13 26.03W WINDMILL           1 00459 01738 W 4 D W 2020WTE00865OE A 2021098 
27-087321 O US MN ALBERT LEA       43 31 50.73N 093 12 58.76W WINDMILL           1 00459 01750 W 4 D W 2017WTE08829OE A 2021096 
27-080648 U US MN DUNNELL          43 31 58.92N 094 51 11.40W MET                1 00199 01561 N 4 D S 2018WTE02264OE A 2018330 
27-087320 O US MN ALBERT LEA       43 32 04.61N 093 14 29.48W WINDMILL           1 00459 01734 W 4 D W 2017WTE08827OE A 2021134 
27-002344 O US MN ADAMS            43 32 11.10N 092 43 55.60W WINDMILL           1 00370 01667 N 2 C M 2005AGL02601OE C 2006057 
27-002343 O US MN ADAMS            43 32 11.30N 092 44 12.50W WINDMILL           1 00370 01662 R 2 C M 2005AGL02600OE C 2006057 
27-002345 O US MN ADAMS            43 32 12.10N 092 43 38.60W WINDMILL           1 00370 01680 R 2 C M 2005AGL02602OE C 2006057 
27-002346 O US MN ADAMS            43 32 12.20N 092 43 22.70W WINDMILL           1 00370 01674 R 2 C M 2005AGL02603OE C 2006057 
27-002347 O US MN ADAMS            43 32 12.30N 092 43 06.90W WINDMILL           1 00370 01681 N 2 C M 2005AGL02604OE C 2006057 
