  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
28-001229 O US MS GULF OF MEXICO   29 17 45.00N 088 50 32.00W RIG                1 00187 00187 L 8 H M                C 2014138 
28-023468 O US MS BAY ST.LOUIS     30 13 42.60N 089 32 18.90W TOWER              1 00350 00360 D 4 D N 2016ASO00804OE C 2016354 
28-002692 U US MS WAVELAND         30 13 43.73N 089 33 22.44W BLDG               1 00225 00243 M 4 D N 2005ASO00545OE C 2014124 
28-002192 O US MS WAVELAND         30 14 10.26N 089 30 22.50W TOWER              1 00342 00354 D 2 C N 2005ASO03955OE C 2007077 
28-000140 O US MS BAY ST LOUIS     30 14 28.23N 089 29 43.02W TOWER              1 00304 00314 D 4 D N 2018ASO05674OE C 2018226 
28-002191 O US MS PEARLINGTON      30 14 46.26N 089 36 08.05W TOWER              1 00290 00293 D 2 C N 2013ASO07911OE C 2016306 
28-002345 O US MS PEARLINGTON      30 14 55.00N 089 35 45.00W TOWER              1 00256 00264 D 2 C N 2003ASO02166OE C 2004005 
28-002007 O US MS WAVELAND         30 17 39.00N 089 24 56.00W TOWER              1 00315 00329 D 2 C N 2000ASO04675OE C 2003299 
28-001078 O US MS WAVELAND         30 17 39.09N 089 22 53.75W TOWER              1 00420 00440 M 4 D N 2023ASO12821OE C 2024017 
28-002086 O US MS WAVELAND         30 18 01.93N 089 23 48.04W TOWER              1 00260 00273 D 2 C N 2006ASO07358OE C 2007322 
28-020928 O US MS BAY ST. LOUIS    30 18 03.08N 089 27 49.90W T-L TWR            1 00090 00103 U 1 B U                A 2013061 
28-001591 O US MS BAY SAINT LOUIS  30 18 11.64N 089 29 53.76W TOWER              1 00265 00284 D 2 C N 2013ASO01938OE C 2014027 
28-001345 O US MS LAKESHORE        30 18 13.00N 089 29 44.00W TOWER              1 00340 00361 M 5 D N 1994ASO02317OE C 2014138 
28-001814 O US MS WAVELAND         30 18 13.03N 089 29 49.85W TOWER              1 00335 00354 D 1 A N 2003ASO06599OE C 2005072 
28-046694 U US MS SHORELINE PARK   30 18 17.70N 089 24 18.50W TOWER              1 00100 00110 N 4 D N 2016ASO19133OE A 2018024 
28-001324 O US MS BAY ST. LOUIS    30 18 35.00N 089 20 01.00W TOWER              1 00225 00245 D 5 D N 1994ASO02609OE C 2014138 
28-000746 O US MS SPRING BRANCH    30 18 37.00N 089 35 59.00W TOWER              1 00204 00224 R 3 C M 1980ASO00661OE C 2004011 
28-001530 O US MS PEARLINGTON      30 18 39.58N 089 35 29.62W TOWER              1 00330 00348 D 3 C N 2023ASO02788OE C 2024009 
28-001443 O US MS WAVELAND         30 18 47.00N 089 24 45.00W TOWER              1 00500 00505 M 5 D N 1996ASO01263OE C 2014138 
28-001378 O US MS WAVELAND         30 18 49.00N 089 24 41.00W TOWER              1 00516 00519 M 1 B N 1998ASO02795OE C 2014138 
