  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
29-021161 O US MO BLYTHEVILLE      36 00 06.05N 089 50 40.33W T-L TWR            1 00080 00335 U 1 A U                A 2013212 
29-024111 O US MO STEELE           36 02 16.54N 089 51 35.83W POLE               1 00051 00306 U 1 A U                A 2014084 
29-089069 O US MO CARDWELL         36 02 19.77N 090 17 37.59W TOWER              1 00265 00510 D 1 A N 2023ACE00378OE A 2023268 
29-089070 U US MO HORNERSVILLE     36 02 29.88N 090 06 38.89W TOWER              1 00198 00445 N 1 A N 2023ACE01992OE A 2023254 
29-002143 O US MO STEELE           36 02 30.25N 089 57 34.31W TOWER              1 00180 00424 N 5 D N 2009ACE00269OE C 2010272 
29-077039 O US MO CARDWELL         36 02 50.23N 090 16 01.01W TOWER              1 00210 00456 D 4 D N 2020ACE00013OE A 2021112 
29-024110 O US MO STEELE           36 03 30.00N 089 52 13.78W TANK               1 00135 00391 U 1 A U                A 2014084 
29-024109 O US MO STEELE           36 03 32.38N 089 51 33.84W BLDG               1 00034 00292 U 1 A U                A 2014084 
29-024108 O US MO STEELE           36 03 45.53N 089 51 34.99W POLE               1 00055 00310 U 1 A U                A 2014084 
29-024107 O US MO STEELE           36 03 47.19N 089 51 34.06W POLE               1 00046 00301 U 1 A U                A 2014084 
29-024106 O US MO STEELE           36 04 51.91N 089 51 32.50W POLE               1 00035 00291 U 1 A U                A 2014084 
29-024105 O US MO STEELE           36 04 51.92N 089 51 35.26W POLE               1 00044 00294 U 1 A U                A 2014084 
29-024104 O US MO STEELE           36 04 51.99N 089 51 39.30W POLE               1 00033 00289 U 1 A U                A 2014084 
29-076414 U US MO HAYTI  MO        36 04 58.63N 089 49 58.13W T-L TWR            1 00069 00324 N 4 D N 2019ACE04989OE A 2021078 
29-024120 O US MO STEELE           36 05 01.78N 089 51 07.82W ELEVATOR           1 00059 00318 U 1 A U                A 2014084 
29-004104 O US MO STEELE           36 05 04.00N 089 49 55.00W TOWER              1 00082 00341 N 5 D N 2007ACE01466OE C 2008224 
29-024117 O US MO STEELE           36 05 05.03N 089 51 14.65W POLE               1 00035 00293 U 1 A U                A 2014084 
29-024103 O US MO STEELE           36 05 05.29N 089 51 32.10W POLE               1 00036 00290 U 1 A U                A 2014084 
29-024102 O US MO STEELE           36 05 05.32N 089 51 34.24W POLE               1 00036 00290 U 1 A U                A 2014084 
29-024101 O US MO STEELE           36 05 05.36N 089 51 36.41W POLE               1 00036 00291 U 1 A U                A 2014084 
29-024100 O US MO STEELE           36 05 05.40N 089 51 39.91W POLE               1 00037 00292 U 1 A U                A 2014084 
29-024099 O US MO STEELE           36 05 07.52N 089 51 36.27W POLE               1 00039 00294 U 1 A U                A 2014084 
29-024098 O US MO STEELE           36 05 10.24N 089 51 36.28W POLE               1 00030 00286 U 1 A U                A 2014084 
29-024116 O US MO STEELE           36 05 11.89N 089 52 21.96W POLE               1 00036 00290 U 1 A U                A 2014084 
29-024097 O US MO STEELE           36 05 12.94N 089 51 36.27W POLE               1 00034 00291 U 1 A U                A 2014084 
29-024096 O US MO STEELE           36 05 15.69N 089 51 36.25W POLE               1 00029 00286 U 1 A U                A 2014084 
29-024115 O US MO STEELE           36 05 19.92N 089 51 49.75W POLE               1 00029 00284 U 1 A U                A 2014084 
29-024112 O US MO STEELE           36 05 20.91N 089 51 51.25W POLE               1 00025 00280 U 1 A U                A 2014084 
29-024113 O US MO STEELE           36 05 21.02N 089 51 50.29W POLE               1 00024 00280 U 1 A U                A 2014084 
29-020958 O US MO STEELE           36 05 22.53N 089 49 45.30W TOWER              1 00200 00458 N 1 A N 2010ACE00345OE A 2013050 
29-076413 U US MO HAYTI  MO        36 05 22.75N 089 50 00.40W T-L TWR            1 00060 00320 N 4 D N 2019ACE04988OE A 2021078 
29-024081 O US MO STEELE           36 05 22.95N 089 51 27.99W POLE               1 00034 00292 U 1 A U                A 2014084 
29-020837 O US MO STEELE           36 05 23.28N 089 48 54.60W TOWER              1 00145 00403 N 5 D N 2011ACE00731OE A 2012258 
29-024082 O US MO STEELE           36 05 24.17N 089 51 25.03W POLE               1 00030 00286 U 1 A U                A 2014084 
29-024083 O US MO STEELE           36 05 24.71N 089 51 26.17W POLE               1 00035 00292 U 1 A U                A 2014084 
29-024084 O US MO STEELE           36 05 33.01N 089 51 28.49W POLE               1 00028 00288 U 1 A U                A 2014084 
29-000718 O US MO STEELE           36 05 35.30N 089 49 45.84W TOWER              1 00302 00561 R 1 B M 2000ACE01501OE C 2020045 
29-024085 O US MO STEELE           36 05 44.55N 089 51 24.58W TOWER              1 00042 00300 U 1 A U                A 2014084 
29-024086 O US MO STEELE           36 05 44.92N 089 51 30.10W POLE               1 00020 00280 U 1 A U                A 2014084 
29-076412 U US MO HAYTI  MO        36 05 48.42N 089 50 00.50W T-L TWR            1 00060 00320 N 4 D N 2019ACE04987OE A 2021078 
29-024087 O US MO STEELE           36 05 53.15N 089 51 39.15W GEN UTIL           1 00002 00260 U 1 A U                A 2014084 
29-024088 O US MO STEELE           36 06 03.35N 089 51 26.47W FENCE              1 00001 00256 U 1 A U                A 2014084 
29-024119 O US MO STEELE           36 06 09.86N 089 50 47.37W TOWER              1 00006 00263 U 1 A U                A 2014084 
29-002156 O US MO MCCARTY          36 06 13.00N 089 42 30.00W TOWER              1 00250 00512 D 5 D N 2000ACE00162OE C 2014138 
29-002425 O US MO BENTON           36 06 13.00N 089 46 14.00W TOWER              1 00260 00528 D 2 C N 2000ACE01205OE C 2001253 
29-076411 U US MO HAYTI  MO        36 06 24.45N 089 49 59.85W T-L TWR            1 00056 00313 N 4 D N 2019ACE04986OE A 2021078 
29-024089 O US MO STEELE           36 06 35.81N 089 51 35.81W TOWER              1 00048 00305 U 1 A U                A 2014084 
29-024090 O US MO STEELE           36 06 36.83N 089 51 31.70W POLE               1 00043 00300 U 1 A U                A 2014084 
29-024114 O US MO STEELE           36 06 37.27N 089 52 18.66W POLE               1 00071 00326 U 1 A U                A 2014084 
29-024091 O US MO STEELE           36 06 52.07N 089 51 17.23W TOWER              1 00054 00317 U 1 A U                A 2014084 
29-076410 U US MO HAYTI  MO        36 07 03.14N 089 49 59.93W T-L TWR            1 00056 00316 N 4 D N 2019ACE04985OE A 2021078 
29-054458 O US MO SENATH           36 07 04.82N 090 10 36.83W TOWER              1 00244 00496 D 1 A N 2017ACE04846OE A 2018282 
29-024118 O US MO STEELE           36 07 05.27N 089 50 47.71W TOWER              1 00041 00303 U 1 A U                A 2014084 
29-024092 O US MO STEELE           36 07 15.59N 089 51 37.38W POLE               1 00035 00297 U 1 A U                A 2014084 
29-076408 U US MO HAYTI  MO        36 07 39.22N 089 49 29.16W T-L TWR            1 00056 00317 N 4 D N 2019ACE04984OE A 2021077 
29-002623 O US MO SENATH           36 08 01.00N 090 14 03.00W TOWER              1 00328 00577 D 5 D N 2002ACE01905OE C 2003166 
29-024093 O US MO STEELE           36 08 20.90N 089 50 49.49W POLE               1 00042 00303 U 1 A U                A 2014084 
29-024094 O US MO STEELE           36 08 21.39N 089 51 53.62W POLE               1 00037 00297 U 1 A U                A 2014084 
29-076407 U US MO HAYTI  MO        36 08 28.44N 089 49 28.91W T-L TWR            1 00056 00319 N 4 D N 2019ACE04983OE A 2021077 
29-076428 U US MO CARUTHERSVILLE   36 08 56.33N 089 39 29.37W POLE               1 00050 00314 N 4 D N 2019ACE08881OE A 2021077 
29-076427 U US MO CARUTHERSVILLE   36 09 00.63N 089 39 35.19W POLE               1 00050 00314 N 4 D N 2019ACE08882OE A 2021077 
29-076430 U US MO CARUTHERSVILLE   36 09 02.84N 089 39 49.85W POLE               1 00050 00335 N 4 D N 2019ACE08884OE A 2021077 
29-076429 U US MO CARUTHERSVILLE   36 09 03.12N 089 39 48.57W POLE               1 00050 00336 N 4 D N 2019ACE08885OE A 2021077 
29-076399 U US MO HAYTI  MO        36 09 06.46N 089 49 29.24W T-L TWR            1 00056 00321 N 4 D N 2019ACE04982OE A 2021085 
29-076432 U US MO CARUTHERSVILLE   36 09 08.65N 089 39 49.47W POLE               1 00050 00335 N 4 D N 2019ACE08887OE A 2021078 
29-076426 U US MO CARUTHERSVILLE   36 09 08.89N 089 39 48.17W POLE               1 00050 00334 N 4 D N 2019ACE08886OE A 2021077 
29-076431 U US MO CARUTHERSVILLE   36 09 10.90N 089 40 02.41W POLE               1 00050 00317 N 4 D N 2019ACE08880OE A 2021078 
29-076433 U US MO CARUTHERSVILLE   36 09 15.45N 089 40 08.76W POLE               1 00050 00317 N 4 D N 2019ACE08883OE A 2021081 
29-076400 U US MO HAYTI  MO        36 09 30.08N 089 49 31.69W T-L TWR            1 00056 00316 N 4 D N 2019ACE04981OE A 2021077 
29-024072 O US MO CARUTHERSVILLE   36 09 40.75N 089 40 28.45W BLDG               1 00059 00324 U 2 C U                A 2014084 
29-024073 O US MO CARUTHERSVILLE   36 09 41.58N 089 40 29.64W BLDG               1 00024 00289 U 2 C U                A 2014084 
29-024075 O US MO CARUTHERSVILLE   36 09 45.06N 089 40 30.73W FENCE              1 00005 00270 U 2 C U                A 2014084 
29-024074 O US MO CARUTHERSVILLE   36 09 46.07N 089 40 28.96W STACK              1 00035 00301 U 2 C U                A 2014084 
29-024076 O US MO CARUTHERSVILLE   36 09 48.07N 089 40 30.43W FENCE              1 00005 00270 U 2 C U                A 2014084 
29-024077 O US MO CARUTHERSVILLE   36 09 48.55N 089 40 30.74W FENCE              1 00005 00270 U 2 C U                A 2014084 
29-024078 O US MO CARUTHERSVILLE   36 09 48.56N 089 40 30.44W FENCE              1 00005 00271 U 2 C U                A 2014084 
29-024079 O US MO CARUTHERSVILLE   36 09 51.42N 089 40 29.69W BLDG               1 00023 00288 U 2 C U                A 2014084 
29-002220 O US MO CARUTHERSVILLE   36 10 00.12N 089 45 01.86W TOWER              1 00250 00516 D 2 C N 2014ACE05280OE C 2015183 
29-076415 U US MO HAYTI  MO        36 10 03.66N 089 49 42.15W T-L TWR            1 00060 00322 N 4 D N 2019ACE04980OE A 2021078 
29-024080 O US MO CARUTHERSVILLE   36 10 08.43N 089 40 30.52W POLE               1 00029 00295 U 2 C U                A 2014084 
29-024047 O US MO CARUTHERSVILLE   36 10 09.04N 089 40 29.67W BLDG               1 00009 00274 U 2 C U                A 2014084 
