  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
30-020682 O US MT DILLON           44 35 51.90N 111 58 22.10W TOWER              1 00080 06740 N 5 E N 2007ANM00371OE A 2014099 
30-000069 O US MT W. YELLOWSTONE   44 38 56.29N 111 05 51.25W TOWER              1 00250 06916 R 2 A M 0066_MP00262OE C 2010211 
30-061699 U US MT WEST YELLOWSTONE 44 39 33.35N 111 05 56.35W TOWER              1 00120 06792 N 4 D N 2018ANM00432OE A 2018163 
30-020387 O US MT WEST YELLOWSTONE 44 39 51.27N 111 06 05.73W TOWER              1 00111 06779 N 1 A N 2011ANM01372OE A 2011257 
30-020680 O US MT LIME             44 40 56.90N 112 01 27.00W TOWER              1 00100 08384 N 5 E N 2007ANM00370OE A 2014097 
30-000357 O US MT W. YELLOWSTONE   44 41 08.60N 111 06 52.89W TOWER              1 00068 06705 L 1 A U                C 2010225 
30-000358 O US MT W. YELLOWSTONE   44 41 42.58N 111 06 24.33W BLDG               1 00058 06688 L 1 A N                C 2010228 
30-000359 O US MT W. YELLOWSTONE   44 42 06.64N 111 06 26.78W BLDG               1 00015 06645 U 1 B U                C 2010228 
30-084559 O US MT LIMA             44 43 33.94N 112 40 38.06W TOWER              1 00199 06629 N 1 A N 2021ANM03312OE A 2022140 
30-020681 O US MT LIMA             44 44 54.90N 112 59 57.90W TOWER              1 00100 09791 N 5 E N 2007ANM00369OE A 2014097 
30-020723 O US MT WEST YELLOWSTONE 44 45 04.03N 111 11 45.11W TOWER              1 00102 07163 N 1 A N 2011ANM00540OE A 2015044 
30-020457 O US MT DILLON           44 56 02.15N 112 51 00.40W TOWER              1 00199 05791 N 1 A N 2012ANM01348OE A 2012220 
30-020661 O US MT DILLION          44 56 18.40N 112 43 57.50W TOWER              1 00120 09269 N 5 E N 2007ANM00365OE A 2013317 
30-000238 O US MT GRANT            44 58 36.00N 113 23 16.00W CATENARY           1 00224 07105 N 4 D N 0080_RM00108OE C 2014152 
30-000237 O US MT GRANT            44 58 40.00N 113 21 02.00W CATENARY           1 00165 06869 N 4 D N 0080_RM00108OE C 2014152 
30-059390 U US MT GARDINER         45 02 17.30N 110 42 49.73W VERTICAL STRUCTURE 1 00022 05422 N 1 A N 2013ANM02865OE A 2018027 
30-061967 O US MT GARDINER         45 02 17.84N 110 42 50.60W TANK               1 00042 05442 N 2 C N 2020ANM04652OE C 2020301 
30-060417 U US MT BELFRY           45 02 23.74N 109 03 09.31W TOWER              1 00199 04329 N 1 A N 2017ANM01491OE A 2018024 
30-020420 O US MT BELFRY           45 02 24.04N 109 03 11.20W TOWER              1 00199 04319 N 2 C N 2012ANM02944OE C 2014038 
30-000501 O US MT LODGE GRASS      45 02 30.60N 107 18 56.90W TOWER              1 00349 04934 D 2 C N 2010ANM01931OE C 2011252 
30-000143 O US MT BELLE CREEK      45 03 50.00N 105 06 48.00W TOWER              1 00100 04222 R 4 E M                C 2014152 
30-000132 O US MT DECKER           45 03 56.00N 106 46 40.00W ELEVATOR           1 00230 03687 R 3 C N                C 2014152 
30-069085 O US MT WARREN           45 06 00.59N 108 40 15.65W WINDMILL           1 00443 05014 W 4 D W 2019WTW06088OE A 2021047 
30-069087 O US MT WARREN           45 06 01.61N 108 40 00.33W WINDMILL           1 00443 05037 N 4 D W 2019WTW06089OE A 2021047 
30-069086 O US MT WARREN           45 06 03.58N 108 39 49.03W WINDMILL           1 00443 05044 W 4 D W 2019WTW06090OE A 2021047 
30-068900 O US MT WARREN           45 06 18.85N 108 39 05.18W MET                1 00262 04945 R 4 D P 2019WTW07671OE A 2020174 
30-069084 O US MT WARREN           45 06 20.43N 108 39 19.90W WINDMILL           1 00443 05103 W 4 D W 2019WTW06085OE A 2021047 
30-069070 O US MT WARREN           45 06 24.33N 108 40 06.74W WINDMILL           1 00443 05038 W 4 D W 2019WTW06082OE A 2021035 
30-069077 O US MT WARREN           45 06 26.39N 108 39 41.33W WINDMILL           1 00443 05086 W 4 D W 2019WTW06084OE A 2021029 
30-069080 O US MT WARREN           45 06 27.27N 108 39 09.95W WINDMILL           1 00443 05135 N 4 D W 2019WTW06086OE A 2021048 
30-069076 O US MT WARREN           45 06 27.36N 108 39 54.40W WINDMILL           1 00443 05069 N 4 D W 2019WTW07695OE A 2021029 
30-069078 O US MT WARREN           45 06 31.01N 108 38 59.29W WINDMILL           1 00443 05160 W 4 D W 2019WTW06087OE A 2021029 
30-069079 O US MT WARREN           45 06 33.21N 108 41 48.54W WINDMILL           1 00443 04960 W 4 D W 2019WTW06068OE A 2021029 
30-069081 O US MT WARREN           45 06 35.74N 108 41 37.39W WINDMILL           1 00443 04966 N 4 D W 2019WTW06069OE A 2021048 
30-069082 O US MT WARREN           45 06 38.13N 108 41 25.78W WINDMILL           1 00443 04994 N 4 D W 2019WTW06070OE A 2021048 
30-069083 O US MT WARREN           45 06 43.92N 108 41 14.57W WINDMILL           1 00443 04991 W 4 D W 2019WTW07693OE A 2021047 
30-000133 O US MT BELLE CREEK      45 06 49.00N 105 05 39.00W TOWER              2 00180 03782 N 5 E N                C 2014152 
30-069065 O US MT WARREN           45 06 49.53N 108 40 46.87W WINDMILL           1 00443 05033 W 4 D W 2019WTW06072OE A 2021029 
30-069060 O US MT WARREN           45 06 52.49N 108 40 35.40W WINDMILL           1 00443 05046 N 4 D W 2019WTW07696OE A 2021021 
30-069058 O US MT WARREN           45 06 55.66N 108 40 23.84W WINDMILL           1 00443 05062 N 4 D W 2019WTW07694OE A 2021015 
30-069074 O US MT WARREN           45 06 57.25N 108 39 12.89W WINDMILL           1 00443 05154 W 4 D W 2019WTW06080OE A 2021012 
30-069053 O US MT WARREN           45 06 57.85N 108 40 12.69W WINDMILL           1 00443 05079 W 4 D W 2019WTW06074OE A 2021011 
30-069073 O US MT WARREN           45 06 58.93N 108 38 59.70W WINDMILL           1 00443 05179 W 4 D W 2019WTW06081OE A 2021015 
30-068938 O US MT WARREN           45 06 58.94N 108 41 46.20W WINDMILL           1 00498 05048 W 4 D W 2020WTW00914OE A 2020241 
30-069050 O US MT WARREN           45 06 59.75N 108 40 01.60W WINDMILL           1 00443 05097 N 4 D W 2019WTW06075OE A 2021006 
30-068940 O US MT WARREN           45 07 00.39N 108 41 32.45W WINDMILL           1 00498 05043 N 4 D W 2020WTW00920OE A 2020241 
30-069051 O US MT WARREN           45 07 06.52N 108 39 53.77W WINDMILL           1 00443 05116 N 4 D W 2019WTW06076OE A 2021006 
30-069048 O US MT WARREN           45 07 08.93N 108 39 42.07W WINDMILL           1 00443 05132 W 4 D W 2019WTW06077OE A 2021011 
30-068979 O US MT WARREN           45 07 10.10N 108 41 25.10W WINDMILL           1 00453 05018 W 4 D W 2019WTW06060OE A 2020308 
30-068980 O US MT WARREN           45 07 15.83N 108 41 12.58W WINDMILL           1 00498 05086 N 4 D W 2020WTW04860OE A 2020308 
30-069046 O US MT WARREN           45 07 19.65N 108 40 57.68W WINDMILL           1 00443 05065 W 4 D W 2019WTW06062OE A 2021011 
30-069069 O US MT WARREN           45 07 22.61N 108 39 17.38W WINDMILL           1 00443 05184 W 4 D W 2019WTW06078OE A 2021035 
30-069072 O US MT WARREN           45 07 23.73N 108 39 03.63W WINDMILL           1 00498 05260 W 4 D W 2020WTW04863OE A 2021013 
30-069047 O US MT WARREN           45 07 25.79N 108 40 46.98W WINDMILL           1 00443 05080 N 4 D W 2019WTW06063OE A 2021011 
30-069049 O US MT WARREN           45 07 32.45N 108 40 36.27W WINDMILL           1 00498 05143 W 4 D W 2020WTW04861OE A 2021006 
30-069054 O US MT WARREN           45 07 37.81N 108 40 25.24W WINDMILL           1 00443 05109 N 4 D W 2019WTW06065OE A 2021012 
30-000504 O US MT WYOLA            45 07 41.70N 107 22 47.30W TOWER              1 00349 04343 D 2 C N 2001ANM02633OE C 2011322 
30-069055 O US MT WARREN           45 07 41.81N 108 40 12.29W WINDMILL           1 00443 05130 W 4 D W 2019WTW07691OE A 2021012 
30-069059 O US MT WARREN           45 07 42.07N 108 39 39.76W WINDMILL           1 00498 05241 W 4 D W 2020WTW00919OE A 2021021 
30-069057 O US MT WARREN           45 07 42.74N 108 39 58.14W WINDMILL           1 00498 05209 N 4 D W 2020WTW04862OE A 2021015 
30-020418 O US MT BRIDGER          45 07 46.00N 108 41 15.80W TOWER              1 00328 04965 R 5 E P 2008WTW03334OE A 2011361 
30-069045 O US MT WARREN           45 07 49.37N 108 41 19.91W WINDMILL           1 00498 05122 W 4 D W 2020WTW04859OE A 2021011 
30-068941 O US MT WARREN           45 07 53.50N 108 40 59.14W WINDMILL           1 00443 05090 N 4 D W 2019WTW06056OE A 2020248 
30-068944 O US MT WARREN           45 07 56.74N 108 40 49.96W WINDMILL           1 00443 05101 W 4 D W 2019WTW06057OE A 2020246 
30-069033 O US MT WARREN           45 08 15.67N 108 41 59.02W WINDMILL           1 00498 05147 W 4 D W 2020WTW04858OE A 2020350 
30-069037 O US MT WARREN           45 08 16.67N 108 41 45.96W WINDMILL           1 00443 05078 N 4 D W 2019WTW06050OE A 2020339 
30-069039 O US MT WARREN           45 08 18.17N 108 41 33.66W WINDMILL           1 00443 05084 N 4 D W 2019WTW06051OE A 2020338 
30-069040 O US MT WARREN           45 08 21.04N 108 41 22.20W WINDMILL           1 00443 05093 W 4 D W 2019WTW06052OE A 2020356 
30-069044 O US MT WARREN           45 08 24.36N 108 41 05.67W WINDMILL           1 00443 05114 N 4 D W 2019WTW06053OE A 2021011 
30-069038 O US MT WARREN           45 08 27.46N 108 40 53.87W WINDMILL           1 00443 05134 W 4 D W 2019WTW06054OE A 2020339 
30-069030 O US MT WARREN           45 08 42.42N 108 42 13.91W WINDMILL           1 00443 05044 W 4 D W 2019WTW06040OE A 2020349 
30-069029 O US MT WARREN           45 08 45.40N 108 42 00.95W WINDMILL           1 00443 05063 N 4 D W 2019WTW06041OE A 2020349 
30-069017 O US MT WARREN           45 08 46.41N 108 42 59.67W WINDMILL           1 00443 05041 W 4 D W 2019WTW06038OE A 2020338 
30-069013 O US MT WARREN           45 08 46.84N 108 42 46.89W WINDMILL           1 00443 05033 W 4 D W 2019WTW06039OE A 2020337 
30-069031 O US MT WARREN           45 08 50.55N 108 41 49.43W WINDMILL           1 00498 05132 W 4 D W 2020WTW04857OE A 2020349 
30-069026 O US MT WARREN           45 08 54.78N 108 41 37.73W WINDMILL           1 00443 05099 N 4 D W 2019WTW06043OE A 2020346 
30-069019 O US MT WARREN           45 09 00.84N 108 41 26.78W WINDMILL           1 00443 05116 W 4 D W 2019WTW06044OE A 2020336 
30-068901 O US MT WARREN           45 09 05.06N 108 40 50.16W MET                1 00262 05010 R 4 D P 2019WTW07672OE A 2020174 
30-069005 O US MT WARREN           45 09 05.09N 108 43 30.25W WINDMILL           1 00498 05157 W 4 D W 2020WTW04850OE A 2020336 
30-069007 O US MT WARREN           45 09 06.94N 108 43 19.88W WINDMILL           1 00443 05107 N 4 D W 2019WTW06028OE A 2020328 
30-069032 O US MT WARREN           45 09 08.99N 108 41 08.15W WINDMILL           1 00443 05154 W 4 D W 2019WTW06045OE A 2020349 
30-069011 O US MT WARREN           45 09 10.52N 108 43 10.51W WINDMILL           1 00498 05143 N 4 D W 2020WTW04851OE A 2020335 
30-069012 O US MT WARREN           45 09 12.20N 108 43 00.31W WINDMILL           1 00498 05131 W 4 D W 2020WTW04852OE A 2020335 
30-069027 O US MT WARREN           45 09 12.43N 108 40 56.04W WINDMILL           1 00443 05183 N 4 D W 2019WTW06046OE A 2020346 
30-069043 O US MT WARREN           45 09 15.19N 108 42 02.05W WINDMILL           1 00443 05080 W 4 D W 2019WTW07690OE A 2021011 
30-069028 O US MT WARREN           45 09 15.53N 108 40 43.54W WINDMILL           1 00443 05221 W 4 D W 2019WTW06047OE A 2020349 
30-069056 O US MT WARREN           45 09 23.65N 108 41 51.42W WINDMILL           1 00443 05097 N 4 D W 2019WTW06032OE A 2021012 
30-069063 O US MT WARREN           45 09 29.44N 108 41 40.27W WINDMILL           1 00498 05173 W 4 D W 2020WTW04853OE A 2021029 
30-020747 O US MT ALZEDA           45 09 30.00N 104 42 56.00W TOWER              1 00250 04000 D 5 E N 2013ANM02725OE A 2015264 
30-069064 O US MT WARREN           45 09 34.21N 108 41 29.17W WINDMILL           1 00443 05136 N 4 D W 2019WTW06034OE A 2021029 
30-069001 O US MT WARREN           45 09 35.17N 108 43 30.50W WINDMILL           1 00443 05111 W 4 D W 2019WTW07689OE A 2020328 
30-069002 O US MT WARREN           45 09 35.98N 108 43 16.68W WINDMILL           1 00443 05099 N 4 D W 2019WTW06019OE A 2020330 
30-069023 O US MT WARREN           45 09 36.53N 108 41 14.03W WINDMILL           1 00498 05222 W 4 D W 2020WTW04854OE A 2020350 
30-069024 O US MT WARREN           45 09 37.12N 108 41 01.98W WINDMILL           1 00498 05250 N 4 D W 2020WTW04855OE A 2020350 
30-069000 O US MT WARREN           45 09 38.56N 108 43 04.45W WINDMILL           1 00443 05064 W 4 D W 2019WTW06020OE A 2020301 
30-069025 O US MT WARREN           45 09 38.92N 108 40 50.05W WINDMILL           1 00498 05278 W 4 D W 2020WTW04856OE A 2020350 
30-020421 O US MT BELFRY           45 09 47.16N 109 00 07.13W TOWER              1 00199 03997 N 2 C N 2012ANM02945OE C 2014038 
30-068994 O US MT WARREN           45 09 52.07N 108 44 05.27W WINDMILL           1 00498 05211 W 4 D W 2020WTW04842OE A 2020303 
