  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
31-020337 O US NE DU BOIS          40 00 03.99N 095 52 39.06W WINDMILL           1 00405 01695 N 5 D W 2010WTE00242OE A 2011147 
31-020284 O US NE DU BOIS          40 00 04.08N 095 55 58.46W WINDMILL           1 00405 01697 N 5 D W 2010WTE00246OE A 2011077 
31-020353 O US NE DU BOIS          40 00 04.18N 095 55 47.92W WINDMILL           1 00405 01692 W 5 D W 2010WTE00232OE A 2011172 
31-020338 O US NE DU BOIS          40 00 04.20N 095 52 27.98W WINDMILL           1 00405 01699 N 5 D W 2010WTE00241OE A 2011140 
31-020339 O US NE DU BOIS          40 00 04.32N 095 51 58.13W WINDMILL           1 00405 01662 W 5 D W 2010WTE00240OE A 2011151 
31-020330 O US NE DU BOIS          40 00 04.38N 095 53 22.00W WINDMILL           1 00405 01696 W 5 D W 2010WTE00255OE A 2011139 
31-020591 O US NE DU BOIS          40 00 04.71N 095 52 18.00W WINDMILL           1 00405 01673 W 5 D W 2010WTE00223OE A 2014167 
31-020279 O US NE DU BOIS          40 00 05.91N 095 56 37.42W WINDMILL           1 00405 01645 W 5 D W 2010WTE00231OE A 2011075 
31-020327 O US NE DU BOIS          40 00 06.08N 095 52 57.38W WINDMILL           1 00405 01705 W 5 D W 2010WTE00258OE A 2011130 
31-020295 O US NE DU BOIS          40 00 06.64N 095 53 07.34W WINDMILL           1 00405 01698 N 5 D W 2010WTE00253OE C 2012198 
31-020351 O US NE DU BOIS          40 00 07.35N 095 51 36.83W WINDMILL           1 00405 01675 W 5 D W 2010WTE00224OE A 2011166 
31-020282 O US NE DU BOIS          40 00 07.46N 095 56 07.21W WINDMILL           1 00405 01695 N 5 D W 2010WTE00238OE A 2011077 
31-020281 O US NE DU BOIS          40 00 08.17N 095 57 26.25W WINDMILL           1 00405 01625 W 5 D W 2010WTE00236OE A 2011077 
31-020341 O US NE DU BOIS          40 00 09.38N 095 51 46.32W WINDMILL           1 00405 01681 N 5 D W 2010WTE00239OE A 2011147 
31-000132 O US NE HARDY            40 00 10.00N 097 51 49.00W TOWER              1 00339 01961 R 3 C M 0003_OE00275OE C 2014152 
31-020286 O US NE DU BOIS          40 00 10.54N 095 56 46.55W WINDMILL           1 00405 01636 N 5 D W 2010WTE00251OE A 2011077 
31-020291 O US NE DU BOIS          40 00 11.08N 095 56 25.49W WINDMILL           1 00405 01686 N 5 D W 2010WTE00252OE A 2011087 
31-020280 O US NE DU BOIS          40 00 12.27N 095 56 15.55W WINDMILL           1 00405 01685 W 5 D W 2010WTE00233OE A 2011077 
