  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
32-080229 U US NV LAUGHLIN         35 07 39.89N 114 36 26.95W TOWER              1 00040 00611 N 4 D N 2020AWP01730OE A 2021264 
32-078263 U US NV LAUGHLIN         35 08 34.70N 114 37 22.70W TOWER              1 00080 00869 N 4 D N 2019AWP08845OE A 2019259 
32-020257 O US NV LAUGHLIN         35 08 45.20N 114 34 34.80W BLDG               1 00233 00792 R 5 E N 2011AWP08330OE A 2012030 
32-085353 U US NV LAUGHLIN         35 08 47.91N 114 35 59.29W TOWER              1 00090 00815 N 4 D N 2021AWP02810OE A 2022308 
32-020254 O US NV LAUGHLIN         35 08 50.88N 114 35 42.04W T-L TWR            1 00136 00844 N 5 E N 2011AWP07936OE C 2011356 
32-020500 O US NV BULLHEAD CITY    35 08 58.79N 114 36 17.99W T-L TWR            1 00194 00961 U 1 A U                A 2013161 
32-000211 O US NV LAUGHLIN         35 09 03.93N 114 34 26.99W BLDG               1 00286 00818 R 1 A N                C 2011242 
32-000210 O US NV LAUGHLIN         35 09 28.26N 114 34 35.53W BLDG               1 00268 00813 R 1 A N 2016AWP09031OE C 2016343 
32-069949 U US NV LAUGHLIN         35 09 28.90N 114 34 54.10W TOWER              1 00050 00643 N 4 D N 2017AWP10145OE A 2018137 
32-022351 O US NV LAUGHLIN         35 09 29.24N 114 34 32.63W BLDG               1 00175 00710 N 1 A N 2013AWP02964OE A 2013364 
32-000209 O US NV LAUGHLIN         35 09 40.49N 114 34 17.06W BLDG               1 00265 00797 R 1 A N                C 2011241 
32-072823 O US NV LAUGHLIN         35 09 59.80N 114 34 16.06W BLDG               1 00308 00833 R 1 A N 1994AWP00397OE A 2019071 
32-000137 O US NV LAUGHLIN         35 10 10.00N 114 38 13.00W TOWER              3 00287 01549 R 5 E M 1984AWP00013OE C 2014152 
32-020497 O US NV BULLHEAD CITY    35 10 36.81N 114 36 10.99W T-L TWR            1 00109 01027 U 1 A U                A 2013158 
32-020499 O US NV BULLHEAD CITY    35 10 37.28N 114 35 42.11W T-L TWR            1 00081 00907 U 1 A U                A 2013161 
32-020496 O US NV BULLHEAD CITY    35 10 37.51N 114 35 28.73W T-L TWR            1 00119 00910 U 1 A U                A 2013158 
32-072813 O US NV LAUGHLIN         35 10 56.69N 114 34 54.64W T-L TWR            1 00116 00928 U 1 B N                A 2019059 
32-020495 O US NV BULLHEAD CITY    35 11 09.43N 114 34 32.15W T-L TWR            1 00099 00857 U 1 A U                A 2013158 
32-020498 O US NV BULLHEAD CITY    35 11 14.40N 114 34 23.38W T-L TWR            1 00106 00853 U 1 A U                A 2013161 
32-000160 O US NV DAVIS DAM        35 11 34.00N 114 34 22.00W CATENARY           1 00240 00752 N 4 E M                C 2014152 
32-023525 O US NV LAUGHLIN         35 14 58.10N 114 44 35.90W TOWER              1 00030 04830 N 5 E N 2011AWP02733OE A 2015189 
32-000078 O US NV DAVIS DAM        35 14 58.27N 114 44 35.99W TOWER              1 00140 04990 N 5 E U                C 2011125 
32-023524 O US NV LAUGHLIN         35 15 06.70N 114 44 50.50W TOWER              1 00052 04958 N 5 E N 2011AWP02734OE A 2015182 
32-000159 O US NV SPIRIT MTN       35 16 39.00N 114 35 40.00W CATENARY           1 00180 00829 N 4 E M                C 2014152 
32-024138 U US NV CAL-NEV-ARI      35 17 42.72N 114 50 13.20W TOWER              1 00050 02820 N 4 D N 2011AWP04451OE A 2016176 
32-085072 U US NV CAL NEV ARI      35 17 58.31N 114 52 45.05W POLE               1 00080 02631 N 4 D N 2020AWP03672OE A 2022034 
32-078959 U US NV SEARCHLIGHT      35 26 49.92N 114 54 48.84W POLE               1 00080 03478 N 4 D N 2020AWP03673OE A 2020237 
32-000203 O US NV SEARCHLIGHT      35 28 12.00N 114 55 11.00W TOWER              1 00180 03983 R 5 E M 1993AWP00329OE C 2014152 
32-000220 O US NV BOULDER CITY     35 28 13.70N 114 55 13.10W TOWER              1 00249 04004 R 1 A P 2008AWP01139OE C 2008154 
32-000189 O US NV SEARCHLIGHT      35 28 16.00N 114 55 07.00W TOWER              1 00025 03908 R 5 E M 1992AWP00062OE C 2014152 
32-023345 O US NV SEARCHLIGHT      35 28 32.00N 114 54 57.00W TOWER              1 00050 03760 N 5 E N 2013AWP06018OE A 2014059 
32-067802 U US NV SEARCHLIGHT      35 29 01.00N 114 56 10.00W VERTICAL STRUCTURE 1 00100 03658 N 4 D N 2014AWP05171OE A 2018026 
32-000174 O US NV BOULDER CITY     35 30 27.90N 115 07 31.98W TOWER              1 00142 05330 N 2 C N 2006AWP01625OE C 2006246 
32-000166 U US NV SEARCHLIGHT      35 31 51.00N 115 09 34.00W TOWER              1 00038 06079 U     U                A 1988319 
32-024109 O US NV PRIMM            35 35 58.00N 115 21 24.74W GEN UTIL           1 00012 02865 N 5 E N 2014AWP02754OE A 2016187 
32-024096 O US NV PRIMM            35 36 02.75N 115 21 22.42W BLDG               1 00014 02866 N 5 E N 2014AWP02744OE A 2016187 
32-024110 O US NV PRIMM            35 36 08.01N 115 21 29.91W GEN UTIL           1 00012 02840 N 5 E N 2014AWP02755OE A 2016187 
32-024111 O US NV PRIMM            35 36 08.03N 115 21 40.59W GEN UTIL           1 00012 02816 N 5 E N 2014AWP02756OE A 2016187 
32-024095 O US NV PRIMM            35 36 12.73N 115 21 07.66W BLDG               1 00014 02889 N 5 E N 2014AWP02743OE A 2016183 
32-024094 O US NV PRIMM            35 36 12.78N 115 21 32.29W BLDG               1 00014 02832 N 5 E N 2014AWP02742OE A 2016183 
32-024112 O US NV PRIMM            35 36 13.73N 115 21 40.57W GEN UTIL           1 00012 02811 N 5 E N 2014AWP02757OE A 2016187 
32-024113 O US NV PRIMM            35 36 18.00N 115 21 19.16W GEN UTIL           1 00012 02852 N 5 E N 2014AWP02758OE A 2016187 
32-024093 O US NV PRIMM            35 36 21.53N 115 21 14.71W BLDG               1 00014 02862 N 5 E N 2014AWP02740OE A 2016183 
32-024120 O US NV PRIMM            35 36 21.91N 115 21 28.03W GEN UTIL           1 00012 02828 N 5 E N 2014AWP02762OE A 2016187 
32-024121 O US NV PRIMM            35 36 21.97N 115 21 58.50W GEN UTIL           1 00012 02761 N 5 E N 2014AWP02763OE A 2016189 
32-023786 O US NV PRIMM            35 36 22.71N 115 20 50.61W BLDG               1 00014 02921 N 5 E N 2014AWP02741OE A 2016007 
32-023803 O US NV PRIMM            35 36 25.59N 115 20 40.39W T-L TWR            1 00045 02968 N 5 E N 2014AWP04727OE A 2016036 
32-024092 O US NV PRIMM            35 36 26.66N 115 21 23.28W BLDG               1 00014 02835 N 5 E N 2014AWP02739OE A 2016183 
32-024091 O US NV PRIMM            35 36 26.70N 115 21 46.52W BLDG               1 00014 02781 N 5 E N 2014AWP02738OE A 2016183 
32-023804 O US NV PRIMM            35 36 27.73N 115 20 40.39W T-L TWR            1 00045 02963 N 5 E N 2014AWP04728OE A 2016036 
32-023805 O US NV PRIMM            35 36 29.86N 115 20 40.38W T-L TWR            1 00045 02958 N 5 E N 2014AWP04729OE A 2016036 
32-024118 O US NV PRIMM            35 36 31.85N 115 20 53.26W GEN UTIL           1 00012 02893 N 5 E N 2014AWP02760OE A 2016187 
32-024119 O US NV PRIMM            35 36 31.86N 115 21 06.14W GEN UTIL           1 00012 02866 N 5 E N 2014AWP02761OE A 2016189 
32-023806 O US NV PRIMM            35 36 32.01N 115 20 40.38W T-L TWR            1 00045 02953 N 5 E N 2014AWP04730OE A 2016036 
32-023807 O US NV PRIMM            35 36 34.14N 115 20 40.37W T-L TWR            1 00045 02949 N 5 E N 2014AWP04731OE A 2016036 
32-023808 O US NV PRIMM            35 36 36.28N 115 20 40.36W T-L TWR            1 00045 02943 N 5 E N 2014AWP04732OE A 2016036 
32-023785 O US NV PRIMM            35 36 36.61N 115 20 51.03W BLDG               1 00014 02890 N 5 E N 2014AWP02737OE A 2016007 
32-024089 O US NV PRIMM            35 36 36.65N 115 21 14.50W BLDG               1 00014 02841 N 5 E N 2014AWP02736OE A 2016183 
32-024088 O US NV PRIMM            35 36 36.69N 115 21 34.06W BLDG               1 00014 02798 N 5 E N 2014AWP02735OE A 2016183 
32-024087 O US NV PRIMM            35 36 36.73N 115 21 56.16W BLDG               1 00014 02748 N 5 E N 2014AWP02734OE A 2016187 
32-023811 O US NV PRIMM            35 36 37.30N 115 20 44.14W T-L TWR            1 00045 02934 N 5 E N 2014AWP04735OE A 2016036 
32-023809 O US NV PRIMM            35 36 38.41N 115 20 40.36W T-L TWR            1 00045 02939 N 5 E N 2014AWP04733OE A 2016036 
32-023812 O US NV PRIMM            35 36 39.50N 115 20 44.14W T-L TWR            1 00045 02928 N 5 E N 2014AWP04736OE A 2016036 
32-023810 O US NV PRIMM            35 36 40.05N 115 20 40.35W T-L TWR            1 00045 02937 N 5 E N 2014AWP04734OE A 2016036 
32-023814 O US NV PRIMM            35 36 41.70N 115 20 40.35W T-L TWR            1 00045 02934 N 5 E N 2014AWP04738OE A 2016039 
32-023815 O US NV PRIMM            35 36 41.70N 115 20 39.28W T-L TWR            1 00045 02935 N 5 E N 2014AWP04739OE A 2016039 
32-023813 O US NV PRIMM            35 36 41.70N 115 20 44.13W T-L TWR            1 00045 02924 N 5 E N 2014AWP04737OE A 2016039 
32-024123 O US NV PRIMM            35 36 41.84N 115 20 53.23W GEN UTIL           1 00012 02873 N 5 E N 2014AWP02765OE A 2016189 
32-024122 O US NV PRIMM            35 36 41.96N 115 21 58.45W GEN UTIL           1 00012 02736 N 5 E N 2014AWP02764OE A 2016189 
32-023779 O US NV PRIMM            35 36 42.67N 115 20 18.39W BLDG               1 00014 02946 N 5 E N 2014AWP02733OE A 2016006 
32-023816 O US NV PRIMM            35 36 44.15N 115 20 39.21W T-L TWR            1 00045 02930 N 5 E N 2014AWP04740OE A 2016039 
