  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
36-020752 O US NY NEW YORK         40 31 25.30N 074 12 52.90W TOWER              1 00058 00088 N 5 D N 2010AEA01654OE A 2010134 
36-025809 O US NY STATEN ISLAND    40 34 02.46N 074 06 32.89W TOWER              1 00106 00121 N 1 A N 2012AEA04402OE A 2012296 
36-150489 O US NY NEW YORK CITY    40 34 22.26N 074 00 04.33W BLDG               1 00261 00267 R 1 D N 2017AEA10119OE A 2018361 
36-000945 O US NY CONEY ISLAND     40 34 24.00N 073 59 03.00W TOWER              1 00250 00255 N 5 D N 1979AEA01164OE C 2014152 
36-000225 O US NY BROOKLYN         40 34 25.00N 073 53 05.00W BRIDGE             1 00226 00226 R 5 D M                C 2014152 
36-006174 U US NY BROOKLYN         40 34 30.00N 073 59 59.00W BLDG               1 00194 00203 U     U                A 1976150 
36-213501 O US NY BROOKLYN         40 34 33.47N 073 58 57.46W BLDG               1 00310 00316 N 1 A N 2021AEA05808OE C 2023243 
36-225709 O US NY BROOKLYN         40 34 45.56N 073 58 26.24W BLDG               1 00270 00278 R 4 D N 2022AEA11684OE A 2024004 
36-025674 O US NY STATEN ISLAND    40 35 09.89N 074 11 39.33W POLE               1 00058 00070 N 1 A N 2012AEA01920OE A 2012153 
36-030036 O US NY BROOKLYN         40 35 11.05N 073 57 12.39W BLDG               1 00340 00347 R 4 D N 2015AEA00018OE A 2016354 
36-150634 U US NY LONG BEACH       40 35 23.94N 073 47 50.99W BLDG               1 00089 00100 N 4 D N 2017AEA06376OE A 2019099 
36-000251 O US NY NEW YORK         40 35 28.49N 074 11 55.21W STACK              1 00499 00515 D 5 D N 2008AEA02455OE C 2009127 
36-173275 O US NY NEW YORK         40 35 28.98N 073 48 28.28W TOWER              1 00145 00150 N 2 C N 2020AEA10805OE A 2021102 
36-000586 O US NY QUEENS           40 35 29.00N 073 47 15.00W BLDG               1 00201 00210 R 5 D N 1975AEA00123OE C 2014152 
36-020748 U US NY FAR ROCKAWAY     40 35 33.82N 073 45 30.46W BLDG               1 00164 00173 N 4 D N 2007AEA04516OE C 2014124 
36-000588 O US NY QUEENS           40 35 35.00N 073 45 14.00W BLDG               2 00236 00246 R 5 D N 1972AEA00122OE C 2014152 
36-027562 O US NY FAR ROCKAWAY     40 35 37.00N 073 46 49.00W POLE               1 00041 00049 N 5 D N 2011AEA02977OE A 2013080 
36-020792 O US NY FAR ROCKAWAY     40 35 38.88N 073 45 09.73W BLDG               1 00289 00297 R 1 B N 1975AEA00121OE C 2014058 
36-000576 O US NY FAR ROCKAWAY     40 35 38.93N 073 45 05.84W BLDG               1 00297 00306 R 1 A N 1975AEA00121OE C 2010243 
36-220082 U US NY FAR ROCKAWAY     40 35 40.40N 073 46 58.19W BLDG               1 00201 00208 R 4 D N 2021AEA05047OE A 2023214 
36-222031 O US NY BROOKLYN         40 35 42.98N 073 57 01.07W BLDG               1 00261 00275 N 4 D N 2022AEA12752OE A 2023320 
36-000589 O US NY NEW YORK CITY    40 35 43.80N 073 44 32.53W BLDG               1 00284 00291 R 1 A N 1975AEA00122OE C 2010207 
36-020791 O US NY FAR ROCKAWAY     40 35 46.94N 073 45 54.45W BLDG               1 00204 00210 R 5 D M                A 2010308 
36-000375 O US NY JONES BEACH      40 35 47.00N 073 30 29.00W TANK               1 00185 00203 U 9 I U                C 2014152 
36-022710 O US NY FAR ROCKAWAY     40 35 47.86N 073 46 18.92W BLDG               1 00183 00186 D 1 A N 2012AEA04177OE C 2012296 
36-000587 O US NY NEW YORK CITY    40 35 49.11N 073 45 51.28W BLDG               1 00204 00211 R 1 A N 1973AEA01167OE C 2010243 
36-001861 O US NY STATEN ISLAND    40 35 51.00N 074 06 52.00W TOWER              1 00315 00696 R 5 E M 1996AEA02421OE C 2007315 
36-001727 O US NY FAR ROCKAWAY     40 35 56.00N 073 45 12.00W BLDG-TWR           1 00169 00196 R 5 D N 1993AEA00521OE C 2014152 
36-001765 O US NY STATEN ISLAND    40 36 04.41N 074 06 54.51W TOWER              1 00327 00727 D 2 C N 2021AEA01739OE C 2021232 
36-000616 O US NY STATEN ISLAND    40 36 14.00N 074 03 10.00W BRIDGE             1 00693 00693 R 3 C N                C 2014152 
36-173407 U US NY FAR ROCKAWAY     40 36 14.70N 073 45 14.60W BLDG               1 00124 00150 N 4 D N 2019AEA05948OE A 2021118 
36-173298 U US NY STATEN ISLAND    40 36 15.17N 074 10 48.29W BLDG               1 00039 00054 N 4 D N 2019AEA06704OE A 2021042 
36-150633 U US NY BROOKLYN         40 36 16.70N 073 53 56.62W BRIDGE             1 00072 00072 N 4 D N 2015AEA05775OE A 2019092 
36-150649 U US NY STATEN ISLAND    40 36 17.30N 074 10 31.10W TOWER              1 00104 00141 N 4 D N 2019AEA00777OE A 2019101 
36-000270 O US NY BROOKLYN         40 36 30.00N 074 02 19.00W BRIDGE             1 00693 00693 R 3 C N                C 2014152 
36-025701 O US NY STATEN ISLAND    40 36 32.76N 074 08 53.60W BLDG               1 00048 00103 N 2 C N 2012AEA02444OE A 2012188 
36-002040 U US NY BROOKLYN         40 36 33.00N 074 01 28.00W BLDG               1 00254 00278 R 4 D N 1999AEA02746OE C 2014124 
36-150363 U US NY FAR ROCKAWAY     40 36 33.40N 073 45 06.00W BLDG               1 00020 00028 N 4 D N 2018AEA07963OE A 2018317 
36-150360 U US NY FAR ROCKAWAY     40 36 34.00N 073 45 11.40W BLDG               1 00020 00028 N 4 D N 2018AEA07961OE A 2018317 
36-206869 U US NY FAR ROCKAWAY     40 36 35.07N 073 45 12.77W UTILITY POLE       1 00045 00051 N 4 D N 2022AEA05502OE A 2023297 
36-206870 U US NY FAR ROCKAWAY     40 36 36.00N 073 45 12.57W UTILITY POLE       1 00045 00051 N 4 D N 2022AEA05503OE A 2023297 
36-150362 U US NY FAR ROCKAWAY     40 36 36.90N 073 45 02.00W BLDG               1 00019 00028 N 4 D N 2018AEA07962OE A 2018317 
36-150358 U US NY FAR ROCKAWAY     40 36 38.20N 073 45 10.90W BLDG               1 00021 00028 N 4 D N 2018AEA07959OE A 2018317 
36-206871 U US NY FAR ROCKAWAY     40 36 38.54N 073 45 12.04W UTILITY POLE       1 00045 00049 N 4 D N 2022AEA05504OE A 2023299 
36-000563 O US NY FAR ROCKAWAY     40 36 38.65N 073 45 40.21W STACK              1 00260 00277 R 1 A P                C 2010207 
36-027602 O US NY FAR ROCKAWAY     40 36 38.65N 073 45 35.79W T-L TWR            1 00138 00147 N 5 D N                A 2013142 
36-160045 U US NY FAR ROCKAWAY     40 36 38.80N 073 45 07.10W BLDG               1 00042 00050 N 4 D N 2018AEA07964OE A 2021034 
36-206872 U US NY FAR ROCKAWAY     40 36 39.32N 073 45 11.92W UTILITY POLE       1 00050 00054 N 4 D N 2022AEA05505OE A 2023303 
36-150359 U US NY FAR ROCKAWAY     40 36 39.80N 073 45 04.60W BLDG               1 00020 00028 N 4 D N 2018AEA07960OE A 2018317 
36-206873 U US NY FAR ROCKAWAY     40 36 40.41N 073 45 11.71W T-L TWR            1 00055 00060 N 4 D N 2022AEA05506OE A 2023303 
36-206875 U US NY FAR ROCKAWAY     40 36 41.30N 073 45 11.54W T-L TWR            1 00055 00060 N 4 D N 2022AEA05507OE A 2023303 
36-025859 O US NY BROOKLYN         40 36 42.12N 073 54 51.05W TOWER              1 00105 00113 N 1 A N 2012AEA04972OE A 2012339 
36-027610 O US NY INWOOD           40 36 42.45N 073 45 37.33W CATENARY           1 00120 00120 N 5 D N                A 2013143 
36-206876 U US NY FAR ROCKAWAY     40 36 42.49N 073 45 11.30W T-L TWR            1 00055 00061 N 4 D N 2022AEA05508OE A 2023303 
36-000340 O US NY FAR ROCKAWAY     40 36 42.82N 073 45 32.92W CATENARY           1 00115 00115 N 5 D N                C 2013130 
36-206874 U US NY FAR ROCKAWAY     40 36 43.22N 073 45 11.14W T-L TWR            1 00055 00062 N 4 D N 2022AEA05509OE A 2023303 
36-027609 O US NY INWOOD           40 36 45.44N 073 45 31.53W T-L TWR            1 00135 00141 N 5 D N                A 2013142 
36-025554 O US NY STATEN ISLAND    40 36 45.49N 074 10 56.19W POLE               1 00103 00112 N 1 A N 2011AEA03627OE A 2011339 
36-027611 O US NY INWOOD           40 36 46.23N 073 45 38.92W T-L TWR            1 00142 00147 N 5 D N                A 2013142 
36-025653 O US NY NEW UTRECHT      40 36 47.06N 073 59 07.59W BLDG               1 00083 00119 N 1 A N 2012AEA01670OE A 2012129 
