  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
37-000306 O US NC CAPE FEAR        33 29 07.00N 077 35 23.00W TOWER              1 00130 00130 U 9 I U                C 2014152 
37-006172 U US NC CAPE FEAR        33 50 48.00N 077 57 57.00W BLDG               1 00165 00175 U     N                C 1993228 
37-006175 U US NC BALD HEAD        33 52 25.00N 078 00 01.00W BLDG               1 00135 00150 U     N                C 1996330 
37-000313 U US NC SEASIDE          33 52 55.00N 078 30 29.00W T-L TWR            1 00105 00105 N     U                A 1980274 
37-100415 U US NC OCEAN ISLE BEACH 33 53 21.00N 078 25 54.00W TANK               1 00142 00148 R 4 D N 2014ASO12335OE A 2018030 
37-001532 U US NC OAK ISLAND       33 53 34.00N 078 02 05.00W TOWER              1 00150 00165 N     N                A 1993165 
37-001531 U US NC OAK ISLAND       33 53 35.00N 078 02 06.00W BLDG               1 00156 00171 L     N                A 1993165 
37-109430 U US NC OCEAN ISLE BEACH 33 53 50.80N 078 28 57.40W TOWER              1 00120 00159 N 4 D N 2022ASO04614OE C 2023290 
37-100594 U US NC OCEAN ISLE BEACH 33 54 02.40N 078 26 19.70W TOWER              1 00041 00069 N 4 D N 2015ASO07010OE A 2018024 
37-100223 U US NC OCEAN ISLE       33 54 06.88N 078 26 51.33W BLDG               1 00036 00069 N 4 D N 2013ASO08202OE A 2018025 
37-020541 O US NC OCEAN ISLE       33 54 08.25N 078 26 29.85W BLDG               1 00038 00071 N 5 D N 2011ASO06273OE A 2012215 
37-110803 U US NC OCEAN ISLE BEACH 33 54 10.81N 078 26 38.60W BLDG               1 00019 00055 N 4 D N 2017ASO01162OE A 2018291 
37-109357 U US NC OCEAN ISLE BEACH 33 54 14.71N 078 26 20.79W BLDG               1 00039 00068 N 4 D N 2018ASO08595OE A 2018144 
37-020386 O US NC OCEAN ISLE BEACH 33 54 15.54N 078 26 37.87W POLE               1 00033 00070 N 5 D N 2011ASO03233OE A 2011312 
37-020385 O US NC OCEAN ISLE BEACH 33 54 19.04N 078 26 33.18W POLE               1 00033 00069 N 5 D N 2011ASO03231OE A 2011312 
37-100211 U US NC OCEAN ISLE       33 54 19.48N 078 26 40.83W BLDG               1 00036 00071 R 4 D N 2013ASO08205OE A 2018025 
37-020540 O US NC OCEAN ISLE BEACH 33 54 19.86N 078 26 32.66W BLDG               1 00032 00068 N 5 D N 2010ASO00390OE A 2012215 
37-020187 O US NC OCEAN ISLE BEACH 33 54 22.80N 078 26 35.19W SIGN               1 00025 00061 N 5 D N 2009ASO00451OE A 2010319 
37-022708 U US NC OCEAN ISLE BEACH 33 54 28.10N 078 26 08.83W BLDG               1 00025 00057 N     N 2017ASO02812OE A 2017130 
37-003061 O US NC OAK ISLAND       33 54 34.15N 078 04 46.31W TANK               1 00157 00174 N 1 A N 2004ASO00443OE C 2004130 
