  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
39-006385 U US OH NEAL PASSIVE     38 20 46.00N 082 35 20.00W TOWER              1 00050 00922 U     U                A 1977349 
39-026787 O US OH BURLINGTON       38 24 15.32N 082 32 24.38W TOWER              1 00130 00681 N 1 A N 2013AGL00327OE A 2016014 
39-020996 O US OH BURLINGTON       38 24 23.86N 082 31 46.49W TANK               1 00136 00698 N 4 D N 2011AGL03207OE A 2013192 
39-021000 O US OH BURLINGTON       38 24 28.40N 082 33 38.26W TOWER              1 00199 01051 N 1 B N 2022AGL25290OE C 2023237 
39-026590 O US OH SOUTH POINT      38 25 13.44N 082 34 20.28W TOWER              1 00146 00856 N 2 C N 2013AGL12367OE A 2015187 
39-002325 U US OH CHESAPEAKE       38 25 17.00N 082 29 39.00W TOWER              1 00110 00673 R 4 D M 1995AGL03729OE C 2014124 
39-072727 U US OH SOUTH POINT      38 25 19.30N 082 35 23.50W POLE               1 00063 00637 N 4 D N 2015AGL10982OE A 2018026 
39-001181 O US OH SOUTH POINT      38 25 26.70N 082 32 07.41W TOWER              1 00300 01263 M 5 E N 2002AGL01106OE C 2007189 
39-001738 O US OH BURLINGTON       38 25 27.00N 082 32 04.00W TOWER              1 00280 01209 M 5 E N 1988AGL01055OE C 2014152 
39-003693 O US OH SOUTH POINT      38 25 30.30N 082 31 57.70W TOWER              1 00260 01159 D 1 A N 2012AGL02020OE C 2012160 
39-001436 O US OH CHESAPEAKE       38 25 34.00N 082 28 55.00W TOWER              1 00031 00925 N 5 E N 1985AGL01325OE C 2014152 
39-001009 O US OH SOUTH POINT      38 26 10.00N 082 35 20.00W STACK              1 00302 00863 S 5 E N 1977AGL00744OE C 2014152 
39-020523 O US OH CHESAPEAKE       38 26 26.70N 082 28 04.50W TOWER              1 00260 00930 D 2 C N 2014AGL10867OE C 2014329 
39-020843 O US OH SOUTH POINT      38 26 43.70N 082 33 22.20W TOWER              1 00264 01099 D 2 C N 2014AGL10563OE C 2014295 
39-124007 O US OH SOUTH PORT       38 26 45.61N 082 33 23.80W TOWER              1 00286 01106 D 1 A N 2020AGL05254OE A 2021158 
39-026364 O US OH CHESAPEAKE       38 26 51.53N 082 25 38.34W POLE               1 00199 01067 N 1 A N 2013AGL12814OE A 2014170 
39-001504 O US OH BRADRICK         38 27 14.30N 082 25 04.55W TOWER              1 00220 01060 R 5 E M 2004AGL07734OE C 2006218 
