  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
41-043495 U US OR ADEL             42 00 45.00N 119 27 46.00W TOWER              1 00070 06272 N 1 A N 2014ANM02726OE A 2018027 
41-043901 U US OR ADEL             42 00 47.40N 119 28 32.16W TOWER              1 00080 06255 N 4 D N 2016ANM02625OE A 2018027 
41-092563 U US OR MALIN            42 00 47.65N 121 25 02.50W SOLAR PANELS       1 00008 04060 N 4 D N 2021ANM00049OE A 2022054 
41-092566 U US OR MALIN            42 00 47.76N 121 24 55.62W SOLAR PANELS       1 00008 04060 N 4 D N 2021ANM00052OE A 2022054 
41-092569 U US OR MALIN            42 00 48.77N 121 25 03.19W UTILITY POLE       1 00008 04060 N 4 D N 2021ANM00055OE A 2022055 
41-092564 U US OR MALIN            42 00 49.07N 121 25 02.64W SOLAR PANELS       1 00008 04060 N 4 D N 2021ANM00050OE A 2022054 
41-092565 U US OR MALIN            42 00 49.27N 121 25 04.41W SOLAR PANELS       1 00008 04060 N 4 D N 2021ANM00051OE A 2022054 
41-092568 U US OR MALIN            42 00 59.63N 121 25 04.60W SOLAR PANELS       1 00008 04060 N 4 D N 2021ANM00054OE A 2022054 
41-092567 U US OR MALIN            42 00 59.65N 121 24 55.99W SOLAR PANELS       1 00008 04060 N 4 D N 2021ANM00053OE A 2022054 
41-021498 O US OR CAVE JUNCTION    42 01 15.00N 123 46 23.65W T-L TWR            1 00057 02021 N 5 E N 2010ANM02584OE A 2012192 
41-043868 U US OR MERRILL          42 01 26.68N 121 34 50.44W T-L TWR            1 00056 04128 N 4 D N 2016ANM01529OE A 2018028 
41-043867 U US OR MERRILL          42 01 26.69N 121 34 56.96W T-L TWR            1 00052 04123 N 4 D N 2016ANM01528OE A 2018028 
41-043860 U US OR MERRILL          42 01 26.71N 121 35 10.90W T-L TWR            1 00052 04121 N 4 D N 2016ANM01527OE A 2018028 
41-043866 U US OR MERRILL          42 01 26.71N 121 35 22.04W T-L TWR            1 00052 04121 N 4 D N 2016ANM01525OE A 2018028 
41-043859 U US OR MERRILL          42 01 26.72N 121 35 18.34W T-L TWR            1 00052 04120 N 4 D N 2016ANM01526OE A 2018028 
41-043861 U US OR MERRILL          42 01 26.90N 121 34 30.60W T-L TWR            1 00051 04121 N 4 D N 2016ANM01530OE A 2018028 
41-043862 U US OR MERRILL          42 01 26.94N 121 34 26.78W T-L TWR            1 00052 04122 N 4 D N 2016ANM01531OE A 2018028 
41-043863 U US OR MERRILL          42 01 26.99N 121 34 22.85W T-L TWR            1 00052 04122 N 4 D N 2016ANM01532OE A 2018028 
41-043875 U US OR MERRILL          42 01 27.07N 121 34 15.15W T-L TWR            1 00056 04125 N 4 D N 2016ANM01533OE A 2018028 
41-043864 U US OR MERRILL          42 01 27.09N 121 34 11.08W T-L TWR            1 00053 04121 N 4 D N 2016ANM01534OE A 2018028 
41-043869 U US OR MERRILL          42 01 27.09N 121 34 07.20W T-L TWR            1 00053 04121 N 4 D N 2016ANM01535OE A 2018028 
41-043870 U US OR MERRILL          42 01 27.09N 121 34 03.25W T-L TWR            1 00053 04121 N 4 D N 2016ANM01536OE A 2018028 
41-043871 U US OR MERRILL          42 01 27.11N 121 33 51.33W UTILITY POLE       1 00050 04119 N 4 D N 2016ANM01537OE A 2018028 
41-043961 U US OR MERRILL          42 01 39.43N 121 36 19.34W UTILITY POLE       1 00057 04130 N 1 A N 2017ANM01535OE A 2018030 
41-043960 U US OR MERRILL          42 01 39.45N 121 36 23.18W UTILITY POLE       1 00066 04138 N 1 A N 2017ANM01534OE A 2018030 
41-043976 U US OR MERRILL          42 01 39.47N 121 36 27.23W UTILITY POLE       1 00066 04136 N 1 A N 2017ANM01533OE A 2018030 
41-043959 U US OR MERRILL          42 01 39.49N 121 36 35.23W UTILITY POLE       1 00066 04138 N 1 A N 2017ANM01531OE A 2018030 
41-043975 U US OR MERRILL          42 01 39.49N 121 36 31.14W UTILITY POLE       1 00066 04137 N 1 A N 2017ANM01532OE A 2018030 
41-043874 U US OR MERRILL          42 01 39.50N 121 36 39.21W T-L TWR            1 00069 04141 N 4 D N 2016ANM01524OE A 2018028 
41-043958 U US OR MERRILL          42 01 41.86N 121 36 41.56W UTILITY POLE       1 00057 04130 N 1 A N 2017ANM01530OE A 2018030 
41-043957 U US OR MERRILL          42 01 44.25N 121 36 43.94W UTILITY POLE       1 00056 04129 N 1 A N 2017ANM01529OE A 2018030 
41-043980 U US OR MERRILL          42 01 49.05N 121 36 48.72W UTILITY POLE       1 00058 04132 N 1 A N 2017ANM01528OE A 2018030 
41-043978 U US OR MERRILL          42 01 49.80N 121 36 48.95W UTILITY POLE       1 00039 04112 N 1 A N 2017ANM01522OE A 2018030 
41-043973 U US OR MERRILL          42 01 50.06N 121 36 49.17W UTILITY POLE       1 00039 04112 N 1 A N 2017ANM01524OE A 2018030 
41-043956 U US OR MERRILL          42 01 50.22N 121 36 48.58W UTILITY POLE       1 00029 04102 N 1 A N 2017ANM01527OE A 2018030 
