  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
42-020601 O US PA OSAGE            39 43 19.17N 080 02 06.23W T-L TWR            1 00079 01553 N 5 E N 2010AEA00247OE A 2011073 
42-025267 O US PA HAGERSTOWN       39 43 20.15N 077 41 19.30W POLE               1 00067 00737 U 1 A U                A 2012348 
42-020600 O US PA OSAGE            39 43 27.54N 080 02 04.54W T-L TWR            1 00083 01490 N 5 E N 2010AEA00246OE A 2011073 
42-026179 O US PA ADDISON          39 43 27.83N 079 11 56.32W WINDMILL           1 00499 03405 W 4 E W 2015WTE06391OE A 2017003 
42-025326 O US PA MEYERSDALE       39 43 29.33N 078 54 45.30W WINDMILL           1 00409 03249 W 5 E W 2012WTE02620OE A 2013035 
42-025268 O US PA HAGERSTOWN       39 43 30.76N 077 39 06.51W ELEVATOR           1 00078 00726 U 1 A U                A 2012348 
42-026181 O US PA ADDISON          39 43 32.78N 079 12 02.21W WINDMILL           1 00499 03449 N 4 E W 2015WTE06392OE A 2017003 
42-020367 U US PA SPRAGGS          39 43 32.93N 080 12 36.86W TOWER              1 00289 01580 D 4 D N 2009AEA01410OE C 2014124 
42-006407 U US PA BLUE RIDGE       39 43 33.00N 077 29 15.00W TOWER              1 00110 01830 U     U                C 1994353 
42-024795 O US PA MEYERSDALE       39 43 35.42N 078 54 36.74W WINDMILL           1 00409 03209 N 5 E W 2012WTE02621OE A 2012297 
42-002332 O US PA POINT MARION     39 43 36.58N 080 03 48.55W TOWER              1 00308 01374 D 2 C N 2011AEA00206OE C 2015177 
42-020599 O US PA OSAGE            39 43 36.60N 080 02 02.71W T-L TWR            1 00082 01395 N 5 E N 2010AEA00245OE A 2011074 
42-024813 O US PA MEYERSDALE       39 43 36.83N 078 55 23.34W WINDMILL           1 00409 03130 W 5 E W 2012WTE02584OE A 2012332 
42-020598 O US PA OSAGE            39 43 40.26N 080 02 01.97W T-L TWR            1 00107 01334 N 5 E N 2010AEA00244OE A 2011074 
42-000677 O US PA CROSS MOUNTAIN   39 43 41.96N 077 59 28.26W TOWER              1 00116 02177 U 4 D U                C 2017264 
42-026272 O US PA ADDISON          39 43 42.59N 079 12 03.84W WINDMILL           1 00499 03464 N 4 E W 2015WTE06393OE A 2017158 
42-025443 O US PA MEYERSDALE       39 43 42.92N 078 54 29.75W WINDMILL           1 00409 03250 N 5 E W 2012WTE02622OE A 2013186 
42-025458 O US PA MEYERSDALE       39 43 43.88N 078 55 16.56W WINDMILL           1 00476 03258 N 5 E W 2012WTE02585OE A 2013183 
42-025279 O US PA MEYERSDALE       39 43 49.16N 078 54 19.96W TOWER              1 00409 03238 W 5 E W 2012WTE02623OE A 2013007 
42-025462 O US PA MEYERSDALE       39 43 50.53N 078 55 09.32W WINDMILL           1 00476 03293 N 5 E W 2012WTE02586OE A 2013183 
42-026506 O US PA ADDISON          39 43 52.47N 079 12 02.38W WINDMILL           1 00499 03405 W 4 E W 2015WTE06394OE A 2017159 
42-020597 O US PA OSAGE            39 43 55.03N 080 02 15.84W T-L TWR            1 00083 01252 N 5 E N 2010AEA00242OE A 2011075 
42-024804 O US PA MEYERSDALE       39 43 57.28N 078 54 13.34W WINDMILL           1 00476 03278 N 5 E W 2012WTE02624OE A 2012311 
42-106355 U US PA LAKE LYNN        39 43 59.00N 079 48 53.50W TOWER              1 00200 01424 N 2 C N 2011AEA02836OE A 2018024 
42-106530 U US PA PEACH BOTTOM TOW 39 44 00.00N 076 23 02.00W T-L TWR            1 00200 00630 N 4 D N 2011AEA04441OE A 2018028 
42-000273 O US PA OXFORD           39 44 00.20N 075 57 54.60W TOWER              1 00332 00851 D 1 D N 2005AEA02840OE C 2005275 
42-026568 O US PA ADDISON          39 44 00.48N 079 11 35.93W WINDMILL           1 00499 03382 W 4 E W 2015WTE06395OE A 2017135 
42-001166 O US PA BLUE RIDGE       39 44 02.00N 077 25 12.00W TOWER              1 00223 01749 R 3 C M                C 2014152 
42-025265 O US PA MEYERSDALE       39 44 03.35N 078 54 54.43W WINDMILL           1 00476 03253 N 5 E W 2012WTE02588OE A 2012363 
42-020596 O US PA OSAGE            39 44 03.35N 080 02 23.65W T-L TWR            1 00079 01299 N 5 E N 2010AEA00240OE A 2011075 
42-020866 O US PA WELLERSBURG      39 44 03.85N 078 55 03.04W TOWER              1 00328 03075 R 5 E P 2012WTE00058OE A 2012145 
42-025302 O US PA MEYERSDALE       39 44 04.75N 078 54 05.44W WINDMILL           1 00409 03240 N 5 E W 2012WTE02625OE A 2013024 
42-020595 O US PA OSAGE            39 44 05.80N 080 02 25.96W T-L TWR            1 00089 01249 N 5 E N 2010AEA00239OE A 2011083 
42-025471 O US PA MEYERSDALE       39 44 09.76N 078 54 47.04W WINDMILL           1 00476 03275 N 5 E W 2012WTE02589OE A 2013183 
42-003373 U US PA MERCERSBURG      39 44 10.20N 077 55 48.20W TOWER              1 00200 01127 N 4 D N 2005AEA01930OE C 2014124 
42-152009 O US PA DILLNER          39 44 10.66N 079 54 41.10W TOWER              1 00254 01452 D 2 C N 2021AEA13934OE A 2022095 
42-026569 O US PA ADDISON          39 44 10.96N 079 11 38.73W WINDMILL           1 00499 03395 N 4 E W 2015WTE06396OE A 2017135 
42-020768 O US PA FAIRCHANCE       39 44 11.99N 079 44 51.81W WINDMILL           1 00414 02840 W 5 E W 2010WTE07584OE A 2011292 
42-025342 O US PA MEYERSDALE       39 44 12.20N 078 53 57.39W WINDMILL           1 00409 03232 W 5 E W 2012WTE02626OE A 2013056 
42-020594 O US PA OSAGE            39 44 13.96N 080 02 23.81W T-L TWR            1 00156 01198 R 5 E S 2010AEA00237OE A 2011077 
42-020565 O US PA OSAGE            39 44 14.97N 080 02 23.15W CATENARY           1 00207 01188 N 5 E S 2010AEA00236OE A 2014066 
42-025472 O US PA MEYERSDALE       39 44 16.01N 078 54 39.54W WINDMILL           1 00476 03284 W 5 E W 2012WTE02590OE A 2013183 
42-109634 O US PA DELTA BOROUGH    39 44 16.49N 076 18 17.15W STACK              1 00250 00695 D 4 E N 2015AEA06032OE A 2017188 
42-109633 O US PA DELTA BOROUGH    39 44 16.51N 076 18 18.88W STACK              1 00250 00695 D 4 E N 2015AEA06031OE A 2017192 
42-020593 O US PA OSAGE            39 44 17.60N 080 02 23.53W T-L TWR            1 00152 01163 R 5 E S 2010AEA00235OE A 2011083 
42-020669 O US PA MOUNT MORRIS     39 44 18.01N 080 02 23.53W CATENARY           1 00197 01171 N 5 E N 2010AEA01137OE A 2011159 
42-025350 O US PA MEYERSDALE       39 44 18.56N 078 53 48.15W WINDMILL           1 00409 03246 N 5 E W 2012WTE02627OE A 2013064 
42-020769 O US PA FAIRCHANCE       39 44 18.91N 079 44 52.06W WINDMILL           1 00414 02896 N 5 E W 2010WTE07605OE A 2011311 
42-000266 O US PA WAYNESBORO       39 44 20.00N 077 36 01.00W TOWER              1 00205 00904 N 5 E N                C 2014152 
