  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
44-020412 O US RI BLOCK ISLAND     41 06 23.05N 071 32 15.54W WINDMILL           1 00595 00595 W 8 D W 2012WTE01897OE C 2016365 
44-020420 O US RI BLOCK ISLAND     41 06 36.71N 071 31 44.81W WINDMILL           1 00595 00595 W 8 D W 2012WTE01896OE A 2016365 
44-020411 O US RI BLOCK ISLAND     41 06 53.06N 071 31 16.18W WINDMILL           1 00595 00595 W 8 D W 2012WTE01895OE C 2016365 
44-020410 O US RI BLOCK ISLAND     41 07 11.77N 071 30 50.21W WINDMILL           1 00595 00595 W 8 D W 2012WTE01894OE C 2016351 
44-020409 O US RI BLOCK ISLAND     41 07 32.60N 071 30 27.23W WINDMILL           1 00659 00659 W 8 D W 2012WTE01893OE C 2016344 
44-000115 O US RI NEW SHOREHAM     41 09 12.00N 071 33 06.00W TOWER              2 00100 00261 L 1 C N 1988ANE00330OE C 2014152 
44-020193 O US RI BLOCK ISLAND     41 09 52.90N 071 35 00.66W POLE               1 00027 00201 U 1 A U                A 2013192 
44-020196 O US RI BLOCK ISLAND     41 09 53.70N 071 35 10.96W BLDG               1 00027 00169 U 1 A U                A 2013192 
44-020194 O US RI BLOCK ISLAND     41 09 54.42N 071 35 06.83W BLDG               1 00030 00162 U 1 A U                A 2013192 
44-020192 O US RI BLOCK ISLAND     41 09 55.78N 071 34 57.78W POLE               1 00027 00159 U 1 A U                A 2013192 
44-020198 O US RI BLOCK ISLAND     41 09 56.55N 071 35 26.37W BLDG               1 00039 00196 U 1 A U                A 2013192 
44-020195 O US RI BLOCK ISLAND     41 09 57.46N 071 35 10.10W BLDG               1 00028 00143 U 1 A U                A 2013192 
44-020197 O US RI BLOCK ISLAND     41 10 00.59N 071 35 26.49W BLDG               1 00033 00192 U 1 A U                A 2013192 
44-000149 O US RI BLOCK ISLAND     41 10 01.86N 071 34 32.30W TOWER              1 00040 00145 R 5 D N 2003ANE00615OE C 2005093 
44-020199 O US RI BLOCK ISLAND     41 10 09.19N 071 34 04.21W BLDG               1 00039 00109 U 1 A U                A 2013192 
