  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
47-074966 U US TN EAST RIDGE       34 59 11.73N 085 14 49.40W TOWER              1 00158 00865 N 4 D N 2016ASO11174OE A 2018024 
47-001523 O US TN CHATTANOOGA      34 59 26.79N 085 23 57.92W TOWER              1 00314 01060 D 2 C N 2015ASO09583OE C 2015253 
47-020552 O US TN COPPERHILL       34 59 29.38N 084 21 45.37W TANK               1 00141 01789 U 1 A U                A 2013256 
47-000245 O US TN ARDMORE          34 59 35.00N 086 51 22.00W TOWER              1 00156 01024 U 9 I U                C 2014138 
47-074405 U US TN CHATTANOOGA      34 59 40.21N 085 12 28.64W POLE               1 00160 00832 N 1 A N 2013ASO07279OE A 2018026 
47-099141 U US TN CHATTANOOGA      34 59 42.92N 085 12 10.42W BLDG               1 00055 00735 N 4 D N 2019ASO17514OE A 2021119 
47-133722 U US TN MEMPHIS          34 59 43.76N 089 56 58.91W BLDG               1 00044 00426 N 4 D N 2020ASO29968OE A 2023033 
47-133721 U US TN MEMPHIS          34 59 43.81N 089 57 05.16W BLDG               1 00044 00426 N 4 D N 2020ASO29967OE A 2023033 
47-127204 U US TN MEMPHIS          34 59 44.05N 089 56 03.36W BLDG               1 00040 00397 N 4 D N 2020ASO37065OE A 2022326 
47-099144 U US TN CHATTANOOGA      34 59 44.72N 085 12 11.04W POLE               1 00140 00820 N 4 D N 2019ASO17517OE A 2021118 
47-001520 O US TN GUILD            34 59 45.24N 085 28 38.39W TOWER              1 00308 01361 D 2 C N 2014ASO09521OE C 2016237 
47-099143 U US TN CHATTANOOGA      34 59 47.10N 085 12 14.65W POLE               1 00140 00820 N 4 D N 2019ASO17516OE A 2021117 
47-116792 U US TN CHATTANOOGA      34 59 47.51N 085 12 28.42W BRIDGE             1 00027 00705 N 4 D N 2019ASO06835OE A 2022077 
47-114170 U US TN EAST RIDGE       34 59 47.52N 085 12 36.97W POLE               1 00111 00794 N 4 D N 2020ASO26095OE A 2021197 
47-114171 U US TN EAST RIDGE       34 59 47.54N 085 12 39.83W POLE               1 00111 00794 N 4 D N 2020ASO26096OE A 2021197 
47-133718 U US TN MEMPHIS          34 59 47.83N 089 57 10.36W BLDG               1 00044 00426 N 4 D N 2020ASO29964OE A 2023033 
47-133717 U US TN MEMPHIS          34 59 47.87N 089 57 15.40W BLDG               1 00044 00426 N 4 D N 2020ASO29963OE A 2023033 
47-000866 O US TN MEMPHIS          34 59 49.75N 090 02 55.62W TOWER              1 00330 00630 D 4 D N 2019ASO26780OE C 2020114 
47-135127 U US TN MEMPHIS          34 59 49.86N 089 59 20.87W POLE               1 00035 00400 N 4 D N 2021ASO34282OE A 2023177 
47-133728 U US TN MEMPHIS          34 59 50.00N 089 59 21.00W POLE               1 00040 00405 N 4 D N 2021ASO33781OE A 2023044 
47-133714 U US TN MEMPHIS          34 59 50.00N 089 57 05.30W BLDG               1 00044 00428 N 4 D N 2020ASO27502OE A 2023033 
47-134629 U US TN MEMPHIS          34 59 50.12N 089 59 20.87W POLE               1 00035 00400 N 4 D N 2021ASO34281OE A 2023136 
47-001685 O US TN MEMPHIS          34 59 50.49N 089 59 24.69W T-L TWR            1 00125 00492 D 1 B P 1998ASO06536OE C 2019175 
47-020566 O US TN COPPERHILL       34 59 51.43N 084 20 37.52W POLE               1 00046 01856 U 2 C U                A 2013256 
47-114169 U US TN EAST RIDGE       34 59 51.76N 085 12 37.13W POLE               1 00111 00794 N 4 D N 2020ASO26094OE A 2021197 
47-001243 O US TN WHITESIDE        34 59 51.76N 085 30 00.57W TOWER              1 00237 01714 D 1 A N 2007ASO04407OE C 2010207 
47-114172 U US TN EAST RIDGE       34 59 51.78N 085 12 39.89W POLE               1 00111 00794 N 4 D N 2020ASO26097OE A 2021197 
47-001438 O US TN MEMPHIS          34 59 52.00N 089 58 04.00W T-L TWR            1 00131 00506 N 1 A N                C 2014138 
47-020555 O US TN COPPERHILL       34 59 53.66N 084 20 40.13W POLE               1 00035 01851 U 1 A U                A 2013256 
47-001604 O US TN EBENEZER         34 59 54.00N 085 29 57.00W TOWER              1 00265 01762 D 2 C N 1998ASO00983OE C 2014138 
47-133716 U US TN MEMPHIS          34 59 54.25N 089 57 10.28W BLDG               1 00044 00426 N 4 D N 2020ASO29962OE A 2023033 
47-133715 U US TN MEMPHIS          34 59 54.30N 089 57 15.32W BLDG               1 00044 00426 N 4 D N 2020ASO29961OE A 2023033 
47-133720 U US TN MEMPHIS          34 59 54.64N 089 56 58.77W BLDG               1 00044 00426 N 4 D N 2020ASO29966OE A 2023033 
47-133719 U US TN MEMPHIS          34 59 54.69N 089 57 05.02W BLDG               1 00044 00426 N 4 D N 2020ASO29965OE A 2023033 
47-023691 U US TN MEMPHIS          34 59 56.51N 089 55 54.11W TOWER              1 00187 00555 N 4 D N 2012ASO09605OE A 2016357 
47-074115 U US TN ARDMORE          34 59 58.87N 086 51 22.20W TANK               1 00140 01016 N 4 D N 2012ASO06690OE A 2018030 
47-002147 O US TN BLACK FOX        35 00 02.00N 084 55 22.00W TOWER              1 00320 01291 D 2 C N 2000ASO09979OE C 2002069 
47-103750 U US TN CHATTANOOGA      35 00 03.63N 085 12 42.45W BRIDGE             1 00030 00691 N 4 D N 2019ASO06833OE A 2021176 
47-114185 U US TN CHATTANOOGA      35 00 04.18N 085 12 41.85W BRIDGE             1 00038 00692 N 4 D N 2019ASO06824OE A 2021236 
47-099098 U US TN MEMPHIS          35 00 04.20N 089 57 07.30W BLDG               1 00045 00427 N 4 D N 2020ASO33558OE A 2021063 
47-098432 U US TN CHATTANOOGA      35 00 04.65N 085 12 40.42W BRIDGE             1 00029 00692 N 4 D N 2019ASO06825OE A 2021025 
47-098433 U US TN CHATTANOOGA      35 00 04.96N 085 12 38.37W BRIDGE             1 00032 00689 N 4 D N 2019ASO06836OE A 2021025 
47-115948 U US TN CHATTANOOGA      35 00 05.28N 085 12 39.34W BRIDGE             1 00013 00694 N 4 D N 2019ASO06834OE A 2021258 
47-001832 O US TN MINOR HILL       35 00 09.00N 087 08 09.00W TOWER              1 01347 02187 S 5 E N 1998ASO06168OE C 2014138 
47-074003 U US TN EAST RIDGE       35 00 10.73N 085 13 29.98W POLE               1 00062 00732 N 4 D N 2012ASO02175OE A 2018025 
47-000028 O US TN CHATTANOOGA      35 00 12.00N 085 20 43.00W TOWER              1 00130 02300 U 9 I U                C 2014138 
47-098430 U US TN CHATTANOOGA      35 00 12.05N 085 12 41.19W BRIDGE             1 00042 00715 N 4 D N 2019ASO06826OE A 2021025 
47-002136 O US TN CHEWALA          35 00 14.00N 088 39 39.00W TOWER              1 00331 00817 R 5 E M 2001ASO00279OE C 2001330 
47-116741 U US TN CHATTANOOGA      35 00 15.18N 085 13 09.53W BRIDGE             1 00026 00704 N 4 D N 2019ASO06829OE A 2021363 
47-135815 U US TN MEMPHIS          35 00 16.54N 089 48 36.00W TANK               1 00161 00547 N 4 D N 2023ASO06837OE A 2024019 
47-116742 U US TN CHATTANOOGA      35 00 16.68N 085 13 09.50W BRIDGE             1 00019 00706 N 4 D N 2019ASO06830OE A 2021363 
47-098434 U US TN CHATTANOOGA      35 00 18.16N 085 12 50.35W BRIDGE             1 00050 00721 N 4 D N 2019ASO06831OE A 2021025 
47-020212 O US TN MEMPHIS          35 00 18.46N 089 49 49.23W TOWER              1 00168 00526 N 2 C N 2010ASO01060OE A 2011082 
47-074622 U US TN MEMPHIS          35 00 18.61N 089 49 49.22W TOWER              1 00169 00528 N 1 A N 2015ASO09526OE A 2018024 
47-098431 U US TN CHATTANOOGA      35 00 18.62N 085 12 39.13W BRIDGE             1 00031 00720 N 4 D N 2019ASO06827OE A 2021025 
47-020802 O US TN CHATTANOOGA      35 00 18.79N 085 13 29.94W TOWER              1 00189 00874 U 1 A U                A 2013256 
47-020393 O US TN CHATTANOOGA      35 00 18.84N 085 13 29.93W TOWER              1 00188 00873 N 4 D N 2022ASO14327OE C 2023150 
47-135814 O US TN MEMPHIS          35 00 19.13N 090 01 19.00W TANK               1 00156 00460 N 1 A N 2023ASO06836OE A 2024018 
47-000867 O US TN SOUTH PITTSBURG  35 00 20.00N 085 37 26.00W CATENARY           1 00236 00831 N 5 D M                C 2014138 
47-136534 U US TN MEMPHIS          35 00 20.50N 089 59 14.50W BLDG               1 00060 00412 N 4 D N 2022ASO16728OE A 2024004 
47-001535 O US TN CHATTANOOGA      35 00 21.00N 085 12 17.00W TOWER              1 00199 00877 D 2 C N 1998ASO01250OE C 2014138 
47-116345 U US TN MEMPHIS          35 00 21.16N 089 59 11.79W BLDG               1 00057 00415 N 4 D N 2019ASO26739OE A 2021274 
47-020801 O US TN CHATTANOOGA      35 00 21.99N 085 12 15.73W TOWER              1 00192 00870 U 1 A U                A 2013256 
47-020252 O US TN CHATTANOOGA      35 00 22.63N 085 15 40.68W TOWER              1 00158 00999 N 1 A N 2018ASO26288OE C 2019052 
47-001926 O US TN CHATTANOOGA      35 00 23.26N 085 07 00.11W TOWER              1 00172 01122 N 1 A N 2006ASO02385OE C 2006190 
47-000390 O US TN COPPERHILL       35 00 23.54N 084 23 14.40W TOWER              1 00214 01916 D 1 A N 2015ASO18701OE C 2016323 
47-074358 U US TN APISON           35 00 24.25N 084 59 58.90W POLE               1 00089 01040 N 4 D N 2013ASO01394OE A 2018026 
47-001289 O US TN MEMPHIS          35 00 25.30N 090 06 13.40W TOWER              1 00310 00557 D 4 D N 2020ASO02617OE C 2020197 
47-006004 U US TN WAUHATCHIE       35 00 26.00N 085 22 31.00W TOWER              1 00130 00793 U     U                A 1976053 
47-074722 U US TN MEMPHIS          35 00 27.89N 090 00 29.85W TOWER              1 00168 00474 N 2 C N 2016ASO16657OE A 2018024 
47-115949 U US TN CHATTANOOGA      35 00 27.98N 085 12 05.81W BRIDGE             1 00019 00685 N 4 D N 2019ASO06828OE A 2021258 
47-114167 O US TN CHATTANOOGA      35 00 29.10N 085 12 11.90W TOWER              1 00154 00837 R 1 A N 2021ASO08527OE A 2021223 
47-023583 O US TN MEMPHIS          35 00 31.35N 089 59 31.62W TOWER              1 00138 00470 N 2 C N 2012ASO07738OE A 2015237 
47-000559 O US TN SOUTH PITTSBURG  35 00 32.00N 085 37 21.00W T-L TWR            2 00302 00935 N 4 D N 0067_ME00207OE C 2014138 
47-020800 O US TN CHATTANOOGA      35 00 32.67N 085 12 29.61W BLDG               1 00093 00770 U 1 A U                A 2013256 
47-020692 O US TN JASPER           35 00 33.01N 085 37 18.72W T-L TWR            1 00315 00940 U 1 A U                A 2013256 
47-116816 O US TN LOOKOUT MOUNTAIN 35 00 34.47N 085 20 40.46W TOWER              1 00109 02217 N 1 A N 2021ASO38549OE A 2022130 
47-074388 U US TN ROSSVILLE        35 00 39.00N 089 34 31.00W TOWER              1 00153 00530 N 4 D N 2013ASO05556OE A 2018023 
