  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
50-000085 O US VT READSBORO        42 45 32.00N 072 55 40.00W TANK               1 00210 01560 U 3 C U                C 2014138 
50-000036 O US VT VERNON           42 46 51.00N 072 30 56.00W STACK              1 00323 00573 D 5 E N 2002ANE01483OE C 2008099 
50-000035 O US VT VERNON           42 46 54.00N 072 31 18.00W TOWER              1 00310 00567 R 5 E M 1975ANE00217OE C 2014138 
50-020157 O US VT VERNON           42 46 57.28N 072 31 12.23W TOWER              1 00303 00573 D 5 E N 2009WTE06151OE A 2014002 
50-000030 O US VT HINSDALE         42 47 10.00N 072 31 06.00W T-L TWR            1 00150 00411 R 5 E M 0069_BS00195OE C 2014138 
50-000052 O US VT BRATTLEBORO      42 49 43.00N 072 35 58.00W TOWER              2 00198 01158 N 5 E U 1979ANE00196OE C 2014138 
50-034347 U US VT BENNINGTON       42 49 43.66N 073 12 58.57W TOWER              1 00146 01795 N 1 A N 2016ANE01110OE A 2018024 
50-034366 O US VT JACKSONVILLE     42 50 41.90N 072 57 55.18W WINDMILL           1 00399 03449 W 4 E W 2017WTE02851OE A 2017244 
50-034367 O US VT JACKSONVILLE     42 50 48.80N 072 58 01.38W WINDMILL           1 00400 03482 N 4 E W 2017WTE02850OE A 2017248 
50-000011 O US VT BRATTLEBORO      42 50 51.00N 072 34 54.00W TOWER              1 00155 00518 U 9 I U                C 2014138 
50-034368 O US VT JACKSONVILLE     42 50 56.99N 072 58 09.23W WINDMILL           1 00400 03501 N 4 E W 2017WTE02849OE A 2017244 
50-034369 O US VT JACKSONVILLE     42 51 03.45N 072 58 19.96W WINDMILL           1 00400 03399 W 4 D W 2017WTE02848OE A 2017235 
50-034370 O US VT JACKSONVILLE     42 51 10.74N 072 58 15.87W WINDMILL           1 00400 03369 N 4 E W 2017WTE02847OE A 2017251 
50-034371 O US VT JACKSONVILLE     42 51 17.49N 072 58 10.07W WINDMILL           1 00400 03312 N 4 E W 2017WTE02846OE A 2017251 
50-034372 O US VT JACKSONVILLE     42 51 24.68N 072 58 04.63W WINDMILL           1 00400 03410 W 4 E W 2017WTE02845OE A 2017251 
50-000093 O US VT SEARSBURG        42 51 31.00N 072 57 58.00W WINDMILL           4 00198 03159 N 5 E N                C 2014138 
50-000092 O US VT SEARSBURG        42 51 48.00N 072 57 41.00W WINDMILL           5 00198 02986 N 5 E N                C 2006141 
50-050064 U US VT BENNINGTON       42 51 50.13N 073 13 57.37W TOWER              1 00070 02413 R 4 D P 2019ANE03882OE A 2020076 
50-000104 O US VT BENNINGTON       42 51 51.50N 073 13 58.50W TOWER              1 00062 02387 N 1 A N 2018ANE04969OE C 2018319 
50-000094 O US VT SEARSBURG        42 51 54.00N 072 57 27.00W WINDMILL           2 00198 02999 N 5 E N                C 2014138 
50-034336 U US VT BENNINGTON       42 52 01.40N 073 12 56.90W POLE               1 00090 01080 N 4 D N 2014ANE02073OE A 2018026 
50-034375 O US VT JACKSONVILLE     42 52 13.76N 072 59 07.38W WINDMILL           1 00416 03311 W 4 D W 2017WTE02859OE A 2017251 
50-034376 O US VT JACKSONVILLE     42 52 21.87N 072 59 11.24W WINDMILL           1 00416 03300 N 4 D W 2017WTE02858OE A 2017251 
50-050065 U US VT BENNINGTON       42 52 27.19N 073 13 33.23W TOWER              1 00100 01487 R 4 D P 2019ANE03949OE A 2020078 
50-034383 O US VT JACKSONVILLE     42 52 28.13N 072 59 18.42W WINDMILL           1 00416 03192 N 4 E W 2017WTE02857OE A 2017257 
50-034382 O US VT JACKSONVILLE     42 52 35.32N 072 59 23.01W WINDMILL           1 00416 03207 W 4 D W 2017WTE02856OE A 2017256 
50-034384 O US VT JACKSONVILLE     42 52 43.22N 072 59 26.35W WINDMILL           1 00416 03280 N 4 D W 2017WTE02855OE A 2017261 
50-034385 O US VT JACKSONVILLE     42 52 51.65N 072 59 26.68W WINDMILL           1 00416 03193 N 4 D W 2017WTE02854OE A 2017261 
50-034387 O US VT JACKSONVILLE     42 53 00.58N 072 59 26.63W WINDMILL           1 00416 03159 W 4 E W 2017WTE02853OE A 2017269 
50-034386 O US VT JACKSONVILLE     42 53 05.75N 072 59 08.19W WINDMILL           1 00416 03169 W 4 E W 2017WTE02852OE A 2017269 
50-020196 O US VT BENNINGTON       42 53 15.75N 073 14 23.85W T-L TWR            1 00031 00848 U 1 A U                A 2013164 
50-020197 O US VT BENNINGTON       42 53 16.12N 073 14 21.66W T-L TWR            1 00031 00858 U 1 A U                A 2013164 
