  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
51-021066 O US VA DANVILLE         36 32 39.46N 079 17 35.91W ELEVATOR           1 00082 00604 U 1 A U                A 2012283 
51-021067 O US VA DANVILLE         36 32 43.99N 079 22 31.42W ELEVATOR           1 00154 00672 U 1 B U                A 2012283 
51-002106 U US VA DANVILLE         36 32 45.72N 079 26 54.67W TOWER              1 00200 00831 D 4 D N 2003AEA00996OE C 2014124 
51-002107 O US VA DANVILLE         36 32 48.92N 079 27 03.91W TOWER              1 00183 00776 N 1 A N 2012AEA02237OE C 2019036 
51-002405 O US VA DANVILLE         36 32 51.74N 079 30 35.73W TOWER              1 00175 00762 N 1 A N 2011AEA04127OE C 2019036 
51-001950 O US VA DANVILLE         36 32 55.87N 079 24 17.30W TOWER              1 00200 00734 N 2 C N 2004AEA00144OE C 2004263 
51-001947 O US VA DANVILLE         36 32 56.60N 079 24 52.90W TOWER              1 00200 00726 N 2 C N 2004AEA03611OE C 2005030 
51-021068 O US VA DANVILLE         36 33 04.49N 079 16 51.16W POLE               1 00040 00587 U 1 A U                A 2012283 
51-020788 O US VA MOUNTAIN HILL    36 33 19.74N 079 18 43.37W TOWER              1 00174 00781 D 2 C N 2020AEA11426OE C 2022060 
51-021060 O US VA DANVILLE         36 33 21.95N 079 19 07.17W POLE               1 00047 00700 U 1 A U                A 2012283 
51-021061 O US VA DANVILLE         36 33 25.11N 079 18 55.19W POLE               1 00032 00681 U 1 A U                A 2012283 
51-077598 O US VA STUART           36 33 31.77N 080 28 45.67W TOWER              1 00240 01730 D 1 A N 2019AEA05069OE A 2020111 
51-022604 O US VA BRODNAX          36 33 32.30N 077 53 36.25W TOWER              1 00255 00552 D 1 A N 2013AEA03417OE A 2014153 
51-000061 O US VA CHESAPEAKE       36 33 35.00N 076 16 01.00W TOWER              2 00360 00379 R 4 D M 1993AEA01072OE C 2014152 
51-006004 U US VA DANVILLE         36 33 35.00N 079 22 01.00W TOWER              1 00184 00584 U     U                A 1976053 
51-021064 O US VA DANVILLE         36 33 38.40N 079 18 23.38W CATENARY           1 00036 00588 U 1 B U                A 2012283 
51-021063 O US VA DANVILLE         36 33 39.82N 079 18 22.43W POLE               1 00030 00576 U 1 A U                A 2012283 
51-001615 U US VA PALMER SPRINGS   36 33 47.00N 078 12 27.00W TOWER              1 00265 00578 D 4 D N 1999AEA01254OE C 2014124 
51-068916 U US VA LAMSBURG         36 33 48.14N 080 44 30.39W TOWER              1 00199 01615 N 4 D N 2014AEA04246OE A 2018024 
51-021059 O US VA DANVILLE         36 33 49.06N 079 18 34.43W BLDG               1 00026 00568 U 1 A U                A 2012283 
51-001607 O US VA DANVILLE         36 33 50.70N 079 26 35.20W TOWER              1 00160 00749 N 2 C N 2018AEA07002OE C 2019032 
51-001613 U US VA TURNERS          36 33 52.00N 077 34 04.00W TOWER              1 00265 00369 D 4 D N 1999AEA01348OE C 2014124 
51-020945 O US VA DANVILLE         36 33 55.79N 079 20 29.17W TOWER              1 00072 00580 R 1 A U                A 2012283 
51-021053 O US VA DANVILLE         36 33 57.34N 079 19 31.27W POLE               1 00050 00618 U 1 A U                A 2012283 
51-006005 U US VA DANVILLE         36 34 03.00N 079 22 49.00W TOWER              1 00139 00599 U     U                A 1976053 
51-020955 O US VA DANVILLE         36 34 07.97N 079 20 11.98W NAVAID             1 00033 00599 R 1 A U                A 2012283 
