  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
53-000685 O US WA VANCOUVER        45 34 03.80N 122 24 51.58W T-L TWR            1 00271 00278 R 3 C N 2020ANM06295OE C 2021139 
53-000686 O US WA CAMAS            45 34 04.00N 122 24 44.00W T-L TWR            1 00240 00258 R 3 C N                C 2014152 
53-000687 O US WA CAMAS            45 34 05.00N 122 24 36.00W T-L TWR            2 00265 00284 R 2 A N                C 2014152 
53-021960 O US WA PORTLAND         45 34 16.32N 122 24 35.56W T-L TWR            1 00173 00202 U 1 C U                A 2013193 
53-000022 O US WA PORTLAND         45 34 17.62N 122 24 50.72W T-L TWR            1 00249 00284 R 3 C P 2020ANM06294OE C 2021230 
53-065486 U US WA WASHOUGAL        45 34 38.72N 122 21 24.42W ANTENNA            1 00132 00169 N 1 A N 2012ANM01947OE A 2018023 
53-065853 U US WA WASHOUGAL        45 34 57.73N 122 22 54.76W POLE               1 00100 00152 N 4 D N 2014ANM00452OE A 2018027 
53-000483 O US WA CAMAS            45 35 02.00N 122 24 38.00W STACK              3 00243 00296 R 3 C N 1989ANM00691OE C 2014152 
53-021089 O US WA CAMAS            45 35 02.80N 122 24 13.20W TOWER              1 00100 00161 N 5 D N 2010ANM01733OE A 2011095 
53-021761 O US WA CAMAS            45 35 20.97N 122 27 15.47W TOWER              1 00075 00577 N 1 A N 2009ANM01385OE A 2013136 
53-128546 U US WA CAMAS            45 35 25.42N 122 24 08.07W VERTICAL STRUCTURE 1 00059 00266 N 1 A N 2021ANM04184OE A 2022332 
53-021631 O US WA CAMAS            45 35 26.30N 122 24 08.30W BLDG               1 00058 00264 N 1 A N 2011ANM02377OE A 2012256 
53-021126 O US WA CAMAS            45 35 30.00N 122 26 19.57W TANK               1 00109 00868 N 1 A N 2011ANM00396OE A 2011174 
53-021771 O US WA CAMAS            45 35 31.00N 122 26 20.70W TOWER              1 00190 00945 N 5 D N 2012ANM02174OE A 2013154 
53-111793 U US WA CAMAS            45 35 34.10N 122 26 22.90W TOWER              1 00180 00929 N 4 D N 2017ANM04562OE A 2020077 
53-127208 U US WA VANCOUVER        45 35 35.85N 122 30 29.18W TOWER              1 00084 00239 N 4 D N 2022ANM02322OE A 2023160 
53-111796 U US WA VANCOUVER        45 35 39.14N 122 30 29.83W TOWER              1 00089 00260 N 4 D N 2019ANM03307OE A 2020076 
53-124216 U US WA VANCOUVER        45 35 55.20N 122 31 42.10W POLE               1 00038 00195 N 4 D N 2019ANM07019OE A 2021235 
53-000585 O US WA VANCOUVER        45 36 02.00N 122 33 04.00W BRIDGE             1 00166 00229 L 1 B N                C 2014152 
53-066541 U US WA VANCOUVER        45 36 12.17N 122 30 20.14W TOWER              1 00058 00334 N 4 D N 2016ANM01177OE A 2018024 
53-127156 U US WA VANCOUVER        45 36 12.43N 122 30 18.34W TOWER              1 00063 00335 N 4 D N 2021ANM09811OE A 2023102 
53-124372 U US WA VANCOUVER        45 36 15.30N 122 32 06.20W POLE               1 00038 00249 N 4 D N 2019ANM06776OE A 2021361 
53-021791 O US WA PORTLAND         45 36 23.46N 122 35 05.73W BLDG               1 00032 00073 U 1 B U                A 2013183 
53-021374 O US WA VANCOUVER        45 36 30.90N 122 35 31.50W TOWER              1 00050 00108 N 5 D N 2013ANM00359OE C 2015210 
53-021780 O US WA THE DALLES       45 36 35.18N 121 10 28.43W T-L TWR            1 00036 00259 U 1 A U                A 2013178 
53-065643 U US WA CAMAS            45 36 40.36N 122 26 40.65W TOWER              1 00079 00387 N 1 A N 2013ANM00326OE A 2018024 
53-021565 O US WA VANCOUVER        45 36 42.00N 122 33 08.00W TOWER              1 00104 00386 D 5 D N 2010ANM02667OE A 2012116 
53-021789 O US WA PORTLAND         45 36 44.34N 122 38 41.26W CRANE              1 00146 00157 U 1 B U                A 2013183 
53-125611 U US WA CAMAS            45 36 48.30N 122 24 31.30W TOWER              1 00140 00425 N 4 D N 2022ANM01740OE A 2022251 
53-021786 O US WA PORTLAND         45 36 48.81N 122 34 19.56W BLDG               1 00023 00284 U 1 B U                A 2013183 
53-122511 O US WA VANCOUVER        45 36 57.46N 122 37 28.16W TOWER              1 00105 00141 N 1 A N 2021ANM01306OE A 2021159 
53-021788 O US WA PORTLAND         45 36 57.51N 122 37 29.74W BLDG               1 00079 00113 U 1 B U                A 2013183 
53-021260 O US WA VANCOUVER        45 36 57.70N 122 37 25.60W TOWER              1 00105 00136 N 2 C N 2011ANM00946OE A 2011222 
53-126233 U US WA VANCOUVER        45 36 58.82N 122 31 59.52W POLE               1 00036 00346 N 4 D N 2020ANM02305OE A 2022306 
53-122465 O US WA VANCOUVER        45 36 59.89N 122 31 30.97W BLDG-TWR           1 00044 00350 N 1 A N 2020ANM05941OE A 2021133 
53-021794 O US WA PORTLAND         45 37 00.58N 122 35 08.52W T-L TWR            1 00044 00344 U 1 B U                A 2013183 
53-000504 O US WA THE DALLES       45 37 01.00N 121 08 05.00W T-L TWR            3 00196 00359 R 3 D M                C 2014152 
53-021779 O US WA THE DALLES       45 37 01.05N 121 10 24.57W TOWER              1 00061 00285 R 1 A U                A 2013178 
53-125586 U US WA DALLES PORT      45 37 01.41N 121 10 24.06W TOWER              1 00115 00344 R 4 D N 2022ANM00680OE A 2023257 
53-106130 U US WA VANCOUVER        45 37 03.07N 122 30 37.23W TOWER              1 00130 00424 N 4 D N 2019ANM00798OE A 2019123 
53-066018 U US WA VANCOUVER        45 37 03.50N 122 38 14.70W VERTICAL STRUCTURE 1 00021 00054 N 4 D N 2014ANM02092OE A 2018027 
53-124243 U US WA VANCOUVER        45 37 03.99N 122 31 24.65W TOWER              1 00035 00342 N 4 D N 2021ANM02816OE A 2021258 
53-023523 O US WA VANCOUVER        45 37 04.24N 122 33 23.00W TOWER              1 00072 00377 N 1 A N 2014ANM02737OE A 2015131 
53-023536 O US WA VANCOUVER        45 37 04.71N 122 32 37.00W TOWER              1 00050 00356 N 1 A N 2014ANM02990OE A 2015147 
53-021795 O US WA PORTLAND         45 37 04.79N 122 37 25.05W T-L TWR            1 00058 00110 U 1 B U                A 2013183 
53-127080 U US WA VANCOUVER        45 37 05.52N 122 38 37.22W TOWER              1 00045 00074 R 4 D N 2021ANM08498OE A 2023080 
53-021384 O US WA VANCOUVER        45 37 05.70N 122 37 54.10W TOWER              1 00050 00076 N 4 D N 2018ANM01543OE C 2018121 
53-081575 U US WA VANCOUVER        45 37 06.75N 122 39 09.24W POLE               1 00030 00075 N 4 D N 2016ANM00687OE A 2018027 
53-021778 O US WA THE DALLES       45 37 07.33N 121 10 14.24W POLE               1 00033 00258 R 1 A U                A 2013178 
53-023352 O US WA VANCOUVER        45 37 08.21N 122 38 45.85W SIGN               1 00030 00058 N 5 D N 2012ANM02918OE A 2014213 
53-021793 O US WA PORTLAND         45 37 10.55N 122 35 08.47W T-L TWR            1 00042 00346 U 1 B U                A 2013183 
53-020409 O US WA VANCOUVER        45 37 11.42N 122 38 55.34W BLDG               1 00024 00054 R 5 A N 2008ANM00971OE C 2009341 
53-020245 O US WA VANCOUVER        45 37 12.04N 122 38 40.39W BLDG               1 00044 00073 R 2 C N 2008ANM02277OE C 2009072 
53-000245 O US WA VANCOUVER        45 37 12.84N 122 40 25.16W BRIDGE             1 00233 00248 R 4 D N 2023ANM01841OE C 2023128 
53-021784 O US WA THE DALLES       45 37 12.94N 121 09 43.84W NAVAID             1 00008 00253 U 2 C U                A 2013178 
53-131740 O US WA VANCOUVER        45 37 13.13N 122 40 26.22W BRIDGE             1 00233 00248 R 4 D N 2023ANM01836OE A 2023128 
53-000748 O US WA VANCOUVER        45 37 13.20N 122 33 54.00W TOWER              1 00109 00421 R 2 A N 2021ANM06088OE C 2021357 
53-021782 O US WA THE DALLES       45 37 13.73N 121 09 45.29W POLE               1 00011 00255 U 2 C U                A 2013178 
53-021775 O US WA THE DALLES       45 37 13.75N 121 10 40.59W SIGN               1 00001 00213 U 1 A U                A 2013178 
53-021783 O US WA THE DALLES       45 37 14.90N 121 09 49.43W NAVAID             1 00014 00251 U 2 C U                A 2013178 
53-021785 O US WA THE DALLES       45 37 15.01N 121 09 45.33W NAVAID             1 00007 00250 U 2 C U                A 2013178 
53-131738 O US WA VANCOUVER        45 37 15.39N 122 40 23.48W BRIDGE             1 00233 00248 R 4 D N 2023ANM01839OE A 2023128 
53-020178 O US WA VANCOUVER        45 37 15.44N 122 34 25.97W TOWER              1 00110 00416 N 1 A N 2019ANM00052OE C 2019148 
53-131736 O US WA VANCOUVER        45 37 15.74N 122 40 24.74W BRIDGE             1 00233 00248 R 4 D N 2023ANM01834OE A 2023128 
53-065354 U US WA VANCOUVER        45 37 17.77N 122 38 38.34W ANTENNA            1 00039 00069 N 1 A N 2011ANM02607OE A 2018023 
