  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
55-082545 U US WI PLEASANT PRAIRIE 42 29 40.20N 087 53 52.40W T-L TWR            1 00135 00821 N 4 D N 2012AGL06708OE A 2018027 
55-001367 O US WI WILMOT           42 29 44.00N 088 13 32.00W TOWER              1 00169 01124 D 5 D N 2013AGL06587OE C 2014015 
55-082579 U US WI PLEASANT PRAIRIE 42 29 47.90N 087 53 52.30W T-L TWR            1 00131 00806 N 4 D N 2012AGL06707OE A 2018027 
55-095113 U US WI BELOIT           42 29 49.00N 088 59 33.00W SIGN               1 00033 00838 N 4 D N 2018AGL13008OE A 2020224 
55-001337 U US WI SOUTH BELOIT     42 29 51.00N 089 02 18.00W TOWER              1 00204 00948 D 4 D M 1998AGL00881OE C 2014124 
55-082578 U US WI PLEASANT PRAIRIE 42 29 55.80N 087 53 52.30W T-L TWR            1 00126 00803 N 4 D N 2012AGL06703OE A 2018027 
55-000855 O US WI BELOIT           42 29 58.00N 089 04 30.00W TOWER              1 00293 01103 D 3 C N 2002AGL03784OE C 2005219 
55-095112 U US WI BELOIT           42 29 59.00N 088 59 29.00W SIGN               1 00037 00846 N 4 D N 2018AGL13006OE A 2020224 
55-120394 U US WI BELOIT           42 30 00.86N 088 59 42.75W TANK               1 00085 00888 N 4 D N 2021AGL32513OE A 2024024 
55-001718 O US WI PLEASANT PRARIE  42 30 01.58N 087 57 00.66W TOWER              1 00227 00971 D 1 A N 2002AGL06372OE C 2007077 
55-082499 U US WI PLEASANT PRAIRIE 42 30 03.70N 087 53 52.20W T-L TWR            1 00138 00814 N 4 D N 2012AGL06702OE A 2018027 
55-095114 U US WI BELOIT           42 30 08.00N 088 59 24.00W SIGN               1 00030 00843 N 4 D N 2018AGL13009OE A 2020224 
55-082577 U US WI PLEASANT PRAIRIE 42 30 11.20N 087 53 51.80W T-L TWR            1 00133 00824 N 4 D N 2012AGL06701OE A 2018027 
55-095115 U US WI BELOIT           42 30 12.00N 088 59 20.00W SIGN               1 00030 00843 N 4 D N 2018AGL13010OE A 2020224 
55-095120 U US WI BELOIT           42 30 12.00N 088 59 18.00W POLE               1 00037 00845 N 4 D N 2018AGL13015OE A 2020224 
55-095121 U US WI BELOIT           42 30 15.00N 088 59 14.00W POLE               1 00037 00845 N 4 D N 2018AGL13016OE A 2020224 
55-088997 U US WI BELOIT           42 30 15.15N 088 58 31.99W STACK              1 00101 00954 N 4 D N 2017AGL12014OE A 2019024 
55-088998 U US WI BELOIT           42 30 15.20N 088 58 32.00W STACK              1 00101 00954 N 4 D N 2017AGL12013OE A 2019024 
55-095122 U US WI BELOIT           42 30 16.00N 088 59 09.00W POLE               1 00060 00875 N 4 D N 2018AGL13017OE A 2020225 
