
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
OLD       01-000091 O US AL EQUALITY         32 47 29.25N 086 06 42.93W TOWER              1 00314 01047 D 1 A N 2005ASO05551OE C2007063 
NEW       01-000091 O US AL EQUALITY         32 47 29.25N 086 06 42.93W TOWER              1 00318 01051 D 1 A N 2023ASO29718OE C2024024 
DISMANTLE 01-000202 O US AL FAIRHOPE         30 30 39.00N 087 54 13.00W TOWER              2 00206 00296 R 5 D M                D2023362 
OLD       01-000431 O US AL ATMORE           31 00 41.00N 087 30 28.00W TOWER              1 00218 00498 M 2 C N 2001ASO08210OE C2003265 
NEW       01-000431 O US AL ATMORE           31 00 42.39N 087 30 27.51W TOWER              1 00218 00498 M 4 D N 2022ASO36802OE C2024038 
OLD       01-000939 O US AL BAY MINETTE      30 55 25.00N 087 48 04.00W TOWER              1 00298 00560 D 5 E N 1984ASO02793OE C2014138 
NEW       01-000939 O US AL BAY MINETTE      30 55 24.19N 087 48 04.39W TOWER              1 00298 00560 D 4 D N 2023ASO07197OE C2024044 
OLD       01-001037 O US AL GARDENDALE       33 41 23.37N 086 48 20.97W TOWER              1 00310 00981 D 5 E N 2005ASO05011OE C2013031 
NEW       01-001037 O US AL GARDENDALE       33 41 23.37N 086 48 20.97W TOWER              1 00310 00981 D 4 D N 2023ASO06911OE C2024032 
OLD       01-001123 O US AL WETUMPKA         32 32 06.48N 086 11 32.88W TOWER              1 00300 00840 M 5 E N 2003ASO03856OE C2006050 
NEW       01-001123 O US AL WETUMPKA         32 32 06.56N 086 11 30.45W TOWER              1 00300 00840 M 4 D N 2023ASO25075OE C2024030 
OLD       01-001321 O US AL TROY             31 46 55.99N 085 56 15.43W TOWER              1 00426 00915 M 1 A N 2014ASO12414OE C2017097 
NEW       01-001321 O US AL TROY             31 46 55.99N 085 56 15.43W TOWER              1 00426 00915 M 1 A N 2023ASO11300OE C2024023 
OLD       01-001347 O US AL CALHOUN          32 04 06.53N 086 33 24.91W TOWER              1 00310 00602 D 4 D N 2007ASO04252OE C2016355 
NEW       01-001347 O US AL LETOHATCHEE      32 04 05.27N 086 33 23.14W TOWER              1 00310 00610 D 4 D N 2023ASO19211OE C2024024 
OLD       01-001414 O US AL CENTREVILLE      32 59 12.00N 087 12 07.00W TOWER              1 00430 00910 D 4 E N 2017ASO15131OE C2017310 
NEW       01-001414 O US AL CENTREVILLE      32 59 12.00N 087 12 07.00W TOWER              1 00430 00910 D 4 D N 2023ASO21411OE C2024011 
OLD       01-001575 O US AL DIXONS MILLS     32 07 26.53N 087 45 10.43W TOWER              1 00320 00649 M 5 D N 2001ASO09260OE C2005212 
NEW       01-001575 O US AL DIXONS MILLS     32 07 27.52N 087 45 09.10W TOWER              1 00311 00639 M 4 D N 2023ASO23467OE C2024018 
OLD       01-001578 O US AL FT. DEPOSIT      31 56 06.00N 086 35 31.00W TOWER              1 00474 01021 D 2 C M 1998ASO00039OE C2014138 
