  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
CA-000002 O CA    NEW HOPE  BC     49 21 59.00N 121 30 05.00W T-L TWR            1 00220 00420 L 9 I M                C 1974115 
CA-000003 O CA    SATURNA  CN      48 46 27.00N 123 10 15.00W TOWER              1 00420 01720 L 9 I P                C 2012137 
CA-000004 O CA    VICTORIA  BC     48 30 29.00N 123 32 55.00W CATENARY           1 00830 00830 U 9 I U                A 1987020 
CA-000005 O CA    ST. AGATHE MANT  49 34 46.00N 097 10 18.00W TOWER              1 01000 01775 U 9 I M                A 1981019 
CA-000006 O CA    ADAMSVILLE N.B.  46 23 47.00N 065 10 54.00W TOWER              1 00240 00540 U 9 I M                A 1981019 
CA-000007 O CA    DALHOUSIE  NB    48 02 58.00N 066 26 20.00W TOWER              2 00322 00795 L 9 I M                A 1987173 
CA-000008 O CA    DAULNAY          47 24 03.00N 065 27 19.00W TOWER              1 00279 00790 U 9 I M                C 1993130 
CA-000011 O CA    ROGERSVILLE  NB  46 44 09.00N 065 25 08.00W TOWER              1 00240 00535 L 9 I N                A 1981019 
CA-000012 O CA    HALIFAX  CN      44 39 03.00N 063 39 25.00W TOWER              1 00630 01073 L 9 I N                C 2022256 
CA-000013 O CA    BARRIE  CN       44 20 59.60N 079 41 50.30W TOWER              1 00944 01968 L 9 I P                C 2018288 
CA-000015 O CA    COPPER CLIFF     46 26 49.00N 081 05 19.00W STACK              1 00637 01549 U 9 I N                A 1988221 
CA-000016 O CA    FORT WILLIAM&ON  48 24 33.00N 089 15 16.00W TOWER              1 00306 00935 U 9 I M                A 1981019 
CA-000018 O CA    KITCHNER         43 24 15.00N 080 38 04.00W TOWER              1 00708 02143 L 9 I M                A 1982293 
CA-000019 O CA    NESTOR FALLS CN  49 07 07.00N 093 55 31.00W TOWER              1 00385 01535 L 9 I N                C 2000038 
CA-000021 O CA    OTTAWA  ONT      45 23 50.00N 075 45 09.00W TOWER              1 00075 00276 L 9 I N                A 1989142 
CA-000024 O CA    WALKERTON ONT    44 05 26.00N 081 12 26.00W TOWER              1 00650 01800 U 9 I M                A 1981019 
CA-000025 O CA    HARROW  CN       42 03 23.60N 083 00 06.50W TOWER              1 00300 00920 L 9 I N                C 2019129 
CA-000027 O CA    STRATHGARTNEY  C 46 12 43.90N 063 20 29.00W TOWER              1 00715 01019 L 9 I N                C 2020336 
CA-000028 O CA    QUEBEC  QUE      46 44 55.00N 071 17 48.00W T-L TWR            1 00411 00488 L 9 I M                A 1989107 
CA-000031 O CA    PINCOURT  CN     45 21 32.69N 073 59 09.24W T-L TWR            1 00289 00390 L 9 I P                C 2019330 
CA-000032 O CA    MILESTONE SASK.  49 56 43.00N 104 29 09.00W TOWER              1 00420 02327 U 9 I M                A 1981019 
CA-000035 O CA    REGINA SASK.     50 26 40.00N 104 30 02.00W TOWER              1 00670 02570 U 9 I M                A 1974115 
CA-000036 O CA    REGINA SASK.     50 21 13.00N 104 37 20.00W TOWER              1 00252 02160 U 9 I M                A 1974115 
CA-000037 O CA    WATROUS SASK.    51 40 36.00N 105 26 51.00W TOWER              1 00460 02240 U 9 I M                A 1974115 
CA-000038 O CA    WILLOW BUNCH SA  49 20 58.00N 105 38 10.00W TOWER              1 00677 03577 U 9 I M                A 1974115 
CA-000039 O CA    YORKTOWN  SASK   51 12 15.00N 102 20 02.00W TOWER              1 00267 01917 L 9 I M                C 1974115 
CA-000040 O CA    YORKTOWN  SASK   51 12 20.00N 102 43 57.00W TOWER              1 00554 02304 L 9 I M                C 1974115 
CA-000042 O CA    ST. ANNEDE LA P  47 21 20.00N 070 04 40.00W TOWER              1 00200 00600 U 9 I M                A 1974115 
CA-000043 O CA    RED LAKE ONT     51 01 35.00N 093 49 56.00W TOWER              1 00225 01487 U 9 I M                A 1974115 
CA-000044 O CA    ST. REMI  QUE    45 14 50.00N 073 31 24.00W TOWER              4 00673 00923 L 9 I N                A 1989100 
CA-000045 O CA    MARQUIS  CN      50 38 44.20N 105 46 07.70W TOWER              1 00805 02783 L 9 I P                C 2019155 
CA-000046 O CA    CALDERNBANK  CN  50 44 24.90N 106 54 36.80W TOWER              1 00450 02979 L 9 I P                C 2017062 
CA-000048 O CA    UXBRIDGE         44 02 25.00N 079 05 15.00W TOWER              1 00165 01465 U 9 I M                A 1978273 
CA-000049 O CA    VANCOUVER B.C.   49 11 07.00N 122 56 17.00W TOWER              1 00412 00437 U 9 I M                A 1974115 
CA-000050 O CA    KENORA ONT       49 23 33.00N 094 02 25.00W TOWER              1 00325 01475 U 9 I M                A 1981019 
CA-000051 O CA    NIAGARA FALLS    43 05 06.00N 079 04 47.00W TOWER              1 00495 01130 L 1 D M                A 1982011 
CA-000052 O CA    HILL ISLAND ONT  44 21 12.00N 075 58 44.00W TOWER              1 00370 00620 U 9 I M                A 1974115 
CA-000053 O CA    ST THOMAS  ONT   42 44 00.00N 081 11 40.00W TOWER              1 00250 01000 L 9 I M                C 1974115 
CA-000054 O CA    CORNWALL ONT     45 04 40.00N 074 46 07.00W TOWER              1 00205 00430 U 9 I M                A 1981019 
CA-000055 O CA    FT FRANCES  ONT  48 36 12.00N 093 26 42.00W TOWER              1 00205 01335 L 9 I M                C 1981019 
CA-000056 O CA    UPSALA  CN       49 02 33.00N 090 36 29.00W TOWER              1 00370 02047 L 9 I P                C 2023249 
CA-000057 O CA    MOTH ONT         49 43 50.00N 094 57 26.00W TOWER              1 00322 01647 U 9 I M                A 1974115 
CA-000058 O CA    DOGTOOTH  ONT    49 40 05.00N 094 11 46.00W TOWER              1 00318 01598 L 9 I M                A 1986335 
CA-000059 O CA    SOUTH OHIO  CN   43 55 53.00N 066 06 05.00W TOWER              1 00600 00750 L 9 I M                C 2004326 
CA-000060 O CA    CORNWALL  ONT    45 10 35.00N 074 31 37.00W TOWER              1 00700 00900 L 9 I N                A 1974115 
CA-000061 O CA    MENDENHALL  YUK  60 46 16.00N 136 05 30.00W TOWER              1 00220 02952 L 9 I N                A 1988270 
CA-000065 O CA    VILLE-ST. GEORG  46 09 03.00N 070 42 34.00W TOWER              1 00205 00740 L 9 I M                C 2001120 
CA-000067 O CA    AGAWA            47 39 45.00N 084 47 30.00W TOWER              1 00297 02077 U 9 I M                A 1974115 
CA-000069 O CA    BATCHAWANA       46 59 10.00N 084 42 00.00W TOWER              1 00382 01382 U 9 I M                C 1992300 
CA-000070 O CA    LAIRD  ONT       46 23 14.00N 084 03 59.00W TOWER              1 00278 01080 L 9 I N                A 1989121 
CA-000071 O CA    OUTRAM           49 01 45.00N 103 19 38.00W TOWER              1 00328 02233 U 9 I M                A 1981019 
CA-000072 O CA    WABOS            46 50 45.00N 084 02 54.00W TOWER              1 00270 01370 U 9 I M                A 1981019 
CA-000077 O CA    DAWSON  YUK      64 04 49.00N 139 26 13.00W CATENARY           1 00200 01250 N 9 I M                A 1988327 
CA-000078 O CA    CALGARY &ALTA&   51 02 40.00N 114 03 49.00W TOWER              1 00613 04051 U 9 I M                A 1974115 
CA-000079 O CA    NELSON &B.C.&    49 28 45.00N 117 17 58.00W TOWER              1 00186 02486 U 9 I U                A 1974115 
CA-000081 O CA    EASTMAN  CN      45 18 43.00N 072 14 30.00W TOWER              1 00166 02958 L 9 I P                C 2012115 
CA-000082 O CA    SUDBURY  CN      46 30 03.00N 081 01 11.30W TOWER              1 01010 02028 L 9 I P                C 2019158 
CA-000083 O CA    VERMILION BAY    49 38 57.00N 093 30 59.00W TOWER              1 00503 01403 U 9 I M                A 1974115 
CA-000084 O CA    ST. RAYMOND QUE  46 51 16.00N 071 49 26.00W TOWER              3 00325 00855 L 9 I N                A 1988228 
CA-000085 O CA    ATITOKAN  ONT    48 46 23.00N 091 36 36.00W TOWER              1 00327 01737 L 9 I M                A 1987252 
CA-000089 O CA    BOWSER  BC       49 26 23.00N 124 41 50.00W TOWER              1 00200 00475 L 9 I N                A 1988228 
CA-000090 O CA    CUMBERLAND       49 35 43.00N 125 00 41.00W TOWER              1 00237 01437 L 9 I M                A 1974115 
