  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
AG-000502 O AG    ANTIGUA/BARBUDA  17 05 52.00N 061 51 15.00W TOWER              7 00250 00300 L 9 I U                A 1996351 
AG-000503 O AG    ANTIGUA/BARBUDA  17 06 34.00N 061 49 17.00W TOWER              1 00230 00550 L 9 I U                A 1996351 
AG-000504 O AG    ANTIGUA/BARBUDA  17 08 32.00N 061 47 53.00W TOWER              1 00210 00375 L 9 I U                A 1996351 
AG-000505 O AG    ANTIGUA/BARBUDA  17 09 40.00N 061 47 40.00W TOWER              3 00253 00300 L 9 I U                A 1996351 
AG-000668 O AG    ANTIGUA          17 06 15.00N 061 47 31.00W TOWER              1 00270 00370 U 4 D U                C 2006218 
AG-000669 O AG    ANTIGUA          17 06 11.99N 061 47 33.36W TOWER              1 00270 00290 U 3 D U                C 2020147 
AG-000670 O AG    ANTIGUA          17 06 07.58N 061 47 35.99W TOWER              1 00254 00290 U 3 D U                C 2020147 
AG-000671 O AG    ANTIGUA          17 06 02.56N 061 47 39.21W TOWER              1 00215 00237 U 3 D U                C 2020147 
AG-000672 O AG    ANTIGUA          17 06 00.00N 061 48 00.65W TOWER              1 00250 00297 U 3 E U                C 2020147 
AG-000673 O AG    ANTIGUA          17 05 59.28N 061 47 49.09W TOWER              1 00250 00275 U 3 E U                C 2020147 
AG-000674 O AG    ANTIGUA          17 05 57.33N 061 47 54.94W TOWER              1 00250 00287 U 3 E U                C 2020147 
AG-020001 O AG    ANTIGUA AND BARB 17 08 55.00N 061 49 50.00W TOWER              1 00200 00550 L 9 I U                A 2008191 
AG-020002 O AG    ANTIGUA AND BARB 17 03 29.74N 061 50 32.79W TOWER              1 00326 01381 L 2 D U                C 2018194 
AG-020003 O AG    ANTIGUA AND BARB 17 08 55.00N 061 48 57.00W TOWER              1 00331 00590 L 9 C U                A 2008191 
AG-020004 O AG    ANTIGUA AND BARB 17 08 52.19N 061 50 55.87W TOWER              1 00224 00231 U 9 I U                C 2017334 
AG-020005 O AG    ANTIGUA AND BARB 17 08 27.00N 061 50 20.00W STACK              1 00217 00280 U 9 C U                A 2012173 
AG-020006 O AG    ANTIGUA AND BARB 17 08 27.00N 061 50 19.00W STACK              1 00217 00280 U 9 C U                A 2012173 
AG-020007 O AG    ANTIGUA AND BARB 17 08 52.00N 061 49 58.00W T-L TWR            1 00229 00566 U 9 C U                A 2012173 
AG-020008 O AG    ANTIGUA AND BARB 17 08 52.00N 061 49 59.00W T-L TWR            1 00229 00566 U 9 C U                A 2012173 
AG-020009 O AG    ANTIGUA AND BARB 17 04 00.40N 061 52 07.54W TOWER              1 00200 00445 U 2 D U                A 2017328 
AG-020010 O AG    ANTIGUA AND BARB 17 05 13.39N 061 46 23.73W TOWER              1 00204 00342 U 3 E U                A 2017335 
AG-020011 O AG    ANTIGUA AND BARB 17 04 35.23N 061 52 24.70W TOWER              1 00215 00226 U 2 D U                A 2017335 
AG-020012 O AG    ANTIGUA AND BARB 17 01 50.50N 061 46 15.43W TOWER              1 00265 00850 U 2 D U                A 2017335 
AG-020013 O AG    ANTIGUA AND BARB 17 08 34.99N 061 47 36.76W TOWER              1 00212 00339 U 2 C U                A 2017335 
AG-020014 O AG    ANTIGUA AND BARB 17 08 52.64N 061 49 57.58W TOWER              1 00290 00626 U 2 D U                C 2020148 
AG-020015 O AG    ANTIGUA AND BARB 17 09 17.33N 061 47 41.20W TOWER              1 00325 00409 U 2 C U                A 2017338 
AG-020017 O AG    ANTIGUA AND BARB 17 02 30.62N 061 51 47.13W TOWER              1 00610 01464 U 2 D U                A 2018236 
AG-020018 O AG    ANTIGUA          17 02 28.10N 061 42 07.49W TOWER              1 00199 00484 U 3 E U                A 2020147 
AG-020019 O AG    ANTIGUA          17 07 25.96N 061 48 22.25W T-L TWR            1 00308 00373 U 2 D U                A 2020147 
AG-020020 O AG    ANTIGUA          17 06 01.29N 061 47 43.26W TOWER              1 00201 00222 U 3 E U                A 2020147 
AI-000001 O AI    ANGUILLA         18 13 02.21N 063 03 54.72W TOWER              1 00115 00334 N 1 C N                C 2021165 
AI-000006 O AI    ANGUILLA         18 12 44.69N 063 03 10.42W TOWER              1 00232 00327 N 9 C N                C 2017093 
AW-000555 O AW    NETH. ANTILLES   12 25 27.00N 069 53 30.00W STACK              1 00300 00310 U 9 I U                A 1997041 
AW-000556 O AW    NETH. ANTILLES   12 25 50.00N 069 53 49.00W STACK              1 00300 00320 U 9 I U                A 1997041 
AW-000557 O AW    NETH. ANTILLES   12 30 50.00N 069 59 25.00W TOWER              1 00386 00551 U 9 I U                A 1997041 
AW-000558 O AW    NETH. ANTILLES   12 32 10.00N 070 01 45.00W TOWER              1 00223 00283 L 9 I U                A 1997041 
CU-000078 O CU    CUBA             19 53 59.00N 077 21 34.00W TOWER              1 00305 00430 U 4 F U                C 2006218 
CU-000079 O CU    CUBA             19 54 14.00N 077 19 16.00W STACK              1 00260 00280 U 4 F U                C 2006211 
CU-000080 O CU    CUBA             19 55 00.60N 077 18 06.40W TOWER              1 00325 00383 U 4 D U                C 2023340 
CU-000081 O CU    CUBA             19 57 49.00N 076 26 13.00W TOWER              1 00213 00226 U 2 D U                C 2006232 
