  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
MX-000001 O MX    MATAMOROS        25 53 50.00N 097 32 30.00W TOWER              1 00250 00276 U 9 D U                C 2007049 
MX-000002 O MX    MATAMOROS        25 51 15.00N 097 30 09.00W TOWER              1 00180 00221 U 9 I U                A 1979061 
MX-000009 O MX    ZARAGOZA         31 41 32.00N 106 22 45.00W TOWER              1 00491 04201 U 9 I M                C 1996351 
MX-000010 O MX    MEXICO           32 39 00.00N 115 27 59.00W TOWER              1 00260 00261 U 1 D U                C 2017334 
MX-000012 O MX    CHIHUAHUA        28 40 51.00N 106 04 36.00W TOWER              1 00427 05184 U 9 I U                A 1979061 
MX-000013 O MX    ENSENADA         31 52 49.00N 116 37 45.00W TOWER              1 00176 00671 U 9 I U                A 1992216 
MX-000014 O MX    CHIHUAHUA        28 37 18.00N 106 04 09.00W TOWER              1 00148 04889 U 9 I U                A 1974115 
MX-000015 O MX    MEXICO           32 30 06.00N 117 02 49.00W TOWER              1 00475 01345 U 4 C M                C 2011196 
MX-000017 O MX    MEXICO           32 36 51.00N 115 29 45.00W TOWER              1 00564 00571 U 4 E M                C 2007049 
MX-000018 O MX    ENSENADA         31 52 30.00N 116 37 27.00W TOWER              1 00098 00492 U 9 I U                A 1974115 
MX-000020 O MX    MEXICO           25 40 24.00N 100 18 46.00W BLDG               1 00200 01981 N 5 D N                C 2011235 
MX-000021 O MX    MEXICO           24 52 11.00N 099 33 29.00W TOWER              1 00295 01381 U 6 E U                C 2007042 
MX-000022 O MX    MEXICO           25 40 21.00N 100 18 20.00W BLDG               1 00245 01989 N 5 D N                C 2011235 
MX-000023 O MX    CIUDAD JUAREZ    31 44 16.00N 106 29 09.00W TOWER              1 00499 04349 U 9 I M                C 1996351 
MX-000024 O MX    MEXICO           25 37 47.00N 100 19 03.00W TOWER              2 00365 03232 U 9 I M                C 2004088 
MX-000028 O MX    MEXICALI         32 39 40.00N 115 29 08.00W TOWER              1 00171 00180 L 9 I M                A 1992216 
MX-000030 O MX    MATAMORAS        25 56 16.00N 097 51 11.00W TOWER              1 01060 01090 N 9 I U                A 1992216 
MX-000033 O MX    ROSARITO BAJA    32 25 00.00N 117 05 20.00W TOWER              1 00320 00464 U 5 C U                C 2010084 
MX-000034 O MX    MEXICO           31 19 51.02N 110 57 19.89W TOWER              1 00214 04173 U 2 D P                C 2023171 
MX-000037 U MX    REYNOSA          26 05 35.00N 098 16 30.00W TOWER              1 00150 00400 U     U                A 1989121 
MX-000038 U MX    REYNOSA          26 05 30.00N 098 16 29.00W TOWER              1 00150 00400 U     U                A 1989121 
MX-000039 O MX    MEXICO           22 02 33.00N 098 10 06.00W TOWER              1 00225 00425 N 9 I U                A 1996351 
MX-000040 O MX    MEXICO           22 07 55.00N 100 54 15.00W TOWER              1 00788 07000 U 9 I U                A 1996351 
MX-000041 O MX    MEXICO           22 08 01.00N 098 07 56.00W TOWER              1 00225 00425 N 9 I U                A 1996351 
MX-000042 O MX    MEXICO           22 08 10.00N 100 55 10.00W TOWER              1 00857 07107 U 9 I U                A 1996351 
MX-000043 O MX    MEXICO           22 09 05.00N 100 58 15.00W TOWER              1 00266 06466 U 9 I U                A 1996351 
MX-000046 O MX    MEXICO           22 09 23.00N 100 56 29.00W TOWER              1 00240 06340 N 9 I U                A 1996351 
MX-000047 O MX    MEXICO           22 09 35.00N 101 00 25.00W STACK              1 00600 06757 U 9 I U                C 2006190 
MX-000048 O MX    MEXICO           22 09 55.00N 101 02 15.00W STACK              1 00600 06899 U 9 I U                C 2006190 
MX-000049 O MX    MEXICO           22 12 43.00N 097 47 53.00W TOWER              1 00251 00331 U 9 I U                A 1996351 
MX-000050 O MX    MEXICO           22 13 00.00N 097 51 10.00W TOWER              1 00259 00339 U 9 I U                A 1996351 
MX-000051 O MX    MEXICO           22 13 00.00N 100 58 00.00W TOWER              1 00625 06790 U 9 I U                A 1996351 
MX-000052 O MX    MEXICO           22 13 05.00N 097 51 07.00W TOWER              1 00253 00333 U 9 I U                A 1996351 
MX-000053 O MX    MEXICO           22 15 02.00N 097 50 13.00W TOWER              1 00207 00227 U 9 I U                A 1996351 
MX-000054 O MX    MEXICO           22 15 04.00N 097 51 39.00W TOWER              1 00302 00382 U 9 I U                A 1996351 
MX-000055 O MX    MEXICO           22 15 45.00N 097 51 47.00W TOWER              1 00328 00398 U 9 I U                A 1996351 
MX-000057 O MX    MEXICO           22 19 59.00N 101 59 59.00W TOWER              1 00246 07146 N 9 I U                A 1996351 
MX-000058 O MX    MEXICO           22 44 41.00N 102 31 31.00W TOWER              1 00220 07320 N 9 I U                A 1996351 
MX-000060 O MX    MEXICO           22 46 30.00N 100 04 45.00W TOWER              1 00295 04095 N 9 I U                A 1996351 
MX-000063 O MX    MEXICO           23 03 53.00N 105 50 46.00W TOWER              1 00300 00402 U 9 D U                C 2011320 
MX-000064 O MX    MEXICO           23 10 58.00N 102 53 46.00W TOWER              1 00355 07555 N 9 I U                A 1996351 
MX-000066 O MX    MEXICO           23 11 25.00N 102 52 55.00W TOWER              1 00265 07265 N 9 A U                C 2011319 
MX-000068 O MX    MEXICO           23 11 55.00N 106 25 20.00W TOWER              1 00273 00443 U 9 A U                C 2011320 
MX-000069 O MX    MEXICO           23 13 04.00N 106 23 03.00W TOWER              1 00305 00335 N 9 A U                C 2011320 
MX-000070 O MX    MEXICO           23 17 01.00N 106 25 09.00W TOWER              1 00246 00356 U 9 A U                C 2011320 
MX-000075 O MX    MEXICO           23 45 08.00N 099 08 40.00W TOWER              1 00220 01202 U 9 I U                C 2007056 
MX-000077 O MX    MEXICO           23 49 40.00N 103 02 17.00W TOWER              1 00345 07295 N 9 A U                C 2011320 
MX-000079 O MX    MEXICO           24 01 17.00N 104 40 59.00W TOWER              1 00225 06727 U 5 C U                C 2009328 
MX-000082 O MX    MEXICO           24 02 39.00N 104 35 59.00W TOWER              1 00269 06399 U 5 C U                C 2011235 
MX-000083 O MX    MEXICO           24 03 31.00N 110 35 05.00W TOWER              1 00375 01282 U 6 D U                C 2009328 
MX-000084 O MX    MEXICO           24 10 28.00N 110 18 09.00W TOWER              1 00304 00318 U 2 B U                C 2006225 
MX-000085 O MX    MEXICO           24 19 09.00N 107 22 06.00W STACK              1 00325 00371 U 5 C U                C 2011235 
MX-000086 O MX    MEXICO           24 33 14.00N 104 01 24.00W TOWER              1 00210 07071 U 2 D U                C 2006225 
MX-000088 O MX    MEXICO           24 45 24.08N 107 41 40.89W STACK              1 00270 00340 U 2 D U                C 2017009 
MX-000089 O MX    MEXICO           24 47 17.36N 107 23 06.04W TOWER              1 00305 00745 U 4 D U                C 2017283 
MX-000091 O MX    MEXICO           24 48 16.90N 107 21 06.60W TOWER              1 00350 00528 U 2 D U                C 2017283 
MX-000094 O MX    MEXICO           24 48 43.00N 107 24 21.00W TOWER              1 00190 00307 U 2 D U                C 2017283 
MX-000098 O MX    MEXICO           24 49 09.00N 107 28 49.00W TOWER              1 00245 00350 U 9 C U                C 2011319 
MX-000102 O MX    MEXICO           25 03 38.00N 105 23 48.00W TOWER              1 00350 06150 N 9 I U                A 1996351 
MX-000103 O MX    MEXICO           25 08 07.00N 099 48 09.00W TOWER              1 00190 01836 U 4 C U                C 2011235 
MX-000108 O MX    MEXICO           25 25 15.00N 101 00 12.00W BLDG               1 00210 05476 U 5 D N                C 2011229 
MX-000114 O MX    MEXICO           25 31 33.00N 103 26 25.00W STACK              1 00205 03927 U 3 C U                C 2010244 
MX-000115 O MX    MEXICO           25 31 45.00N 103 26 32.00W STACK              1 00210 03925 U 3 C U                C 2010238 
MX-000116 O MX    MEXICO           25 32 18.00N 103 27 55.00W TOWER              1 00260 04010 N 9 I U                A 1996351 
MX-000117 O MX    MEXICO           25 32 20.00N 103 27 18.00W TOWER              1 00320 03750 U 9 I U                A 1996351 
MX-000118 O MX    MEXICO           25 32 30.00N 103 31 12.00W TOWER              1 00305 04012 N 9 I U                C 2002160 
MX-000119 O MX    MEXICO           25 33 21.00N 103 27 06.00W TOWER              1 00415 04116 U 5 C U                C 2011235 
MX-000124 O MX    MEXICO           25 36 49.00N 109 02 44.00W TOWER              1 00440 00501 U 5 C U                C 2007049 
MX-000127 O MX    MEXICO           25 37 47.00N 100 18 48.00W TOWER              1 00570 03006 U 5 D U                C 2011235 
MX-000130 O MX    MEXICO           25 39 10.00N 100 18 28.00W TOWER              1 00235 02068 U 4 D U                C 2011237 
MX-000131 O MX    MEXICO           25 39 18.00N 103 28 17.00W TOWER              1 00361 04159 U 9 I U                A 1996351 
MX-000134 O MX    MEXICO           25 40 04.00N 100 18 29.00W TOWER              1 00427 02192 U 9 I U                A 1996351 
MX-000138 O MX    MEXICO           25 40 30.00N 100 18 33.00W TOWER              1 00257 02028 U 5 D U                C 2011237 
MX-000139 O MX    MEXICO           25 40 30.00N 100 20 34.00W TOWER              1 00220 02189 U 4 D U                C 2011235 
MX-000141 O MX    MEXICO           25 40 34.00N 100 17 19.00W BLDG               1 00150 01800 U 9 I N                C 2000297 
MX-000144 O MX    MEXICO           25 41 24.00N 100 18 24.00W STACK              1 00170 01830 U 9 I U                C 2000297 
MX-000145 O MX    MEXICO           25 41 21.00N 100 18 39.00W TOWER              1 00485 02251 U 4 D U                C 2011235 
MX-000146 O MX    MEXICO           25 42 21.00N 100 10 07.00W TOWER              1 00215 01649 U 5 D U                C 2011228 
MX-000148 O MX    MEXICO           25 42 24.00N 100 14 31.00W TOWER              1 00243 01893 U 9 I U                A 1996351 
