  CURRENCY DATE = 02/18/24
                                     LATITUDE    LONGITUDE     OBSTACLE            AGL   AMSL LT ACC MAR FAA         ACTION
OAS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE                 HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------------
PR-000002 O PR    ARECIBO          18 28 45.00N 066 41 15.00W TOWER              1 00225 00258 R 4 D M                C 1990267 
PR-000004 O PR    ARECIBO          18 27 13.00N 066 44 23.00W TOWER              1 00284 00411 R 4 D M                C 1991112 
PR-000005 O PR    BAYAMON          18 25 18.00N 066 08 23.00W TOWER              2 00443 00460 R 3 C M 0070_SJ00141OE C 1990183 
PR-000006 O PR    BAYAMON          18 24 42.34N 066 08 45.57W TOWER              1 00165 00202 U 1 B U                C 2017321 
PR-000007 O PR    AGUADILLA        18 24 16.00N 067 10 04.00W TOWER              1 00155 00164 R 4 D M                C 1990282 
PR-000009 O PR    CAGUAS           18 14 23.00N 066 01 05.00W TOWER              1 00225 00414 U 9 I M                A 1974115 
PR-000011 O PR    FAJARDO          18 19 29.00N 065 38 53.00W STACK              2 00220 00255 N 5 E N                C 1980163 
PR-000013 O PR    GUAYAMA          17 57 32.00N 066 08 18.00W TOWER              1 00200 00249 N 2 D M 0082_JU00086OE A 1979198 
PR-000014 O PR    MAYAGUEZ         18 10 32.00N 067 10 13.00W TOWER              2 00307 00310 R 4 D M 2000ASO00309OE C 2000101 
PR-000016 O PR    MAYAGUEZ         18 11 22.00N 067 09 24.00W TOWER              2 00272 00279 R 4 E M                C 1985345 
PR-000020 O PR    PLAYA DE PONCE   17 58 46.00N 066 36 48.00W TOWER              1 00207 00214 R 3 C M                C 1990267 
PR-000021 O PR    PONCE            17 59 19.95N 066 37 46.53W TOWER              1 00323 00333 R 5 E P 2015ASO10656OE C 2015229 
PR-000022 O PR    PONCE            17 59 39.00N 066 37 28.00W TOWER              1 00258 00265 R 2 C M                C 1974115 
PR-000023 O PR    PONCE            18 09 08.00N 066 33 14.00W TOWER              1 00237 04207 N 4 E M 0070_SJ00112OE C 1990274 
PR-000025 O PR    SAN JUAN         18 27 18.00N 066 08 59.00W STACK              6 00212 00222 U 4 D M 0066_SJ00080OE C 2014124 
PR-000027 O PR    GUAYNABO         18 21 44.00N 066 06 52.00W TOWER              1 00304 00404 R 4 E M                C 1990240 
PR-000029 O PR    PAJAROS          18 22 13.00N 066 12 20.00W TOWER              2 00216 00446 R 4 E M 0002_OE00734OE C 1997090 
PR-000030 O PR    SAN JUAN         18 24 45.00N 066 06 13.00W TOWER              1 00175 00191 U 9 I U                A 1974115 
PR-000031 O PR    AGUAS BUENAS     18 15 54.00N 066 05 06.00W TOWER              1 00289 01667 R 4 E M 0086_SJ00106OE C 1990134 
PR-000033 O PR    SANTURCE         18 25 47.00N 066 08 06.00W TOWER              2 00304 00309 R 3 C M                C 1990337 
PR-000034 O PR    AGUAS BUENAS     18 16 47.00N 066 06 45.00W TOWER              2 00243 01917 M 4 D N 1994ASO02291OE C 1997111 
PR-000036 O PR    SANTURCE         18 25 29.00N 066 08 28.00W TOWER              2 00270 00275 R 3 C M                C 1974115 
PR-000038 O PR    CAROLINA         18 23 42.00N 065 56 05.00W TOWER              1 00226 00249 R 5 E M 1989ASO01962OE C 1991168 
PR-000040 O PR    MAYAGUEZ         18 10 57.00N 067 09 07.00W TANK               1 00235 00280 R 5 D N                C 1990204 
PR-000041 O PR    MAYAGUEZ         18 04 04.00N 067 08 03.00W TOWER              1 00210 00820 R 5 D M 1995ASO01810OE C 1996127 
PR-000042 O PR    CAYEY            18 06 48.00N 066 08 28.00W TOWER              1 00210 01539 R 4 E M                C 1990274 
PR-000043 O PR    MARICAO          18 08 55.85N 066 59 19.64W TOWER              1 00295 03115 D 4 E N 2006ASO07243OE C 2012138 
PR-000045 O PR    SAN JUAN         18 27 18.75N 066 03 48.13W BLDG               1 00232 00244 R 1 B N 0066_SJ00164OE C 2015324 
PR-000046 O PR    SAN JUAN         18 25 42.00N 066 00 54.00W BLDG               1 00156 00158 R 1 A N                C 1994276 
PR-000047 O PR    SALINAS          17 58 31.99N 066 18 13.09W TOWER              1 00210 00223 R 4 D P 2007ASO02374OE C 2015168 
PR-000048 O PR    AGUADA           18 23 55.53N 067 10 38.73W TOWER              1 01210 01225 R 1 C P 2003ASO03705OE C 2020344 
PR-000049 O PR    JUANA DIAZ       17 59 28.00N 066 28 30.50W TOWER              1 00197 00199 N 4 E N 2010ASO02776OE C 2011241 
PR-000050 O PR    SAN JUAN         18 27 03.85N 066 03 51.59W BLDG               1 00109 00119 R 1 B N                C 2015323 
PR-000051 O PR    GUAYNABO         18 20 53.00N 066 06 49.00W TOWER              1 00206 00304 N 5 E N                C 2002050 
PR-000052 O PR    JAYUYA           18 09 10.00N 066 33 15.00W TOWER              1 00440 04377 R 5 E M                C 1990295 
PR-000053 O PR    FAJARDO          18 21 40.00N 065 38 23.00W TOWER              1 00405 00549 U 4 D M 0066_SJ00024OE C 2014124 
PR-000054 O PR    ENSENADA-HONDA   18 13 46.00N 065 37 08.00W TOWER              1 00238 00241 R 5 E M                C 1990337 
PR-000055 O PR    MAYAGUEZ         18 10 02.00N 067 09 01.00W TOWER              1 00307 00341 D 4 D N 2014ASO07815OE C 2017139 
PR-000056 O PR    MANATI           18 26 18.00N 066 29 53.00W TOWER              1 00308 00380 M 5 E M 1997ASO00753OE C 1997195 
PR-000057 O PR    CABO SAN JUAN    18 22 53.00N 065 37 05.00W TOWER              1 00040 00260 L 9 I U                A 1979233 
PR-000059 O PR    SAN JUAN         18 25 31.44N 066 03 32.93W BLDG               1 00226 00236 N 1 B N 0066_SJ00057OE C 2015345 
PR-000060 O PR    GUAYAMA          17 56 58.00N 066 08 53.00W STACK              3 00220 00251 R 5 E N 0067_SJ00021OE C 1990183 
PR-000061 O PR    GUAYAMA          17 57 35.00N 066 08 50.00W STACK              1 00199 00260 U 4 D U 0067_SJ00022OE C 2014124 
PR-000062 O PR    SANTURCE         18 26 39.47N 066 03 59.48W TOWER              1 00176 00229 R 1 B N 0068_SJ00005OE C 2015324 
PR-000063 O PR    UTUADO-LA PLAYA  18 17 24.00N 066 39 27.00W TOWER              1 00228 01878 U 4 D M 0067_SJ00108OE C 2014124 
PR-000064 O PR    ISABELA          18 27 43.00N 067 04 03.00W TOWER              3 00384 00810 R 4 D M                C 1990282 
PR-000066 O PR    CAMUY            18 28 13.00N 066 51 39.00W TOWER              2 00209 00478 R 5 D M 1997ASO00079OE C 2000151 
PR-000067 O PR    SAN JUAN         18 25 44.00N 065 59 58.00W BLDG               1 00158 00161 R 1 A N 0068_SJ00022OE C 2001274 
PR-000068 O PR    SAN JUAN         18 27 17.83N 066 03 52.33W BLDG               1 00224 00240 R 1 B N 0068_SJ00029OE C 2015324 
PR-000069 O PR    HATO REY         18 25 34.00N 066 03 27.00W TOWER              1 00239 00248 R 3 C M                C 1974115 
PR-000070 O PR    SAN JUAN         18 26 30.00N 066 01 05.00W BLDG               1 00139 00149 R 1 A N 0068_SJ00079OE C 2001267 
PR-000071 O PR    SAN JUAN         18 26 37.19N 066 03 45.62W BLDG               1 00132 00219 R 1 B N                C 2015324 
